Date,NECB
2010-01-04,3.7375600337982178
2010-01-05,3.715477228164673
2010-01-06,3.6378390789031982
2010-01-07,3.709930419921875
2010-01-08,3.7709314823150635
2010-01-11,3.632296085357666
2010-01-12,3.5491104125976562
2010-01-13,3.5380210876464844
2010-01-14,3.465930700302124
2010-01-15,3.4770209789276123
2010-01-19,3.4770209789276123
2010-01-20,3.4326579570770264
2010-01-21,3.355020523071289
2010-01-22,3.338383913040161
2010-01-25,3.3051109313964844
2010-01-26,3.1720199584960938
2010-01-27,3.2330193519592285
2010-01-28,3.310656785964966
2010-01-29,3.3217477798461914
2010-02-01,3.621203899383545
2010-02-02,3.4049296379089355
2010-02-03,3.2219290733337402
2010-02-04,3.1609275341033936
2010-02-05,3.2219290733337402
2010-02-08,3.1054728031158447
2010-02-09,3.144292116165161
2010-02-10,3.1165642738342285
2010-02-11,3.210838794708252
2010-02-12,3.1332004070281982
2010-02-16,3.2163829803466797
2010-02-17,3.1942009925842285
2010-02-18,3.355020523071289
2010-02-19,3.294020414352417
2010-02-22,3.4049296379089355
2010-02-23,3.332838535308838
2010-02-24,3.499202251434326
2010-02-25,3.5047483444213867
2010-02-26,3.826385259628296
2010-03-01,3.865203619003296
2010-03-02,4.026024341583252
2010-03-03,3.987205743789673
2010-03-04,3.931748628616333
2010-03-05,3.9927520751953125
2010-03-08,4.064841270446777
2010-03-09,4.0703887939453125
2010-03-10,4.0703887939453125
2010-03-11,4.048206329345703
2010-03-12,4.009387016296387
2010-03-15,4.103663444519043
2010-03-16,4.042662143707275
2010-03-17,4.042662143707275
2010-03-18,3.9483871459960938
2010-03-19,3.937298059463501
2010-03-22,4.092570781707764
2010-03-23,4.003842353820801
2010-03-24,3.9206583499908447
2010-03-25,3.9206583499908447
2010-03-26,3.9594788551330566
2010-03-29,3.965024471282959
2010-03-30,3.9539332389831543
2010-03-31,3.987205743789673
2010-04-01,3.449294090270996
2010-04-05,3.9705698490142822
2010-04-06,3.9816606044769287
2010-04-07,3.9426798820495605
2010-04-08,3.8201656341552734
2010-04-09,3.864715576171875
2010-04-12,3.636397361755371
2010-04-13,3.586280107498169
2010-04-14,3.6920855045318604
2010-04-15,3.5361595153808594
2010-04-16,3.3635287284851074
2010-04-19,3.3635287284851074
2010-04-20,3.4637670516967773
2010-04-21,3.5138845443725586
2010-04-22,3.4526278972625732
2010-04-23,3.396941900253296
2010-04-26,3.352391242980957
2010-04-27,3.3579585552215576
2010-04-28,3.3579585552215576
2010-04-29,3.3579585552215576
2010-04-30,3.4025089740753174
2010-05-03,3.3412530422210693
2010-05-04,3.190897226333618
2010-05-05,3.034970760345459
2010-05-06,2.9291648864746094
2010-05-07,2.9235970973968506
2010-05-10,3.0516786575317383
2010-05-11,3.129641532897949
2010-05-12,2.968146800994873
