Date,AWK
2010-01-04,15.797126770019531
2010-01-05,15.957535743713379
2010-01-06,16.04123306274414
2010-01-07,16.07610321044922
2010-01-08,16.04123306274414
2010-01-11,16.201641082763672
2010-01-12,16.124935150146484
2010-01-13,16.194673538208008
2010-01-14,16.02728843688965
2010-01-15,15.762255668640137
2010-01-19,15.692511558532715
2010-01-20,15.65764331817627
2010-01-21,15.420511245727539
2010-01-22,15.385632514953613
2010-01-25,15.44840145111084
2010-01-26,15.357734680175781
2010-01-27,15.357734680175781
2010-01-28,15.106659889221191
2010-01-29,15.204303741455078
2010-02-01,15.441434860229492
2010-02-02,15.413537979125977
2010-02-03,15.594879150390625
2010-02-04,15.169425964355469
2010-02-05,15.120610237121582
2010-02-08,15.071783065795898
2010-02-09,14.925331115722656
2010-02-10,15.043889999389648
2010-02-11,15.218245506286621
2010-02-12,15.45538330078125
2010-02-16,15.575082778930664
2010-02-17,15.638445854187012
2010-02-18,15.849689483642578
2010-02-19,16.11020278930664
2010-02-22,15.976423263549805
2010-02-23,15.807440757751465
2010-02-24,15.673659324645996
2010-02-25,15.708861351013184
2010-02-26,15.673659324645996
2010-03-01,14.84280014038086
2010-03-02,14.610440254211426
2010-03-03,14.730140686035156
2010-03-04,14.96250057220459
2010-03-05,15.075150489807129
2010-03-08,15.032912254333496
2010-03-09,14.94137954711914
2010-03-10,14.835760116577148
2010-03-11,14.80054759979248
2010-03-12,14.75830078125
2010-03-15,14.856876373291016
2010-03-16,14.835760116577148
2010-03-17,14.976582527160645
2010-03-18,15.068119049072266
2010-03-19,14.96250057220459
2010-03-22,14.863924026489258
2010-03-23,15.215980529785156
2010-03-24,15.279352188110352
2010-03-25,15.14556884765625
2010-03-26,14.96250057220459
2010-03-29,15.089240074157715
2010-03-30,15.046991348266602
2010-03-31,15.321602821350098
2010-04-01,15.356802940368652
2010-04-05,15.596200942993164
2010-04-06,15.589163780212402
2010-04-07,15.286389350891113
2010-04-08,15.032912254333496
2010-04-09,15.223017692565918
2010-04-12,15.173730850219727
2010-04-13,15.1244478225708
2010-04-14,15.096280097961426
2010-04-15,15.089240074157715
2010-04-16,15.11740493774414
2010-04-19,14.94137954711914
2010-04-20,15.103321075439453
2010-04-21,15.237106323242188
2010-04-22,15.089240074157715
2010-04-23,15.039947509765625
2010-04-26,14.828720092773438
2010-04-27,14.666766166687012
2010-04-28,14.95545482635498
2010-04-29,15.272315979003906
2010-04-30,15.335681915283203
2010-05-03,15.448339462280273
2010-05-04,15.49059009552002
2010-05-05,15.497629165649414
2010-05-06,15.068119049072266
2010-05-07,14.58227252960205
2010-05-10,15.441302299499512
2010-05-11,15.244142532348633
2010-05-12,15.279352188110352
2010-05-13,15.314553260803223
2010-05-14,15.200797080993652
2010-05-17,15.136813163757324
2010-05-18,14.873748779296875
2010-05-19,14.681785583496094
2010-05-20,14.184093475341797
2010-05-21,14.283634185791016
2010-05-24,14.255193710327148
2010-05-25,14.226753234863281
2010-05-26,14.21964168548584
2010-05-27,14.418724060058594
2010-05-28,14.461376190185547
2010-06-01,14.233860969543457
2010-06-02,14.376059532165527
2010-06-03,14.511151313781738
2010-06-04,14.162765502929688
2010-06-07,14.162765502929688
2010-06-08,14.36894416809082
2010-06-09,14.29074478149414
