Date,EGBN
2010-01-04,7.374422550201416
2010-01-05,7.289169788360596
2010-01-06,7.139976501464844
2010-01-07,7.246541976928711
2010-01-08,7.317586898803711
2010-01-11,7.118662357330322
2010-01-12,7.04051399230957
2010-01-13,7.182604789733887
2010-01-14,7.331796169281006
2010-01-15,7.246541976928711
2010-01-19,7.38862943649292
2010-01-20,7.317586898803711
2010-01-21,7.38862943649292
2010-01-22,7.3957366943359375
2010-01-25,7.317586898803711
2010-01-26,7.246541976928711
2010-01-27,7.459677696228027
2010-01-28,7.814898490905762
2010-01-29,7.9925103187561035
2010-02-01,7.864629745483398
2010-02-02,7.7935872077941895
2010-02-03,7.473885536193848
2010-02-04,7.5875563621521
2010-02-05,7.679915904998779
2010-02-08,7.445468902587891
2010-02-09,7.495198726654053
2010-02-10,7.431257724761963
2010-02-11,7.750958442687988
2010-02-12,7.850419998168945
2010-02-16,7.850419998168945
2010-02-17,7.850419998168945
2010-02-18,7.8930487632751465
2010-02-19,7.907257556915283
2010-02-22,7.9925103187561035
2010-02-23,8.262476921081543
2010-02-24,8.461403846740723
2010-02-25,8.454300880432129
2010-02-26,8.319317817687988
2010-03-01,8.447196006774902
2010-03-02,8.710060119628906
2010-03-03,8.717164039611816
2010-03-04,8.852150917053223
2010-03-05,8.887674331665039
2010-03-08,8.816628456115723
2010-03-09,8.809521675109863
2010-03-10,8.582179069519043
2010-03-11,8.639015197753906
2010-03-12,8.667433738708496
2010-03-15,8.646119117736816
2010-03-16,8.923192977905273
2010-03-17,8.781105995178223
2010-03-18,8.73137092590332
2010-03-19,8.702958106994629
2010-03-22,8.73137092590332
2010-03-23,9.058178901672363
2010-03-24,9.200268745422363
2010-03-25,8.99423885345459
2010-03-26,8.518237113952637
2010-03-29,8.603492736816406
2010-03-30,8.582179069519043
2010-03-31,8.418778419494629
2010-04-01,8.418778419494629
2010-04-05,8.539555549621582
2010-04-06,8.631912231445312
2010-04-07,8.73137092590332
2010-04-08,8.660326957702637
2010-04-09,8.468509674072266
2010-04-12,8.226957321166992
2010-04-13,8.518237113952637
2010-04-14,8.887674331665039
2010-04-15,8.752686500549316
2010-04-16,8.69584846496582
2010-04-19,8.745580673217773
2010-04-20,9.186058044433594
2010-04-21,8.937402725219727
2010-04-22,9.143430709838867
2010-04-23,9.086597442626953
2010-04-26,8.951611518859863
2010-04-27,8.90898323059082
2010-04-28,8.951611518859863
2010-04-29,8.987133026123047
2010-04-30,8.951611518859863
2010-05-03,9.214475631713867
2010-05-04,9.122118949890137
2010-05-05,9.022658348083496
2010-05-06,9.079490661621094
2010-05-07,9.079490661621094
2010-05-10,9.342357635498047
2010-05-11,9.541281700134277
2010-05-12,9.676265716552734
2010-05-13,10.123846054077148
2010-05-14,9.811250686645508
2010-05-17,9.939131736755371
2010-05-18,9.740206718444824
2010-05-19,9.718894958496094
2010-05-20,9.015551567077637
2010-05-21,8.951611518859863
2010-05-24,9.036866188049316
2010-05-25,8.95871639251709
2010-05-26,9.093700408935547
2010-05-27,9.356566429138184
2010-05-28,9.25710391998291
2010-06-01,8.980029106140137
2010-06-02,9.207371711730957
2010-06-03,9.107908248901367
2010-06-04,8.361942291259766
2010-06-07,8.276687622070312
2010-06-08,8.447196006774902
2010-06-09,8.347733497619629
