Date,PEP
2010-01-04,38.33392333984375
2010-01-05,38.79715347290039
2010-01-06,38.4090576171875
2010-01-07,38.16493606567383
2010-01-08,38.03974151611328
2010-01-11,37.995906829833984
2010-01-12,38.52798080444336
2010-01-13,38.84095764160156
2010-01-14,39.3104362487793
2010-01-15,38.99119567871094
2010-01-19,39.016239166259766
2010-01-20,38.77837371826172
2010-01-21,38.146141052246094
2010-01-22,37.80186080932617
2010-01-25,37.70170593261719
2010-01-26,37.7142333984375
2010-01-27,37.73927307128906
2010-01-28,37.39498519897461
2010-01-29,37.31987762451172
2010-02-01,37.995906829833984
2010-02-02,38.27760314941406
2010-02-03,38.365238189697266
2010-02-04,37.332393646240234
2010-02-05,37.251007080078125
2010-02-08,36.906742095947266
2010-02-09,37.58904266357422
2010-02-10,37.79560089111328
2010-02-11,38.30263900756836
2010-02-12,38.13364028930664
2010-02-16,38.37773895263672
2010-02-17,38.87852096557617
2010-02-18,39.141422271728516
2010-02-19,39.22280502319336
2010-02-22,39.06631851196289
2010-02-23,38.67196273803711
2010-02-24,38.85974884033203
2010-02-25,38.99745178222656
2010-02-26,39.10387420654297
2010-03-01,39.70479202270508
2010-03-02,39.9364128112793
2010-03-03,40.333560943603516
2010-03-04,40.41551208496094
2010-03-05,40.579402923583984
2010-03-08,40.44072723388672
2010-03-09,40.573116302490234
2010-03-10,40.617252349853516
2010-03-11,40.95768356323242
2010-03-12,41.03962707519531
2010-03-15,41.7015380859375
2010-03-16,41.651119232177734
2010-03-17,41.96632385253906
2010-03-18,41.93479537963867
2010-03-19,41.96002197265625
2010-03-22,41.80241012573242
2010-03-23,42.14913558959961
2010-03-24,41.7708854675293
2010-03-25,41.95370864868164
2010-03-26,41.97891616821289
2010-03-29,41.95370864868164
2010-03-30,42.0923957824707
2010-03-31,41.70785140991211
2010-04-01,42.03566360473633
2010-04-05,41.594383239746094
2010-04-06,41.852848052978516
2010-04-07,41.60068893432617
2010-04-08,41.58806610107422
2010-04-09,41.83393859863281
2010-04-12,41.8087158203125
2010-04-13,41.852848052978516
2010-04-14,41.78980255126953
2010-04-15,41.77719497680664
2010-04-16,41.69524383544922
2010-04-19,41.682640075683594
2010-04-20,41.543941497802734
2010-04-21,41.594383239746094
2010-04-22,40.825279235839844
2010-04-23,40.793758392333984
2010-04-26,40.989192962646484
2010-04-27,40.491172790527344
2010-04-28,40.8189697265625
2010-04-29,41.102657318115234
2010-04-30,41.115264892578125
2010-05-03,41.411556243896484
2010-05-04,41.24765396118164
2010-05-05,41.102657318115234
2010-05-06,40.78745651245117
2010-05-07,40.70549392700195
2010-05-10,41.86545944213867
2010-05-11,41.95370864868164
2010-05-12,42.1995735168457
2010-05-13,41.90958023071289
2010-05-14,41.651119232177734
2010-05-17,42.079795837402344
2010-05-18,41.941097259521484
2010-05-19,41.632198333740234
2010-05-20,40.257911682128906
2010-05-21,40.08139419555664
2010-05-24,39.917484283447266
2010-05-25,39.64642333984375
2010-05-26,38.59993362426758
2010-05-27,39.65271759033203
2010-05-28,39.64642333984375
2010-06-01,39.56446838378906
2010-06-02,40.314064025878906
2010-06-03,40.25689697265625
2010-06-04,39.03083419799805
2010-06-07,39.21507263183594
2010-06-08,39.79951477050781
2010-06-09,39.69788360595703
2010-06-10,40.55548095703125
2010-06-11,40.377601623535156
2010-06-14,40.56183624267578
2010-06-15,40.809593200683594
2010-06-16,40.59994888305664
2010-06-17,40.96839141845703
2010-06-18,40.707923889160156
2010-06-21,40.669822692871094
2010-06-22,40.21242904663086
2010-06-23,39.85033416748047
2010-06-24,39.640708923339844
2010-06-25,38.605201721191406
2010-06-28,39.36116027832031
2010-06-29,38.897430419921875
2010-06-30,38.71956253051758
2010-07-01,39.08165740966797
2010-07-02,39.0880012512207
2010-07-06,39.157901763916016
2010-07-07,39.97738265991211
2010-07-08,40.657127380371094
2010-07-09,40.339481353759766
2010-07-12,40.49195861816406
2010-07-13,40.29501724243164
2010-07-14,40.377601623535156
2010-07-15,40.123497009277344
2010-07-16,39.67245864868164
2010-07-19,39.41834259033203
2010-07-20,41.12087631225586
2010-07-21,40.625362396240234
2010-07-22,40.790523529052734
2010-07-23,40.9429931640625
2010-07-26,41.27968978881836
2010-07-27,41.7307243347168
2010-07-28,41.41944885253906
2010-07-29,41.22249984741211
2010-07-30,41.23521423339844
2010-08-02,41.463897705078125
2010-08-03,41.78154373168945
2010-08-04,42.035648345947266
2010-08-05,41.66084289550781
2010-08-06,41.86412811279297
2010-08-09,42.194461822509766
2010-08-10,42.26435089111328
2010-08-11,41.5782470703125
2010-08-12,41.40674591064453
2010-08-13,41.64813232421875
2010-08-16,41.5655403137207
2010-08-17,41.641788482666016
2010-08-18,41.62272644042969
2010-08-19,41.076393127441406
2010-08-20,41.165340423583984
2010-08-23,41.178035736083984
2010-08-24,41.15262985229492
2010-08-25,41.019222259521484
2010-08-26,40.73969650268555
2010-08-27,40.73335266113281
2010-08-30,40.40302276611328
2010-08-31,40.7714729309082
2010-09-01,41.533111572265625
2010-09-02,41.58434295654297
2010-09-03,41.96835708618164
2010-09-07,41.9107551574707
2010-09-08,41.87876510620117
2010-09-09,42.307586669921875
2010-09-10,42.506011962890625
2010-09-13,42.40359878540039
2010-09-14,42.23078536987305
2010-09-15,42.5636100769043
2010-09-16,42.634029388427734
2010-09-17,42.320404052734375
2010-09-20,42.81324768066406
2010-09-21,42.53802490234375
2010-09-22,42.66603088378906
2010-09-23,42.10918426513672
2010-09-24,42.32679748535156
2010-09-27,42.48041534423828
2010-09-28,42.74283218383789
