Date,AEIS
2010-01-04,15.278450012207031
2010-01-05,15.46489429473877
2010-01-06,16.34803581237793
2010-01-07,15.9260892868042
2010-01-08,16.04384994506836
2010-01-11,15.827962875366211
2010-01-12,15.857404708862305
2010-01-13,15.827962875366211
2010-01-14,15.965341567993164
2010-01-15,15.406014442443848
2010-01-19,15.572834014892578
2010-01-20,15.3275146484375
2010-01-21,15.3275146484375
2010-01-22,14.42474365234375
2010-01-25,14.463993072509766
2010-01-26,14.199047088623047
2010-01-27,14.012604713439941
2010-01-28,13.28646183013916
2010-01-29,12.8743257522583
2010-02-01,13.2177734375
2010-02-02,13.688783645629883
2010-02-03,13.521967887878418
2010-02-04,13.109831809997559
2010-02-05,13.168706893920898
2010-02-08,13.041142463684082
2010-02-09,13.198147773742676
2010-02-10,13.276649475097656
2010-02-11,13.58084487915039
2010-02-12,13.98316764831543
2010-02-16,15.356951713562012
2010-02-17,15.209758758544922
2010-02-18,15.209758758544922
2010-02-19,15.131258964538574
2010-02-22,15.180322647094727
2010-02-23,14.728937149047852
2010-02-24,14.866315841674805
2010-02-25,14.571935653686523
2010-02-26,14.248111724853516
2010-03-01,14.571935653686523
2010-03-02,14.768189430236816
2010-03-03,14.552308082580566
2010-03-04,14.218672752380371
2010-03-05,14.42474365234375
2010-03-08,14.365865707397461
2010-03-09,14.28736400604248
2010-03-10,14.503241539001465
2010-03-11,14.817251205444336
2010-03-12,16.053659439086914
2010-03-15,15.494330406188965
2010-03-16,15.268636703491211
2010-03-17,15.092005729675293
2010-03-18,14.807439804077148
2010-03-19,14.2971773147583
2010-03-22,14.473806381225586
2010-03-23,15.229386329650879
2010-03-24,14.660246849060059
2010-03-25,14.611186027526855
2010-03-26,14.817251205444336
2010-03-29,15.05275821685791
2010-03-30,15.45508098602295
2010-03-31,16.24991226196289
2010-04-01,15.896652221679688
2010-04-05,15.749460220336914
2010-04-06,15.729837417602539
2010-04-07,15.631708145141602
2010-04-08,15.042943954467773
2010-04-09,14.993879318237305
2010-04-12,15.042943954467773
2010-04-13,15.612082481384277
2010-04-14,16.66204833984375
2010-04-15,16.61298179626465
2010-04-16,16.004592895507812
2010-04-19,15.504143714904785
2010-04-20,15.945718765258789
2010-04-21,16.21065902709961
2010-04-22,17.103622436523438
2010-04-23,16.112531661987305
2010-04-26,15.769084930419922
2010-04-27,15.612082481384277
2010-04-28,15.739649772644043
2010-04-29,15.896652221679688
2010-04-30,14.444365501403809
2010-05-03,15.013506889343262
2010-05-04,13.963541984558105
2010-05-05,13.463091850280762
2010-05-06,12.687887191772461
2010-05-07,11.804736137390137
2010-05-10,12.462191581726074
2010-05-11,12.776199340820312
2010-05-12,12.903764724731445
2010-05-13,13.227583885192871
2010-05-14,12.668259620666504
2010-05-17,12.422940254211426
2010-05-18,12.295374870300293
2010-05-19,11.814550399780273
2010-05-20,11.363162994384766
2010-05-21,11.94211483001709
2010-05-24,11.71642017364502
2010-05-25,11.284663200378418
2010-05-26,11.6673583984375
2010-05-27,12.295374870300293
2010-05-28,12.128557205200195
2010-06-01,11.863615036010742
2010-06-02,12.413127899169922
2010-06-03,12.756575584411621
2010-06-04,12.550506591796875
2010-06-07,11.549606323242188
2010-06-08,11.59867000579834
2010-06-09,11.647732734680176
2010-06-10,12.295374870300293
2010-06-11,12.8743257522583
2010-06-14,13.011707305908203
2010-06-15,13.98316764831543
2010-06-16,13.894853591918945
2010-06-17,13.767288208007812
2010-06-18,14.002793312072754
2010-06-21,13.953729629516602
2010-06-22,13.953729629516602
2010-06-23,13.718225479125977
2010-06-24,13.276649475097656
2010-06-25,13.227583885192871
2010-06-28,13.423839569091797
2010-06-29,12.599570274353027
2010-06-30,12.059868812561035
2010-07-01,11.765484809875488
2010-07-02,11.775300979614258
2010-07-06,11.95192813873291
2010-07-07,12.71732234954834
2010-07-08,12.893954277038574
2010-07-09,13.394401550292969
2010-07-12,13.129456520080566
2010-07-13,13.894853591918945
2010-07-14,13.325713157653809
2010-07-15,13.463091850280762
2010-07-16,13.335525512695312
2010-07-19,13.904666900634766
2010-07-20,13.590656280517578
2010-07-21,13.551407814025879
2010-07-22,16.681673049926758
2010-07-23,16.86811065673828
2010-07-26,17.240999221801758
2010-07-27,17.093809127807617
2010-07-28,16.5737361907959
2010-07-29,15.994780540466309
2010-07-30,17.280254364013672
2010-08-02,17.50594711303711
2010-08-03,17.447067260742188
2010-08-04,17.819950103759766
2010-08-05,17.525569915771484
2010-08-06,16.86811065673828
2010-08-09,17.417627334594727
2010-08-10,16.86811065673828
2010-08-11,15.661149024963379
2010-08-12,15.19013500213623
2010-08-13,15.101822853088379
2010-08-16,15.572834014892578
2010-08-17,15.975156784057617
2010-08-18,16.25972557067871
2010-08-19,15.612082481384277
2010-08-20,15.278450012207031
2010-08-23,15.121447563171387
2010-08-24,14.777999877929688
2010-08-25,15.013506889343262
2010-08-26,14.483617782592773
2010-08-27,15.05275821685791
2010-08-30,14.414928436279297
2010-08-31,13.826162338256836
2010-09-01,14.238298416137695
2010-09-02,15.013506889343262
2010-09-03,15.415827751159668
2010-09-07,14.69949722290039
2010-09-08,13.91447925567627
2010-09-09,13.885038375854492
2010-09-10,13.875227928161621
2010-09-13,14.316800117492676
2010-09-14,14.611186027526855
2010-09-15,14.159799575805664
2010-09-16,13.904666900634766
2010-09-17,13.355151176452637
2010-09-20,13.57103157043457
2010-09-21,13.934103965759277
2010-09-22,12.069681167602539
2010-09-23,11.775300979614258
2010-09-24,12.393503189086914
2010-09-27,12.491629600524902
2010-09-28,12.609382629394531
