Date,OTIS
2020-03-19,41.74911117553711
2020-03-20,41.5184440612793
2020-03-23,36.90528869628906
2020-03-24,36.90528869628906
2020-03-25,37.83713912963867
2020-03-26,41.5184440612793
2020-03-27,41.73527145385742
2020-03-30,46.13159942626953
2020-03-31,46.13159942626953
2020-04-01,43.08692169189453
2020-04-02,40.59581756591797
2020-04-03,43.65895080566406
2020-04-06,42.385711669921875
2020-04-07,40.854156494140625
2020-04-08,40.678855895996094
2020-04-09,45.33814239501953
2020-04-13,42.44107437133789
2020-04-14,42.3395881652832
2020-04-15,41.10325622558594
2020-04-16,42.09048080444336
2020-04-17,42.57947540283203
2020-04-20,41.87827682495117
2020-04-21,42.348819732666016
2020-04-22,43.40983581542969
2020-04-23,43.7973518371582
2020-04-24,44.14794158935547
2020-04-27,44.489322662353516
2020-04-28,46.00243377685547
2020-04-29,47.19264221191406
2020-04-30,46.97121047973633
2020-05-01,45.864044189453125
2020-05-04,45.697967529296875
2020-05-05,44.36937713623047
2020-05-06,44.572364807128906
2020-05-07,47.80157470703125
2020-05-08,48.85337448120117
2020-05-11,47.80157470703125
2020-05-12,45.87327194213867
2020-05-13,44.48008728027344
2020-05-14,44.286338806152344
2020-05-15,45.10748291015625
2020-05-18,48.09680938720703
2020-05-19,48.26288986206055
2020-05-20,49.06556701660156
2020-05-21,48.18577194213867
2020-05-22,47.889400482177734
2020-05-26,47.130001068115234
2020-05-27,48.50990295410156
2020-05-28,47.19481658935547
2020-05-29,48.75996017456055
2020-06-01,50.084312438964844
2020-06-02,50.14912796020508
2020-06-03,51.37160110473633
2020-06-04,51.3067741394043
2020-06-05,54.2425651550293
2020-06-08,56.73381042480469
2020-06-09,56.16887283325195
2020-06-10,54.6685791015625
2020-06-11,52.09397506713867
2020-06-12,51.89949417114258
2020-06-15,53.40906524658203
2020-06-16,53.57575988769531
2020-06-17,52.54777908325195
2020-06-18,53.24235534667969
2020-06-19,52.7885627746582
2020-06-22,52.8441276550293
2020-06-23,52.603336334228516
2020-06-24,51.436431884765625
2020-06-25,52.047672271728516
2020-06-26,51.6679573059082
2020-06-29,52.39031982421875
2020-06-30,52.65890884399414
2020-07-01,51.65869903564453
2020-07-02,52.32550048828125
2020-07-06,52.65890884399414
2020-07-07,52.62185287475586
2020-07-08,52.71446990966797
2020-07-09,51.964324951171875
2020-07-10,52.770050048828125
2020-07-13,52.68668746948242
2020-07-14,53.1312255859375
2020-07-15,53.89990234375
2020-07-16,54.01103210449219
2020-07-17,54.22404098510742
2020-07-20,54.23330307006836
2020-07-21,54.122161865234375
2020-07-22,54.159210205078125
2020-07-23,54.69635772705078
2020-07-24,53.8350715637207
2020-07-27,54.01103210449219
2020-07-28,55.82621765136719
2020-07-29,59.5492057800293
2020-07-30,58.70643997192383
2020-07-31,58.10446548461914
2020-08-03,58.53973388671875
2020-08-04,57.98405456542969
2020-08-05,58.4286003112793
2020-08-06,58.7897834777832
2020-08-07,59.65106964111328
2020-08-10,60.39196014404297
2020-08-11,59.6140251159668
2020-08-12,60.104862213134766
2020-08-13,59.2713737487793
2020-08-14,59.3361930847168
2020-08-17,59.23432540893555
2020-08-18,58.762001037597656
2020-08-19,58.27116394042969
2020-08-20,58.50342559814453
2020-08-21,59.116615295410156
2020-08-24,59.274566650390625
2020-08-25,59.72978591918945
2020-08-26,59.62759780883789
2020-08-27,58.7449836730957
2020-08-28,59.07945251464844
2020-08-31,58.43839645385742
2020-09-01,59.50682830810547
2020-09-02,60.705322265625
2020-09-03,57.46286392211914
2020-09-04,57.1284065246582
2020-09-08,56.32940673828125
2020-09-09,57.67656707763672
2020-09-10,55.65119171142578
2020-09-11,55.87416458129883
2020-09-14,55.73480224609375
2020-09-15,56.02281188964844
2020-09-16,55.548988342285156
2020-09-17,56.710323333740234
2020-09-18,56.561676025390625
2020-09-21,55.19593811035156
2020-09-22,56.66387939453125
2020-09-23,56.1250114440918
2020-09-24,57.67656707763672
2020-09-25,57.184146881103516
2020-09-28,58.0760498046875
2020-09-29,57.983154296875
2020-09-30,57.99243927001953
2020-10-01,57.945987701416016
2020-10-02,58.6799430847168
2020-10-05,59.962074279785156
2020-10-06,59.302433013916016
2020-10-07,60.43588638305664
2020-10-08,60.119998931884766
2020-10-09,60.714603424072266
2020-10-12,61.030487060546875
2020-10-13,60.51020812988281
2020-10-14,60.9561653137207
2020-10-15,60.57524871826172
2020-10-16,60.41731262207031
2020-10-19,59.79482650756836
2020-10-20,59.82270431518555
2020-10-21,59.200233459472656
2020-10-22,58.754276275634766
2020-10-23,58.949378967285156
2020-10-26,58.72640609741211
2020-10-27,57.57435989379883
2020-10-28,54.80574035644531
2020-10-29,56.478057861328125
2020-10-30,56.93330383300781
2020-11-02,57.732303619384766
2020-11-03,58.26186752319336
2020-11-04,57.880950927734375
2020-11-05,58.18754959106445
2020-11-06,59.07015609741211
2020-11-09,58.9958381652832
2020-11-10,61.076942443847656
2020-11-11,61.43000030517578
2020-11-12,61.309207916259766
2020-11-13,60.919010162353516
2020-11-16,62.60990524291992
2020-11-17,62.43339538574219
2020-11-18,61.9038200378418
2020-11-19,61.652225494384766
2020-11-20,61.801307678222656
2020-11-23,62.667945861816406
2020-11-24,62.80772399902344
2020-11-25,62.789093017578125
2020-11-27,62.75181579589844
2020-11-30,62.37906265258789
2020-12-01,62.276573181152344
2020-12-02,61.2142333984375
2020-12-03,61.027870178222656
2020-12-04,60.7203483581543
2020-12-07,60.431480407714844
2020-12-08,61.605613708496094
2020-12-09,61.027870178222656
2020-12-10,59.6393928527832
