Date,J
2010-01-04,29.49989891052246
2010-01-05,29.891189575195312
2010-01-06,30.88091278076172
2010-01-07,32.100799560546875
2010-01-08,32.024085998535156
2010-01-11,31.69417381286621
2010-01-12,31.60210609436035
2010-01-13,31.402624130249023
2010-01-14,31.52538299560547
2010-01-15,30.896255493164062
2010-01-19,31.141767501831055
2010-01-20,30.796512603759766
2010-01-21,30.612382888793945
2010-01-22,30.428247451782227
2010-01-25,30.650737762451172
2010-01-26,29.875843048095703
2010-01-27,30.24411392211914
2010-01-28,29.216026306152344
2010-01-29,28.993526458740234
2010-02-01,29.392486572265625
2010-02-02,28.65595054626465
2010-02-03,28.82474708557129
2010-02-04,27.75828742980957
2010-02-05,27.566484451293945
2010-02-08,27.79665756225586
2010-02-09,28.157249450683594
2010-02-10,27.84269142150879
2010-02-11,28.233972549438477
2010-02-12,28.003801345825195
2010-02-16,29.361801147460938
2010-02-17,29.722396850585938
2010-02-18,30.198078155517578
2010-02-19,30.167387008666992
2010-02-22,30.167387008666992
2010-02-23,29.82213592529297
2010-02-24,30.282472610473633
2010-02-25,30.228763580322266
2010-02-26,29.768428802490234
2010-03-01,30.251781463623047
2010-03-02,30.589366912841797
2010-03-03,30.926942825317383
2010-03-04,30.834875106811523
2010-03-05,31.793909072875977
2010-03-08,32.23123550415039
2010-03-09,32.87569808959961
2010-03-10,32.91404724121094
2010-03-11,33.182586669921875
2010-03-12,33.41274642944336
2010-03-15,33.32069778442383
2010-03-16,33.73500061035156
2010-03-17,34.08792495727539
2010-03-18,33.642921447753906
2010-03-19,33.067501068115234
2010-03-22,33.29767990112305
2010-03-23,33.9421501159668
2010-03-24,35.26945114135742
2010-03-25,34.839805603027344
2010-03-26,34.42549133300781
2010-03-29,35.02393341064453
2010-03-30,34.839805603027344
2010-03-31,34.67101287841797
2010-04-01,35.11600112915039
2010-04-05,35.422889709472656
2010-04-06,34.839805603027344
2010-04-07,34.04188537597656
2010-04-08,33.97282409667969
2010-04-09,36.527706146240234
2010-04-12,35.8602180480957
2010-04-13,36.328216552734375
2010-04-14,36.719512939453125
2010-04-15,36.75787353515625
2010-04-16,35.98296356201172
2010-04-19,35.883216857910156
2010-04-20,36.49700927734375
2010-04-21,36.926666259765625
2010-04-22,37.479068756103516
2010-04-23,37.755271911621094
2010-04-26,37.34096145629883
2010-04-27,36.412628173828125
2010-04-28,37.118473052978516
2010-04-29,38.33837127685547
2010-04-30,36.99571990966797
2010-05-03,37.69389343261719
2010-05-04,35.660743713378906
2010-05-05,35.06996536254883
2010-05-06,33.96516418457031
2010-05-07,32.492095947265625
2010-05-10,34.647987365722656
2010-05-11,34.32575988769531
2010-05-12,35.906253814697266
2010-05-13,35.82184600830078
2010-05-14,35.37685775756836
2010-05-17,35.208072662353516
2010-05-18,34.563602447509766
2010-05-19,33.04449462890625
2010-05-20,31.29521369934082
2010-05-21,32.26959991455078
2010-05-24,31.302875518798828
2010-05-25,31.180131912231445
2010-05-26,31.049697875976562
2010-05-27,32.553470611572266
2010-05-28,32.0394287109375
2010-06-01,30.865562438964844
2010-06-02,32.66854476928711
2010-06-03,33.527854919433594
2010-06-04,30.796512603759766
2010-06-07,29.568950653076172
2010-06-08,30.213422775268555
2010-06-09,30.397552490234375
2010-06-10,31.571413040161133
2010-06-11,31.318233489990234
2010-06-14,31.28753662109375
2010-06-15,32.06245422363281
2010-06-16,32.07011795043945
2010-06-17,31.862953186035156
2010-06-18,31.932016372680664
2010-06-21,31.962690353393555
2010-06-22,31.172452926635742
2010-06-23,31.003673553466797
2010-06-24,30.198078155517578
2010-06-25,30.30548667907715
2010-06-28,29.82213592529297
2010-06-29,28.3183650970459
2010-06-30,27.9577693939209
2010-07-01,27.505107879638672
2010-07-02,27.182876586914062
2010-07-06,27.673892974853516
2010-07-07,28.625261306762695
2010-07-08,28.671293258666992
2010-07-09,29.131633758544922
2010-07-12,28.663618087768555
2010-07-13,29.6610164642334
