Date,SNEX
2010-01-04,6.635556221008301
2010-01-05,6.493332862854004
2010-01-06,6.3466668128967285
2010-01-07,6.5155558586120605
2010-01-08,6.373332977294922
2010-01-11,6.426667213439941
2010-01-12,6.488889217376709
2010-01-13,6.631111145019531
2010-01-14,6.622221946716309
2010-01-15,6.555555820465088
2010-01-19,6.648889064788818
2010-01-20,6.568889141082764
2010-01-21,6.480000019073486
2010-01-22,6.3822221755981445
2010-01-25,6.493332862854004
2010-01-26,6.400000095367432
2010-01-27,6.622221946716309
2010-01-28,6.595555782318115
2010-01-29,6.6177778244018555
2010-02-01,6.671111106872559
2010-02-02,6.639999866485596
2010-02-03,6.555555820465088
2010-02-04,6.444444179534912
2010-02-05,6.4844441413879395
2010-02-08,6.426667213439941
2010-02-09,6.599999904632568
2010-02-10,6.6666669845581055
2010-02-11,6.79555606842041
2010-02-12,6.791110992431641
2010-02-16,6.81777811050415
2010-02-17,6.471110820770264
2010-02-18,6.6666669845581055
2010-02-19,6.6666669845581055
2010-02-22,6.924444198608398
2010-02-23,6.960000038146973
2010-02-24,6.960000038146973
2010-02-25,7.031110763549805
2010-02-26,6.937777996063232
2010-03-01,7.088889122009277
2010-03-02,7.084444046020508
2010-03-03,7.0444440841674805
2010-03-04,7.111111164093018
2010-03-05,7.288888931274414
2010-03-08,7.444444179534912
2010-03-09,7.506667137145996
2010-03-10,7.573332786560059
2010-03-11,7.568889141082764
2010-03-12,7.4844441413879395
2010-03-15,7.351110935211182
2010-03-16,7.377778053283691
2010-03-17,7.377778053283691
2010-03-18,7.208889007568359
2010-03-19,6.648889064788818
2010-03-22,6.782221794128418
2010-03-23,6.862222194671631
2010-03-24,6.840000152587891
2010-03-25,6.764443874359131
2010-03-26,6.693333148956299
2010-03-29,6.702221870422363
2010-03-30,6.684443950653076
2010-03-31,6.657777786254883
2010-04-01,6.6666669845581055
2010-04-05,6.688889026641846
2010-04-06,6.79555606842041
2010-04-07,6.857778072357178
2010-04-08,6.8933329582214355
2010-04-09,6.9422221183776855
2010-04-12,6.897778034210205
2010-04-13,6.866666793823242
2010-04-14,7.1644439697265625
2010-04-15,7.262221813201904
2010-04-16,7.1066670417785645
2010-04-19,7.097777843475342
2010-04-20,7.186666965484619
2010-04-21,7.3333330154418945
2010-04-22,7.293333053588867
2010-04-23,7.2844438552856445
2010-04-26,7.262221813201904
2010-04-27,7.1555562019348145
2010-04-28,7.191111087799072
2010-04-29,7.28000020980835
2010-04-30,7.186666965484619
2010-05-03,7.195556163787842
2010-05-04,7.07111120223999
2010-05-05,7.053332805633545
2010-05-06,6.933332920074463
2010-05-07,6.906667232513428
2010-05-10,7.1555562019348145
2010-05-11,7.222221851348877
2010-05-12,7.28000020980835
2010-05-13,7.3333330154418945
2010-05-14,7.448888778686523
2010-05-17,7.377778053283691
2010-05-18,7.28000020980835
2010-05-19,7.293333053588867
2010-05-20,7.093332767486572
2010-05-21,7.035555839538574
2010-05-24,7.0577778816223145
2010-05-25,7.217778205871582
2010-05-26,7.20444393157959
2010-05-27,7.404444217681885
2010-05-28,7.271111011505127
2010-06-01,7.088889122009277
2010-06-02,7.248888969421387
2010-06-03,7.266666889190674
2010-06-04,7.053332805633545
2010-06-07,6.915555953979492
2010-06-08,7.186666965484619
2010-06-09,7.093332767486572
2010-06-10,7.186666965484619
2010-06-11,7.400000095367432
2010-06-14,7.337778091430664
2010-06-15,7.413332939147949
2010-06-16,7.444444179534912
2010-06-17,7.444444179534912
2010-06-18,7.440000057220459
2010-06-21,7.368888854980469
2010-06-22,7.271111011505127
2010-06-23,7.199999809265137
2010-06-24,7.195556163787842
2010-06-25,7.444444179534912
2010-06-28,7.248888969421387
2010-06-29,7.097777843475342
2010-06-30,7.111111164093018
2010-07-01,7.053332805633545
2010-07-02,7.053332805633545
2010-07-06,7.128889083862305
2010-07-07,7.1777777671813965
2010-07-08,7.1777777671813965
2010-07-09,7.2311110496521
2010-07-12,7.137777805328369
2010-07-13,7.391110897064209
2010-07-14,7.302221775054932
2010-07-15,7.271111011505127
2010-07-16,7.0577778816223145
2010-07-19,7.2266669273376465
2010-07-20,7.271111011505127
2010-07-21,7.142221927642822
2010-07-22,7.3955559730529785
2010-07-23,7.400000095367432
2010-07-26,7.462222099304199
2010-07-27,7.440000057220459
2010-07-28,7.324443817138672
2010-07-29,7.3333330154418945
2010-07-30,7.528889179229736
2010-08-02,7.417778015136719
2010-08-03,7.373332977294922
2010-08-04,7.426667213439941
2010-08-05,7.511110782623291
2010-08-06,7.537777900695801
2010-08-09,7.528889179229736
2010-08-10,7.422222137451172
2010-08-11,7.257778167724609
2010-08-12,7.124444007873535
2010-08-13,7.1644439697265625
2010-08-16,7.25333309173584
2010-08-17,7.413332939147949
2010-08-18,7.462222099304199
2010-08-19,7.440000057220459
2010-08-20,7.440000057220459
2010-08-23,7.377778053283691
2010-08-24,7.3333330154418945
2010-08-25,7.351110935211182
2010-08-26,7.266666889190674
2010-08-27,7.3333330154418945
2010-08-30,7.2266669273376465
2010-08-31,7.2755560874938965
2010-09-01,7.342222213745117
2010-09-02,7.3333330154418945
2010-09-03,7.435555934906006
2010-09-07,7.3822221755981445
2010-09-08,7.466667175292969
2010-09-09,7.462222099304199
2010-09-10,7.435555934906006
2010-09-13,7.706666946411133
2010-09-14,7.808888912200928
2010-09-15,7.884444236755371
2010-09-16,7.888888835906982
2010-09-17,8.026666641235352
2010-09-20,8.333333015441895
2010-09-21,8.066666603088379
2010-09-22,8.102222442626953
2010-09-23,7.777778148651123
