Date,FWONA
2013-01-10,19.312593460083008
2013-01-11,19.51156234741211
2013-01-14,19.470703125
2013-01-15,19.523998260498047
2013-01-16,19.417407989501953
2013-01-17,19.637697219848633
2013-01-18,19.63947296142578
2013-01-22,19.673227310180664
2013-01-23,19.550647735595703
2013-01-24,19.55775260925293
2013-01-25,19.675003051757812
2013-01-28,19.69099235534668
2013-01-29,19.657238006591797
2013-01-30,19.64302635192871
2013-01-31,19.810020446777344
2013-02-01,19.980566024780273
2013-02-04,19.69809913635254
2013-02-05,20.08538055419922
2013-02-06,19.829561233520508
2013-02-07,19.60749626159668
2013-02-08,19.550647735595703
2013-02-11,19.717639923095703
2013-02-12,19.714086532592773
2013-02-13,19.68743896484375
2013-02-14,19.671451568603516
2013-02-15,19.73362922668457
2013-02-19,19.669673919677734
2013-02-20,19.51866912841797
2013-02-21,19.097633361816406
2013-02-22,19.03367805480957
2013-02-25,18.90576934814453
2013-02-26,19.007030487060547
2013-02-27,19.106515884399414
2013-02-28,19.186460494995117
2013-03-01,19.195341110229492
2013-03-04,19.452938079833984
2013-03-05,19.6856632232666
2013-03-06,19.69099235534668
2013-03-07,19.673227310180664
2013-03-08,19.584400177001953
2013-03-11,19.550647735595703
2013-03-12,19.666120529174805
2013-03-13,19.527551651000977
2013-03-14,19.70165252685547
2013-03-15,19.60749626159668
2013-03-18,19.659015655517578
2013-03-19,19.60216522216797
2013-03-20,19.6057186126709
2013-03-21,19.706981658935547
2013-03-22,19.548870086669922
2013-03-25,19.502681732177734
2013-03-26,19.545316696166992
2013-03-27,19.641250610351562
2013-03-28,19.83133888244629
2013-04-01,19.678556442260742
2013-04-02,19.653684616088867
2013-04-03,19.64657974243164
2013-04-04,19.34634780883789
2013-04-05,19.365888595581055
2013-04-08,19.353452682495117
2013-04-09,19.48136329650879
2013-04-10,19.77981948852539
2013-04-11,20.17243003845215
2013-04-12,19.90595245361328
2013-04-15,19.447608947753906
2013-04-16,19.51156234741211
2013-04-17,19.433395385742188
2013-04-18,19.34457015991211
2013-04-19,19.319698333740234
2013-04-22,19.492021560668945
2013-04-23,19.625261306762695
2013-04-24,19.63947296142578
2013-04-25,19.699874877929688
2013-04-26,19.8526554107666
2013-04-29,19.760276794433594
2013-04-30,20.408708572387695
2013-05-01,21.007396697998047
2013-05-02,20.808425903320312
2013-05-03,21.030492782592773
2013-05-06,21.12642478942871
2013-05-07,21.34493637084961
2013-05-08,21.55278968811035
2013-05-09,21.497716903686523
2013-05-10,21.755313873291016
2013-05-13,21.77485466003418
2013-05-14,22.16391372680664
2013-05-15,22.5529727935791
2013-05-16,22.2864933013916
2013-05-17,22.41973304748535
2013-05-20,22.26162338256836
2013-05-21,22.181678771972656
2013-05-22,22.050216674804688
2013-05-23,21.895658493041992
2013-05-24,22.304258346557617
2013-05-28,22.275835037231445
2013-05-29,21.90276527404785
2013-05-30,22.21365737915039
2013-05-31,22.181678771972656
2013-06-03,22.226091384887695
2013-06-04,22.190561294555664
2013-06-05,21.60786247253418
2013-06-06,22.158584594726562
2013-06-07,22.682659149169922
2013-06-10,22.34334373474121
2013-06-11,22.03422737121582
2013-06-12,21.46929359436035
2013-06-13,22.004026412963867
2013-06-14,22.20655059814453
2013-06-17,22.51744270324707
2013-06-18,23.096588134765625
2013-06-19,22.760826110839844
2013-06-20,22.20655059814453
