Date,NOV
2010-01-04,33.40262222290039
2010-01-05,33.982418060302734
2010-01-06,34.46797561645508
2010-01-07,34.134605407714844
2010-01-08,34.1418342590332
2010-01-11,33.80847930908203
2010-01-12,33.598297119140625
2010-01-13,33.59104919433594
2010-01-14,34.03313446044922
2010-01-15,33.51133728027344
2010-01-19,34.120094299316406
2010-01-20,33.28667449951172
2010-01-21,32.170589447021484
2010-01-22,30.822586059570312
2010-01-25,31.235689163208008
2010-01-26,30.924053192138672
2010-01-27,31.105247497558594
2010-01-28,30.068897247314453
2010-01-29,29.64130210876465
2010-02-01,30.503704071044922
2010-02-02,30.909564971923828
2010-02-03,31.86621856689453
2010-02-04,30.82985496520996
2010-02-05,30.655902862548828
2010-02-08,30.097871780395508
2010-02-09,30.931312561035156
2010-02-10,30.83709716796875
2010-02-11,31.460355758666992
2010-02-12,31.424129486083984
2010-02-16,31.93866539001465
2010-02-17,32.12712097167969
2010-02-18,32.409751892089844
2010-02-19,32.69239044189453
2010-02-22,32.17783737182617
2010-02-23,31.257444381713867
2010-02-24,31.518333435058594
2010-02-25,31.286420822143555
2010-02-26,31.50383949279785
2010-03-01,31.64154815673828
2010-03-02,31.90968894958496
2010-03-03,32.13435363769531
2010-03-04,31.271942138671875
2010-03-05,31.64154815673828
2010-03-08,31.619810104370117
2010-03-09,31.482091903686523
2010-03-10,31.75086784362793
2010-03-11,31.881622314453125
2010-03-12,31.917936325073242
2010-03-15,31.423974990844727
2010-03-16,32.0341682434082
2010-03-17,32.44095230102539
2010-03-18,31.75812530517578
2010-03-19,30.842866897583008
2010-03-22,30.74117660522461
2010-03-23,30.857397079467773
2010-03-24,30.69032859802246
2010-03-25,29.70969581604004
2010-03-26,28.99781036376953
2010-03-29,29.491764068603516
2010-03-30,29.390071868896484
2010-03-31,29.477231979370117
2010-04-01,30.232698440551758
2010-04-05,30.95183753967285
2010-04-06,31.39493179321289
2010-04-07,31.19154167175293
2010-04-08,30.821077346801758
2010-04-09,31.184268951416016
2010-04-12,31.155216217041016
2010-04-13,30.428815841674805
2010-04-14,30.69032859802246
2010-04-15,31.147958755493164
2010-04-16,30.857397079467773
2010-04-19,30.90098762512207
