Date,AGCO
2010-01-04,25.961179733276367
2010-01-05,26.063356399536133
2010-01-06,25.92974281311035
2010-01-07,26.24413299560547
2010-01-08,28.051902770996094
2010-01-11,28.971513748168945
2010-01-12,27.698213577270508
2010-01-13,27.83183479309082
2010-01-14,27.48600196838379
2010-01-15,27.179458618164062
2010-01-19,27.148019790649414
2010-01-20,26.448495864868164
2010-01-21,25.898303985595703
2010-01-22,24.900104522705078
2010-01-25,25.206619262695312
2010-01-26,25.63106346130371
2010-01-27,25.450294494628906
2010-01-28,24.625
2010-01-29,24.29488754272461
2010-02-01,25.096593856811523
2010-02-02,25.112316131591797
2010-02-03,24.978694915771484
2010-02-04,23.752548217773438
2010-02-05,23.92547035217285
2010-02-08,23.92547035217285
2010-02-09,25.002267837524414
2010-02-10,24.93153190612793
2010-02-11,26.299163818359375
2010-02-12,26.55852699279785
2010-02-16,27.108718872070312
2010-02-17,27.383813858032227
2010-02-18,27.18732261657715
2010-02-19,27.313081741333008
2010-02-22,27.281641006469727
2010-02-23,26.495651245117188
2010-02-24,26.26771354675293
2010-02-25,26.424911499023438
2010-02-26,26.920087814331055
2010-03-01,27.336652755737305
2010-03-02,27.28949546813965
2010-03-03,27.839689254760742
2010-03-04,27.44669532775879
2010-03-05,27.7218017578125
2010-03-08,27.643190383911133
2010-03-09,27.957592010498047
2010-03-10,27.949724197387695
2010-03-11,26.88078498840332
2010-03-12,27.297351837158203
2010-03-15,27.18732261657715
2010-03-16,27.430971145629883
2010-03-17,27.839689254760742
2010-03-18,27.43883514404297
2010-03-19,27.155885696411133
2010-03-22,27.35237693786621
2010-03-23,28.154083251953125
2010-03-24,28.114789962768555
2010-03-25,28.232683181762695
2010-03-26,28.256269454956055
2010-03-29,28.468482971191406
2010-03-30,28.80646514892578
2010-03-31,28.193384170532227
2010-04-01,28.460620880126953
2010-04-05,29.27804183959961
2010-04-06,29.380226135253906
2010-04-07,29.482404708862305
2010-04-08,29.61602783203125
2010-04-09,30.36271858215332
2010-04-12,30.645675659179688
2010-04-13,31.132991790771484
2010-04-14,30.810718536376953
2010-04-15,30.126922607421875
2010-04-16,30.11905288696289
2010-04-19,29.985429763793945
2010-04-20,30.574932098388672
2010-04-21,29.85181427001953
2010-04-22,30.24481964111328
2010-04-23,30.5592098236084
2010-04-26,31.258726119995117
2010-04-27,28.232683181762695
2010-04-28,28.18552589416504
2010-04-29,28.476335525512695
2010-04-30,27.52529525756836
2010-05-03,28.0047550201416
2010-05-04,27.281641006469727
2010-05-05,26.85721206665039
2010-05-06,26.07121467590332
2010-05-07,25.90615463256836
2010-05-10,27.155885696411133
2010-05-11,26.613554000854492
2010-05-12,26.55066680908203
2010-05-13,26.03192138671875
2010-05-14,23.815431594848633
2010-05-17,23.501039505004883
2010-05-18,23.241661071777344
2010-05-19,23.532474517822266
2010-05-20,22.298471450805664
2010-05-21,23.068744659423828
2010-05-24,22.322052001953125
2010-05-25,22.329910278320312
2010-05-26,22.267038345336914
2010-05-27,22.91154670715332
2010-05-28,22.61286735534668
2010-06-01,21.724702835083008
2010-06-02,22.34563636779785
2010-06-03,22.34563636779785
2010-06-04,21.033035278320312
2010-06-07,20.32564353942871
2010-06-08,20.435678482055664
2010-06-09,20.789379119873047
2010-06-10,22.125564575195312
2010-06-11,21.960498809814453
2010-06-14,21.960498809814453
2010-06-15,23.115903854370117
2010-06-16,23.02943992614746
2010-06-17,22.895824432373047
2010-06-18,23.084463119506836
2010-06-21,22.919403076171875
2010-06-22,22.078399658203125
2010-06-23,22.408512115478516
2010-06-24,22.251317977905273
2010-06-25,22.573575973510742
2010-06-28,22.46352767944336
2010-06-29,21.300268173217773
2010-06-30,21.198097229003906
2010-07-01,20.899417877197266
2010-07-02,20.82868003845215
2010-07-06,21.190229415893555
2010-07-07,22.03124237060547
2010-07-08,22.62859344482422
2010-07-09,22.895824432373047
2010-07-12,23.068744659423828
2010-07-13,23.98834991455078
2010-07-14,23.839006423950195
2010-07-15,23.4695987701416
2010-07-16,23.21021842956543
2010-07-19,23.634645462036133
2010-07-20,24.625
2010-07-21,24.617143630981445
2010-07-22,25.15947151184082
2010-07-23,25.811840057373047
2010-07-26,26.424911499023438
2010-07-27,26.810049057006836
2010-07-28,27.13230323791504
2010-07-29,26.66856575012207
2010-07-30,27.320938110351562
2010-08-02,27.86326026916504
2010-08-03,28.083345413208008
2010-08-04,28.602102279663086
2010-08-05,28.885051727294922
2010-08-06,28.853612899780273
2010-08-09,28.515636444091797
2010-08-10,28.358448028564453
2010-08-11,27.258066177368164
2010-08-12,26.77074432373047
2010-08-13,26.6292667388916
2010-08-16,27.32879638671875
2010-08-17,28.790735244750977
2010-08-18,27.871124267578125
2010-08-19,27.39168357849121
2010-08-20,27.70606803894043
2010-08-23,26.456348419189453
2010-08-24,26.660703659057617
2010-08-25,26.181257247924805
2010-08-26,25.78826904296875
2010-08-27,26.275571823120117
2010-08-30,25.67036247253418
2010-08-31,25.976900100708008
2010-09-01,27.014394760131836
2010-09-02,28.24054527282715
2010-09-03,29.002958297729492
2010-09-07,28.460620880126953
2010-09-08,28.798601150512695
2010-09-09,29.47454261779785
2010-09-10,29.969717025756836
2010-09-13,30.5985050201416
2010-09-14,30.52775764465332
2010-09-15,30.59065055847168
2010-09-16,30.38629150390625
2010-09-17,31.423784255981445
2010-09-20,31.486675262451172
2010-09-21,31.38451385498047
2010-09-22,31.085819244384766
2010-09-23,31.046506881713867
2010-09-24,31.58885383605957
2010-09-27,31.415945053100586
2010-09-28,31.43951416015625
