Date,JNJ
2010-01-04,40.675079345703125
2010-01-05,40.20341110229492
2010-01-06,40.53042221069336
2010-01-07,40.24114227294922
2010-01-08,40.37948226928711
2010-01-11,40.38579559326172
2010-01-12,40.5995979309082
2010-01-13,40.85744094848633
2010-01-14,40.93919372558594
2010-01-15,40.5995979309082
2010-01-19,41.096397399902344
2010-01-20,40.970638275146484
2010-01-21,40.22857666015625
2010-01-22,39.74435043334961
2010-01-25,39.756935119628906
2010-01-26,39.486507415771484
2010-01-27,39.895263671875
2010-01-28,40.12166976928711
2010-01-29,39.53053665161133
2010-02-01,39.675174713134766
2010-02-02,40.24114227294922
2010-02-03,40.0147590637207
2010-02-04,39.392181396484375
2010-02-05,39.392181396484375
2010-02-08,39.222381591796875
2010-02-09,39.4676399230957
2010-02-10,39.44878387451172
2010-02-11,39.561981201171875
2010-02-12,39.44248962402344
2010-02-16,40.002193450927734
2010-02-17,40.2348518371582
2010-02-18,40.580745697021484
2010-02-19,40.43498992919922
2010-02-22,40.23221969604492
2010-02-23,40.11815643310547
2010-02-24,40.20686340332031
2010-02-25,40.099151611328125
2010-02-26,39.92171859741211
2010-03-01,40.16884231567383
2010-03-02,40.20054244995117
2010-03-03,40.17518615722656
2010-03-04,40.28291320800781
2010-03-05,40.58074951171875
2010-03-08,40.682125091552734
2010-03-09,40.72648620605469
2010-03-10,40.73915481567383
2010-03-11,40.69480514526367
2010-03-12,40.66946029663086
2010-03-15,40.91659927368164
2010-03-16,40.8912467956543
2010-03-17,40.967281341552734
2010-03-18,41.227088928222656
2010-03-19,41.25876998901367
2010-03-22,41.252437591552734
2010-03-23,41.41718673706055
2010-03-24,41.030662536621094
2010-03-25,40.91659927368164
2010-03-26,40.79619598388672
2010-03-29,41.075016021728516
2010-03-30,41.12570571899414
2010-03-31,41.31580352783203
2010-04-01,41.677001953125
2010-04-05,41.44254684448242
2010-04-06,41.38550567626953
2010-04-07,41.328460693359375
2010-04-08,41.14470291137695
2010-04-09,41.27778244018555
2010-04-12,41.25876998901367
2010-04-13,41.61996078491211
2010-04-14,41.49957275390625
2010-04-15,41.51224899291992
2010-04-16,41.20174789428711
2010-04-19,41.841766357421875
2010-04-20,41.816410064697266
2010-04-21,41.43621063232422
2010-04-22,41.04966735839844
2010-04-23,41.21442794799805
2010-04-26,41.0369758605957
2010-04-27,40.73283004760742
2010-04-28,40.948272705078125
2010-04-29,41.19541549682617
2010-04-30,40.74549865722656
2010-05-03,41.39818572998047
2010-05-04,40.998966217041016
2010-05-05,41.27778244018555
2010-05-06,40.17518615722656
2010-05-07,40.11815643310547
2010-05-10,41.030662536621094
2010-05-11,40.97994613647461
2010-05-12,41.12570571899414
2010-05-13,40.97994613647461
2010-05-14,40.536380767822266
2010-05-17,40.47935485839844
2010-05-18,39.9027099609375
2010-05-19,39.42744064331055
2010-05-20,38.36920166015625
2010-05-21,38.57832717895508
2010-05-24,38.38188171386719
2010-05-25,38.24246597290039
2010-05-26,37.805233001708984
2010-05-27,37.7476692199707
2010-05-28,37.280860900878906
2010-06-01,37.57502746582031
2010-06-02,38.19529724121094
2010-06-03,38.22087860107422
2010-06-04,37.095428466796875
2010-06-07,37.089027404785156
2010-06-08,37.498294830322266
2010-06-09,37.19773864746094
2010-06-10,37.40876388549805
2010-06-11,37.38318634033203
2010-06-14,37.35760498046875
2010-06-15,37.8180046081543
2010-06-16,37.88196563720703
2010-06-17,37.843589782714844
2010-06-18,37.843589782714844
2010-06-21,37.81161880493164
2010-06-22,37.83080291748047
2010-06-23,37.88196563720703
2010-06-24,38.112178802490234
2010-06-25,37.536659240722656
2010-06-28,38.01625061035156
2010-06-29,37.88196563720703
2010-06-30,37.76685333251953
2010-07-01,37.773250579833984
2010-07-02,37.7796630859375
2010-07-06,37.7796630859375
2010-07-07,38.75803756713867
2010-07-08,39.250423431396484
2010-07-09,38.713279724121094
2010-07-12,38.50224685668945
2010-07-13,38.68769073486328
2010-07-14,38.76441955566406
2010-07-15,38.53422546386719
2010-07-16,38.00985336303711
2010-07-19,38.09296798706055
2010-07-20,37.45992660522461
2010-07-21,36.526302337646484
2010-07-22,36.46235656738281
2010-07-23,36.85243225097656
2010-07-26,36.922767639160156
2010-07-27,37.15296936035156
2010-07-28,36.98031997680664
2010-07-29,36.98031997680664
2010-07-30,37.146583557128906
2010-08-02,37.54944610595703
2010-08-03,37.95230484008789
2010-08-04,38.20170974731445
2010-08-05,38.21449279785156
2010-08-06,38.342376708984375
2010-08-09,38.39993667602539
2010-08-10,38.00346755981445
2010-08-11,37.40876388549805
2010-08-12,37.42155456542969
2010-08-13,37.18494415283203
2010-08-16,37.095428466796875
2010-08-17,37.86918258666992
2010-08-18,37.95230484008789
2010-08-19,37.54944610595703
2010-08-20,37.56221389770508
2010-08-23,37.645381927490234
2010-08-24,37.095428466796875
2010-08-25,37.076236724853516
2010-08-26,36.96114730834961
2010-08-27,37.18061065673828
2010-08-30,36.98695755004883
2010-08-31,36.806217193603516
2010-09-01,37.625999450683594
2010-09-02,37.83256149291992
2010-09-03,38.03911209106445
2010-09-07,37.890663146972656
2010-09-08,37.98747253417969
2010-09-09,38.613616943359375
2010-09-10,38.71687316894531
2010-09-13,38.93635940551758
2010-09-14,39.104190826416016
2010-09-15,39.407569885253906
2010-09-16,39.56246566772461
2010-09-17,39.743221282958984
2010-09-20,40.07887268066406
2010-09-21,39.982059478759766
2010-09-22,40.00142288208008
2010-09-23,39.89814376831055
2010-09-24,40.11116027832031
2010-09-27,40.04015350341797
2010-09-28,40.298343658447266
