Date,LENZ
2021-06-25,61.64075469970703
2021-06-28,75.6348648071289
2021-06-29,91.96134185791016
2021-06-30,102.39028930664062
2021-07-01,94.1270980834961
2021-07-02,94.59355926513672
2021-07-06,87.92970275878906
2021-07-07,80.83269500732422
2021-07-08,80.93264770507812
2021-07-09,81.59902954101562
2021-07-12,85.7972640991211
2021-07-13,85.7639389038086
2021-07-14,85.43075561523438
2021-07-15,82.6319351196289
2021-07-16,85.99717712402344
2021-07-19,91.76142120361328
2021-07-20,84.99760437011719
2021-07-21,81.765625
2021-07-22,83.2649917602539
2021-07-23,81.69898986816406
2021-07-26,74.00222778320312
2021-07-27,72.13634490966797
2021-07-28,71.56991577148438
2021-07-29,71.70318603515625
2021-07-30,71.17008209228516
2021-08-02,69.9705810546875
2021-08-03,69.03764343261719
2021-08-04,69.4374771118164
2021-08-05,68.80441284179688
2021-08-06,68.90436553955078
2021-08-09,69.13760375976562
2021-08-10,74.8685302734375
2021-08-11,73.40248107910156
2021-08-12,73.40248107910156
2021-08-13,72.0697021484375
2021-08-16,69.90394592285156
2021-08-17,66.20550537109375
2021-08-18,65.33920288085938
2021-08-19,60.60785675048828
2021-08-20,59.6749153137207
2021-08-23,66.83856964111328
2021-08-24,66.6719741821289
2021-08-25,66.6386489868164
2021-08-26,64.00643157958984
2021-08-27,66.33877563476562
2021-08-30,67.50495910644531
2021-08-31,65.10596466064453
2021-09-01,65.40583801269531
2021-09-02,66.47205352783203
2021-09-03,68.07138061523438
2021-09-07,66.47205352783203
2021-09-08,64.63949584960938
2021-09-09,67.07180786132812
2021-09-10,66.60533142089844
2021-09-13,64.67281341552734
2021-09-14,64.77276611328125
2021-09-15,66.60533142089844
2021-09-16,67.13844299316406
2021-09-17,64.53953552246094
2021-09-20,56.34298324584961
2021-09-21,53.577476501464844
2021-09-22,52.677852630615234
2021-09-23,56.709495544433594
2021-09-24,55.54331588745117
2021-09-27,56.00978469848633
2021-09-28,54.31050491333008
2021-09-29,55.54331588745117
2021-09-30,54.61037826538086
2021-10-01,55.67659378051758
2021-10-04,51.04520797729492
2021-10-05,47.57999801635742
2021-10-06,46.71369934082031
2021-10-07,50.17890930175781
2021-10-08,44.481300354003906
2021-10-11,47.8798713684082
2021-10-12,46.18058395385742
2021-10-13,42.648738861083984
2021-10-14,42.415504455566406
2021-10-15,42.58209991455078
2021-10-18,41.382606506347656
2021-10-19,42.748695373535156
2021-10-20,42.98193359375
2021-10-21,42.2822265625
2021-10-22,41.049407958984375
2021-10-25,41.14936447143555
2021-10-26,42.115631103515625
2021-10-27,41.049407958984375
2021-10-28,41.44924545288086
2021-10-29,42.448822021484375
2021-11-01,42.18227005004883
2021-11-02,43.01525115966797
2021-11-03,43.848236083984375
2021-11-04,42.38218688964844
2021-11-05,40.08314895629883
2021-11-08,42.51546096801758
2021-11-09,41.615840911865234
2021-11-10,39.78327941894531
2021-11-11,41.31596755981445
2021-11-12,40.54962158203125
2021-11-15,39.21684646606445
2021-11-16,38.850337982177734
2021-11-17,38.75038146972656
2021-11-18,37.71747589111328
2021-11-19,36.95112991333008
2021-11-22,30.287269592285156
2021-11-23,30.72041893005371
2021-11-24,33.485923767089844
2021-11-26,31.853275299072266
2021-11-29,29.221050262451172
2021-11-30,30.054031372070312
2021-12-01,28.021554946899414
2021-12-02,29.554243087768555
2021-12-03,29.38764762878418
2021-12-06,31.953231811523438
2021-12-07,33.85243606567383
2021-12-08,37.25101089477539
2021-12-09,37.4842414855957
2021-12-10,35.45176696777344
2021-12-13,35.58504104614258
2021-12-14,34.518821716308594
2021-12-15,36.7178955078125
2021-12-16,36.28474807739258
2021-12-17,38.8170166015625
2021-12-20,35.65167999267578
2021-12-21,36.517982482910156
2021-12-22,38.98361587524414
2021-12-23,38.55045700073242
2021-12-27,38.483821868896484
2021-12-28,39.35012435913086
2021-12-29,38.1839485168457
2021-12-30,41.48256301879883
2021-12-31,41.415924072265625
2022-01-03,43.51504135131836
2022-01-04,42.38218688964844
2022-01-05,38.31722640991211
2022-01-06,36.95112991333008
2022-01-07,36.98445129394531
2022-01-10,36.0848274230957
2022-01-11,37.051090240478516
2022-01-12,37.01776885986328
2022-01-13,33.385963439941406
2022-01-14,33.51924133300781
2022-01-18,28.88785743713379
2022-01-19,29.887435913085938
2022-01-20,29.820798873901367
2022-01-21,29.854116439819336
2022-01-24,30.487184524536133
2022-01-25,29.68752098083496
2022-01-26,28.987815856933594
2022-01-27,27.0552921295166
2022-01-28,28.12151336669922
2022-01-31,31.120250701904297
2022-02-01,31.91991424560547
2022-02-02,30.687101364135742
2022-02-03,30.287269592285156
2022-02-04,31.620040893554688
2022-02-07,32.28642654418945
2022-02-08,33.65251922607422
2022-02-09,35.018611907958984
2022-02-10,33.952396392822266
2022-02-11,34.15230941772461
2022-02-14,34.05235290527344
2022-02-15,36.418025970458984
2022-02-16,36.7178955078125
2022-02-17,36.61793899536133
2022-02-18,29.92075538635254
2022-02-22,28.78789710998535
2022-02-23,29.021133422851562
2022-02-24,30.520505905151367
2022-02-25,30.953655242919922
2022-02-28,30.65378189086914
2022-03-01,27.921594619750977
2022-03-02,28.021554946899414
2022-03-03,26.755420684814453
2022-03-04,27.221891403198242
2022-03-07,28.521343231201172
2022-03-08,28.288108825683594
2022-03-09,29.95407485961914
2022-03-10,30.4538631439209
2022-03-11,28.854536056518555
2022-03-14,27.121931076049805
2022-03-15,26.188989639282227
2022-03-16,27.25520896911621
2022-03-17,28.78789710998535
2022-03-18,27.0552921295166
2022-03-21,22.95701789855957
