Date,VSEC
2010-01-04,20.76994514465332
2010-01-05,20.45339012145996
2010-01-06,20.365459442138672
2010-01-07,21.068923950195312
2010-01-08,21.293153762817383
2010-01-11,21.684459686279297
2010-01-12,21.253583908081055
2010-01-13,21.913095474243164
2010-01-14,22.39232635498047
2010-01-15,22.41871452331543
2010-01-19,23.61460304260254
2010-01-20,23.03424644470215
2010-01-21,23.1617431640625
2010-01-22,22.78802490234375
2010-01-25,23.183719635009766
2010-01-26,21.51738739013672
2010-01-27,22.80122184753418
2010-01-28,21.970245361328125
2010-01-29,22.22085189819336
2010-02-01,21.767553329467773
2010-02-02,21.441875457763672
2010-02-03,21.301040649414062
2010-02-04,20.640878677368164
2010-02-05,20.728893280029297
2010-02-08,20.165569305419922
2010-02-09,20.469236373901367
2010-02-10,20.310806274414062
2010-02-11,20.48244857788086
2010-02-12,20.711294174194336
2010-02-16,21.565099716186523
2010-02-17,21.468276977539062
2010-02-18,21.441875457763672
2010-02-19,21.732343673706055
2010-02-22,21.80716896057129
2010-02-23,22.216463088989258
2010-02-24,22.977842330932617
2010-02-25,22.65215492248535
2010-02-26,18.717628479003906
2010-03-01,19.008098602294922
2010-03-02,19.59783363342285
2010-03-03,20.152366638183594
2010-03-04,20.007129669189453
2010-03-05,20.218379974365234
2010-03-08,20.139169692993164
2010-03-09,19.875102996826172
2010-03-10,19.85309600830078
2010-03-11,19.831092834472656
2010-03-12,19.936725616455078
2010-03-15,19.822290420532227
2010-03-16,19.791486740112305
2010-03-17,19.81788444519043
2010-03-18,19.77828025817871
2010-03-19,20.06874656677246
2010-03-22,20.759716033935547
2010-03-23,19.831092834472656
2010-03-24,19.813486099243164
2010-03-25,19.721065521240234
2010-03-26,19.514219284057617
2010-03-29,19.241355895996094
2010-03-30,18.990488052368164
2010-03-31,18.114683151245117
2010-04-01,18.299528121948242
2010-04-05,18.149892807006836
2010-04-06,18.053071975708008
2010-04-07,17.428125381469727
2010-04-08,17.252084732055664
2010-04-09,16.869205474853516
2010-04-12,16.737165451049805
2010-04-13,16.323455810546875
2010-04-14,16.54351806640625
2010-04-15,17.01003074645996
2010-04-16,17.168458938598633
2010-04-19,17.22567367553711
2010-04-20,17.304889678955078
2010-04-21,17.47213363647461
2010-04-22,17.551355361938477
2010-04-23,17.441322326660156
2010-04-26,17.498546600341797
2010-04-27,17.357711791992188
2010-04-28,17.494144439697266
2010-04-29,18.22031021118164
2010-04-30,17.687786102294922
2010-05-03,18.269441604614258
2010-05-04,17.56440544128418
2010-05-05,17.599651336669922
2010-05-06,17.286788940429688
2010-05-07,16.965116500854492
2010-05-10,18.212160110473633
2010-05-11,17.568811416625977
2010-05-12,17.745065689086914
2010-05-13,17.665746688842773
2010-05-14,17.194246292114258
2010-05-17,17.291202545166016
2010-05-18,17.053245544433594
2010-05-19,17.366106033325195
2010-05-20,16.568523406982422
2010-05-21,16.145496368408203
2010-05-24,16.20719337463379
2010-05-25,16.34819984436035
2010-05-26,16.72715950012207
2010-05-27,17.084091186523438
2010-05-28,16.88138771057129
2010-06-01,16.317358016967773
2010-06-02,17.048843383789062
2010-06-03,17.25153160095215
2010-06-04,16.34819984436035
2010-06-07,16.145496368408203
2010-06-08,15.46689224243164
2010-06-09,15.343512535095215
2010-06-10,15.682811737060547
2010-06-11,15.669590950012207
2010-06-14,15.612316131591797
2010-06-15,16.33498191833496
2010-06-16,15.8326416015625
2010-06-17,15.779763221740723
2010-06-18,15.885519981384277
2010-06-21,15.607902526855469
2010-06-22,15.127596855163574
2010-06-23,15.422830581665039
2010-06-24,15.290632247924805
2010-06-25,16.493616104125977
2010-06-28,15.779763221740723
2010-06-29,14.920491218566895
2010-06-30,14.02155590057373
2010-07-01,13.708694458007812
2010-07-02,13.669034004211426
2010-07-06,13.329730033874512
2010-07-07,13.959864616394043
2010-07-08,14.184593200683594
2010-07-09,14.735417366027832
2010-07-12,14.413734436035156
2010-07-13,15.202505111694336
2010-07-14,15.242161750793457
2010-07-15,14.841169357299805
2010-07-16,13.748353004455566
2010-07-19,13.73953914642334
2010-07-20,14.08765697479248
2010-07-21,13.629373550415039
2010-07-22,14.413734436035156
2010-07-23,15.7445068359375
2010-07-26,16.583154678344727
2010-07-27,16.32273292541504
2010-07-28,16.124103546142578
2010-07-29,15.98286247253418
2010-07-30,15.673888206481934
2010-08-02,15.934303283691406
2010-08-03,15.987274169921875
2010-08-04,15.823958396911621
2010-08-05,15.126557350158691
2010-08-06,14.60571002960205
2010-08-09,15.05593204498291
2010-08-10,14.354114532470703
2010-08-11,12.893104553222656
2010-08-12,12.879862785339355
2010-08-13,12.694480895996094
2010-08-16,13.06966495513916
2010-08-17,13.043180465698242
2010-08-18,12.473779678344727
2010-08-19,12.425227165222168
2010-08-20,11.966180801391602
2010-08-23,11.763138771057129
2010-08-24,11.82934284210205
2010-08-25,11.838173866271973
2010-08-26,11.81169319152832
2010-08-27,12.120662689208984
2010-08-30,12.29280948638916
2010-08-31,12.394327163696289
2010-09-01,12.513505935668945
2010-09-02,12.588541030883789
2010-09-03,12.65916633605957
2010-09-07,12.690067291259766
2010-09-08,12.54881763458252
2010-09-09,12.756271362304688
2010-09-10,12.853378295898438
2010-09-13,13.391880989074707
2010-09-14,13.330084800720215
2010-09-15,13.444846153259277
2010-09-16,13.409533500671387
2010-09-17,14.292320251464844
2010-09-20,14.73371410369873
2010-09-21,14.305570602416992
2010-09-22,14.071622848510742
2010-09-23,14.027487754821777
2010-09-24,14.676335334777832
2010-09-27,14.73813247680664
2010-09-28,15.26779556274414
