Date,IHRT
2019-07-01,15.399999618530273
2019-07-02,15.399999618530273
2019-07-03,15.5
2019-07-05,15.449999809265137
2019-07-08,15.5
2019-07-09,15.600000381469727
2019-07-10,16.829999923706055
2019-07-11,16.5
2019-07-12,17.229999542236328
2019-07-15,17.350000381469727
2019-07-16,17.299999237060547
2019-07-17,17.0
2019-07-18,16.5
2019-07-19,16.299999237060547
2019-07-22,16.25
2019-07-23,16.350000381469727
2019-07-24,15.720000267028809
2019-07-25,15.619999885559082
2019-07-26,14.739999771118164
2019-07-29,14.25
2019-07-30,14.5
2019-07-31,14.960000038146973
2019-08-01,14.989999771118164
2019-08-02,14.75
2019-08-05,14.0
2019-08-06,13.850000381469727
2019-08-07,13.800000190734863
2019-08-08,13.0
2019-08-09,12.869999885559082
2019-08-12,13.25
2019-08-13,13.100000381469727
2019-08-14,13.460000038146973
2019-08-15,13.390000343322754
2019-08-16,13.25
2019-08-19,13.149999618530273
2019-08-20,13.25
2019-08-21,12.970000267028809
2019-08-22,12.970000267028809
2019-08-23,13.069999694824219
2019-08-26,13.210000038146973
2019-08-27,13.100000381469727
2019-08-28,13.239999771118164
2019-08-29,13.720000267028809
2019-08-30,13.800000190734863
2019-09-03,13.90999984741211
2019-09-04,13.979999542236328
2019-09-05,13.859999656677246
2019-09-06,13.930000305175781
2019-09-09,13.930000305175781
2019-09-10,14.039999961853027
2019-09-11,14.510000228881836
2019-09-12,14.430000305175781
2019-09-13,14.460000038146973
2019-09-16,14.210000038146973
2019-09-17,14.65999984741211
2019-09-18,14.829999923706055
2019-09-19,14.90999984741211
2019-09-20,14.770000457763672
2019-09-23,13.949999809265137
2019-09-24,14.210000038146973
2019-09-25,14.960000038146973
2019-09-26,14.619999885559082
2019-09-27,14.649999618530273
2019-09-30,15.0
2019-10-01,14.979999542236328
2019-10-02,15.300000190734863
2019-10-03,15.529999732971191
2019-10-04,15.380000114440918
2019-10-07,14.920000076293945
2019-10-08,14.539999961853027
2019-10-09,14.539999961853027
2019-10-10,14.739999771118164
2019-10-11,14.869999885559082
2019-10-14,14.789999961853027
2019-10-15,14.289999961853027
2019-10-16,14.350000381469727
2019-10-17,14.5
2019-10-18,14.5
2019-10-21,14.6899995803833
2019-10-22,14.670000076293945
2019-10-23,14.539999961853027
2019-10-24,14.4399995803833
2019-10-25,14.319999694824219
2019-10-28,14.34000015258789
