Date,NBHC
2012-09-20,15.403278350830078
2012-09-21,15.442575454711914
2012-09-24,15.363982200622559
2012-09-25,15.442575454711914
2012-09-26,15.30112075805664
2012-09-27,15.167512893676758
2012-09-28,15.293254852294922
2012-10-01,15.348271369934082
2012-10-02,15.340408325195312
2012-10-03,15.308968544006348
2012-10-04,15.37969970703125
2012-10-05,15.348271369934082
2012-10-08,15.356123924255371
2012-10-09,15.277546882629395
2012-10-10,15.183231353759766
2012-10-11,14.978900909423828
2012-10-12,15.136080741882324
2012-10-15,15.175374984741211
2012-10-16,15.151792526245117
2012-10-17,15.403278350830078
2012-10-18,15.458292007446289
2012-10-19,15.324694633483887
2012-10-22,15.136080741882324
2012-10-23,14.955326080322266
2012-10-24,14.994622230529785
2012-10-25,14.876736640930176
2012-10-26,14.868880271911621
2012-10-31,14.93174934387207
2012-11-01,14.93174934387207
2012-11-02,14.861024856567383
2012-11-05,15.41114330291748
2012-11-06,15.269681930541992
2012-11-07,15.277546882629395
2012-11-08,15.198948860168457
2012-11-09,15.324694633483887
2012-11-12,15.285400390625
2012-11-13,15.324694633483887
2012-11-14,15.246105194091797
2012-11-15,15.285400390625
2012-11-16,15.136080741882324
2012-11-19,14.93174934387207
2012-11-20,14.56238842010498
2012-11-21,14.53095531463623
2012-11-23,14.53095531463623
2012-11-26,14.46022891998291
2012-11-27,14.47593879699707
2012-11-28,14.507460594177246
2012-11-29,14.334096908569336
2012-11-30,14.436538696289062
2012-12-03,14.334096908569336
2012-12-04,14.302576065063477
2012-12-05,14.397139549255371
2012-12-06,14.310455322265625
2012-12-07,14.341979026794434
2012-12-10,14.365617752075195
2012-12-11,14.381378173828125
2012-12-12,14.468060493469238
2012-12-13,14.499584197998047
2012-12-14,14.208014488220215
2012-12-17,14.531100273132324
2012-12-18,14.37349796295166
2012-12-19,14.657188415527344
2012-12-20,14.562623023986816
2012-12-21,14.60990047454834
2012-12-24,14.657188415527344
2012-12-26,14.672941207885742
2012-12-27,14.917231559753418
2012-12-28,14.885710716247559
2012-12-31,14.964512825012207
2013-01-02,15.161514282226562
2013-01-03,14.854193687438965
2013-01-04,14.901471138000488
2013-01-07,14.862067222595215
2013-01-08,14.87783432006836
2013-01-09,14.854193687438965
2013-01-10,14.972392082214355
2013-01-11,14.932991981506348
2013-01-14,14.594144821166992
2013-01-15,14.60990047454834
2013-01-16,14.64141845703125
2013-01-17,14.60990047454834
2013-01-18,14.546859741210938
2013-01-22,14.554743766784668
2013-01-23,14.578385353088379
2013-01-24,14.594144821166992
2013-01-25,14.578385353088379
2013-01-28,14.523223876953125
2013-01-29,14.483819007873535
2013-01-30,14.412895202636719
2013-01-31,14.223770141601562
2013-02-01,14.26317310333252
2013-02-04,14.19225025177002
2013-02-05,14.168611526489258
2013-02-06,14.152854919433594
2013-02-07,14.23165512084961
2013-02-08,14.168611526489258
2013-02-11,14.326214790344238
2013-02-12,14.168611526489258
2013-02-13,14.176487922668457
2013-02-14,14.37349796295166
2013-02-15,14.40501594543457
2013-02-19,14.7832670211792
2013-02-20,14.728102684020996
2013-02-21,14.751749038696289
2013-02-22,14.578385353088379
2013-02-25,14.515338897705078
2013-02-26,14.55484676361084
2013-02-27,14.45212459564209
2013-02-28,14.294093132019043
2013-03-01,14.26248550415039
2013-03-04,14.53904914855957
2013-03-05,14.365206718444824
