Date,NFE
2019-01-31,11.476090431213379
2019-02-01,12.248774528503418
2019-02-04,12.283894538879395
2019-02-05,12.275116920471191
2019-02-06,12.292675018310547
2019-02-07,12.345358848571777
2019-02-08,12.292675018310547
2019-02-11,12.371698379516602
2019-02-12,12.35413932800293
2019-02-13,12.292675018310547
2019-02-14,12.292675018310547
2019-02-15,12.301454544067383
2019-02-19,12.292675018310547
2019-02-20,12.35413932800293
2019-02-21,12.310236930847168
2019-02-22,12.292675018310547
2019-02-25,12.292675018310547
2019-02-26,12.837064743041992
2019-02-27,13.732675552368164
2019-02-28,13.539505004882812
2019-03-01,13.969747543334961
2019-03-04,12.951211929321289
2019-03-05,12.863409042358398
2019-03-06,12.740478515625
2019-03-07,12.758040428161621
2019-03-08,12.538528442382812
2019-03-11,11.203897476196289
2019-03-12,10.949263572692871
2019-03-13,10.527798652648926
2019-03-14,9.719993591308594
2019-03-15,9.026334762573242
2019-03-18,9.878045082092285
2019-03-19,9.860483169555664
2019-03-20,9.561945915222168
2019-03-21,9.535603523254395
2019-03-22,8.920970916748047
2019-03-25,8.648774147033691
2019-03-26,8.543411254882812
2019-03-27,8.350238800048828
2019-03-28,8.701459884643555
2019-03-29,10.25560474395752
2019-04-01,9.772677421569824
2019-04-02,10.018531799316406
2019-04-03,10.764874458312988
2019-04-04,10.694629669189453
2019-04-05,11.10731029510498
2019-04-08,10.843896865844727
2019-04-09,10.475115776062012
2019-04-10,10.360970497131348
2019-04-11,10.018531799316406
2019-04-12,9.632190704345703
2019-04-15,9.447798728942871
2019-04-16,9.746336936950684
2019-04-17,9.702433586120605
2019-04-18,9.456582069396973
2019-04-22,10.562921524047852
2019-04-23,11.142430305480957
2019-04-24,10.562921524047852
2019-04-25,10.554140090942383
2019-04-26,10.39609146118164
2019-04-29,11.230236053466797
2019-04-30,11.028286933898926
2019-05-01,11.186333656311035
2019-05-02,11.159996032714844
2019-05-03,11.326823234558105
2019-05-06,11.10731029510498
2019-05-07,10.694629669189453
2019-05-08,10.61560344696045
2019-05-09,10.791211128234863
2019-05-10,10.422431945800781
