Date,LNT
2010-01-04,8.786271095275879
2010-01-05,8.991813659667969
2010-01-06,9.061291694641113
2010-01-07,9.11050796508789
2010-01-08,9.287100791931152
2010-01-11,9.26683521270752
2010-01-12,9.269736289978027
2010-01-13,9.356582641601562
2010-01-14,9.46080207824707
2010-01-15,9.469488143920898
2010-01-19,9.599760055541992
2010-01-20,9.536069869995117
2010-01-21,9.492647171020508
2010-01-22,9.252362251281738
2010-01-25,9.211834907531738
2010-01-26,9.188673973083496
2010-01-27,9.113919258117676
2010-01-28,9.160825729370117
2010-01-29,9.146167755126953
2010-02-01,9.178412437438965
2010-02-02,9.263422966003418
2010-02-03,9.216524124145508
2010-02-04,8.970281600952148
2010-02-05,8.999595642089844
2010-02-08,8.976143836975098
2010-02-09,9.025979042053223
2010-02-10,8.97907543182373
2010-02-11,9.061158180236816
2010-02-12,9.078744888305664
2010-02-16,9.281009674072266
2010-02-17,9.263422966003418
2010-02-18,9.354299545288086
2010-02-19,9.503805160522461
2010-02-22,9.50673770904541
2010-02-23,9.404136657714844
2010-02-24,9.38654899597168
2010-02-25,9.301534652709961
2010-02-26,9.272218704223633
2010-03-01,9.442244529724121
2010-03-02,9.582955360412598
2010-03-03,9.518463134765625
2010-03-04,9.530186653137207
2010-03-05,9.62985610961914
2010-03-08,9.697283744812012
2010-03-09,9.697283744812012
2010-03-10,9.726594924926758
2010-03-11,9.829192161560059
2010-03-12,9.899550437927246
2010-03-15,9.852648735046387
2010-03-16,9.817473411560059
2010-03-17,9.905418395996094
2010-03-18,9.521392822265625
2010-03-19,9.585888862609863
2010-03-22,9.623997688293457
2010-03-23,9.808676719665527
2010-03-24,9.738322257995605
2010-03-25,9.72952651977539
2010-03-26,9.720734596252441
2010-03-29,9.805747985839844
2010-03-30,9.785225868225098
2010-03-31,9.750045776367188
2010-04-01,9.905418395996094
2010-04-05,9.94645881652832
2010-04-06,10.013879776000977
2010-04-07,9.92887020111084
2010-04-08,9.858512878417969
2010-04-09,9.852648735046387
2010-04-12,9.899550437927246
2010-04-13,9.896618843078613
2010-04-14,10.054919242858887
2010-04-15,10.13114070892334
2010-04-16,10.11061954498291
2010-04-19,10.107686996459961
2010-04-20,10.245463371276855
2010-04-21,10.359792709350586
2010-04-22,10.47412109375
2010-04-23,10.444807052612305
2010-04-26,10.3656587600708
2010-04-27,10.025607109069824
2010-04-28,10.030054092407227
2010-04-29,10.124955177307129
2010-04-30,10.142752647399902
2010-05-03,10.240620613098145
2010-05-04,9.982600212097168
2010-05-05,9.93515396118164
2010-05-06,9.546645164489746
2010-05-07,9.422083854675293
2010-05-10,9.866938591003418
2010-05-11,9.994468688964844
2010-05-12,10.127923965454102
2010-05-13,10.154614448547363
2010-05-14,10.119027137756348
2010-05-17,10.237658500671387
2010-05-18,10.169445037841797
2010-05-19,9.947013854980469
2010-05-20,9.525880813598633
2010-05-21,9.428013801574707
2010-05-24,9.36573314666748
2010-05-25,9.23524284362793
2010-05-26,9.2589693069458
2010-05-27,9.508091926574707
2010-05-28,9.531814575195312
2010-06-01,9.356834411621094
2010-06-02,9.549610137939453
2010-06-03,9.700860023498535
2010-06-04,9.312352180480957
2010-06-07,9.359804153442383
2010-06-08,9.401323318481445
2010-06-09,9.398357391357422
2010-06-10,9.594093322753906
2010-06-11,9.605953216552734
2010-06-14,9.623749732971191
2010-06-15,9.813557624816895
2010-06-16,9.952945709228516
2010-06-17,10.044882774353027
2010-06-18,9.947013854980469
2010-06-21,9.825422286987305
2010-06-22,9.591129302978516
2010-06-23,9.436910629272461
2010-06-24,9.433942794799805
2010-06-25,9.537744522094727
2010-06-28,9.641545295715332
2010-06-29,9.40428638458252
2010-06-30,9.41318416595459
2010-07-01,9.300487518310547
2010-07-02,9.333110809326172
2010-07-06,9.439878463745117
2010-07-07,9.757209777832031
2010-07-08,9.840249061584473
2010-07-09,9.944047927856445
2010-07-12,10.074541091918945
2010-07-13,10.190203666687012
2010-07-14,10.21096420288086
2010-07-15,10.294005393981934
2010-07-16,9.955911636352539
2010-07-19,10.053780555725098
2010-07-20,10.205031394958496
2010-07-21,10.059709548950195
2010-07-22,10.252484321594238
2010-07-23,10.368147850036621
2010-07-26,10.489739418029785
2010-07-27,10.688441276550293
2010-07-28,10.6179780960083
2010-07-29,10.525022506713867
2010-07-30,10.3631010055542
2010-08-02,10.435062408447266
2010-08-03,10.426071166992188
2010-08-04,10.510028839111328
2010-08-05,10.47704792022705
2010-08-06,10.558003425598145
2010-08-09,10.677947998046875
2010-08-10,10.677947998046875
2010-08-11,10.43806266784668
2010-08-12,10.423069953918457
2010-08-13,10.614975929260254
2010-08-16,10.63597297668457
2010-08-17,10.821879386901855
2010-08-18,10.782896995544434
2010-08-19,10.692944526672363
2010-08-20,10.668951034545898
2010-08-23,10.602984428405762
2010-08-24,10.519025802612305
2010-08-25,10.43806266784668
2010-08-26,10.474043846130371
2010-08-27,10.626976013183594
2010-08-30,10.450054168701172
2010-08-31,10.501030921936035
2010-09-01,10.773903846740723
2010-09-02,10.68394660949707
2010-09-03,10.74691390991211
2010-09-07,10.719930648803711
2010-09-08,10.758910179138184
2010-09-09,10.833873748779297
2010-09-10,10.761910438537598
2010-09-13,10.90284538269043
2010-09-14,10.908842086791992
2010-09-15,10.863862037658691
2010-09-16,10.79788875579834
2010-09-17,10.76790714263916
2010-09-20,10.809886932373047
2010-09-21,10.728921890258789
2010-09-22,10.779901504516602
2010-09-23,10.662957191467285
2010-09-24,10.815884590148926
2010-09-27,10.860861778259277
2010-09-28,10.90284538269043
