Date,CLH
2010-01-04,30.334999084472656
2010-01-05,30.264999389648438
2010-01-06,30.524999618530273
2010-01-07,30.834999084472656
2010-01-08,31.96500015258789
2010-01-11,31.834999084472656
2010-01-12,32.05500030517578
2010-01-13,32.77000045776367
2010-01-14,32.689998626708984
2010-01-15,31.184999465942383
2010-01-19,31.579999923706055
2010-01-20,31.110000610351562
2010-01-21,30.885000228881836
2010-01-22,30.375
2010-01-25,30.09000015258789
2010-01-26,29.985000610351562
2010-01-27,29.454999923706055
2010-01-28,28.959999084472656
2010-01-29,28.6299991607666
2010-02-01,28.959999084472656
2010-02-02,28.920000076293945
2010-02-03,28.989999771118164
2010-02-04,27.93000030517578
2010-02-05,27.71500015258789
2010-02-08,27.454999923706055
2010-02-09,27.834999084472656
2010-02-10,27.709999084472656
2010-02-11,28.2549991607666
2010-02-12,28.395000457763672
2010-02-16,29.049999237060547
2010-02-17,29.075000762939453
2010-02-18,29.395000457763672
2010-02-19,29.80500030517578
2010-02-22,29.594999313354492
2010-02-23,29.424999237060547
2010-02-24,26.7450008392334
2010-02-25,28.010000228881836
2010-02-26,28.420000076293945
2010-03-01,28.815000534057617
2010-03-02,29.084999084472656
2010-03-03,28.735000610351562
2010-03-04,28.174999237060547
2010-03-05,28.594999313354492
2010-03-08,28.5049991607666
2010-03-09,28.270000457763672
2010-03-10,28.049999237060547
2010-03-11,27.774999618530273
2010-03-12,28.040000915527344
2010-03-15,28.270000457763672
2010-03-16,28.475000381469727
2010-03-17,28.655000686645508
2010-03-18,28.5
2010-03-19,28.03499984741211
2010-03-22,28.274999618530273
2010-03-23,28.5049991607666
2010-03-24,28.155000686645508
2010-03-25,27.875
2010-03-26,28.024999618530273
2010-03-29,28.334999084472656
2010-03-30,28.239999771118164
2010-03-31,27.780000686645508
2010-04-01,28.145000457763672
2010-04-05,28.510000228881836
2010-04-06,28.315000534057617
2010-04-07,28.290000915527344
2010-04-08,27.885000228881836
2010-04-09,28.065000534057617
2010-04-12,28.135000228881836
2010-04-13,27.90999984741211
2010-04-14,28.010000228881836
2010-04-15,27.950000762939453
2010-04-16,27.704999923706055
2010-04-19,27.514999389648438
2010-04-20,27.584999084472656
2010-04-21,27.639999389648438
2010-04-22,27.655000686645508
2010-04-23,28.010000228881836
2010-04-26,28.299999237060547
2010-04-27,28.399999618530273
2010-04-28,29.045000076293945
2010-04-29,31.104999542236328
2010-04-30,31.71500015258789
2010-05-03,33.4900016784668
2010-05-04,31.825000762939453
2010-05-05,30.334999084472656
2010-05-06,29.979999542236328
2010-05-07,30.065000534057617
2010-05-10,31.264999389648438
2010-05-11,30.19499969482422
2010-05-12,31.145000457763672
2010-05-13,30.829999923706055
2010-05-14,30.549999237060547
2010-05-17,31.43000030517578
2010-05-18,32.79999923706055
2010-05-19,32.20500183105469
2010-05-20,30.7549991607666
2010-05-21,30.31999969482422
2010-05-24,31.05500030517578
2010-05-25,30.850000381469727
2010-05-26,31.03499984741211
2010-05-27,30.69499969482422
2010-05-28,31.69499969482422
2010-06-01,33.09000015258789
2010-06-02,33.165000915527344
2010-06-03,32.7400016784668
2010-06-04,31.540000915527344
2010-06-07,31.170000076293945
2010-06-08,32.55500030517578
2010-06-09,32.529998779296875
2010-06-10,32.94499969482422
2010-06-11,33.880001068115234
2010-06-14,33.91999816894531
2010-06-15,33.75
2010-06-16,34.13999938964844
2010-06-17,34.86000061035156
2010-06-18,35.165000915527344
2010-06-21,34.654998779296875
2010-06-22,34.06999969482422
2010-06-23,34.17499923706055
2010-06-24,33.82500076293945
2010-06-25,34.685001373291016
2010-06-28,34.59000015258789
2010-06-29,33.21500015258789
2010-06-30,33.20500183105469
2010-07-01,33.2599983215332
2010-07-02,33.099998474121094
2010-07-06,31.674999237060547
2010-07-07,32.900001525878906
2010-07-08,32.595001220703125
2010-07-09,32.44499969482422
2010-07-12,32.23500061035156
2010-07-13,33.04499816894531
2010-07-14,33.3650016784668
2010-07-15,32.275001525878906
2010-07-16,30.729999542236328
2010-07-19,30.53499984741211
2010-07-20,31.155000686645508
2010-07-21,31.264999389648438
2010-07-22,31.760000228881836
2010-07-23,32.19499969482422
2010-07-26,32.82500076293945
2010-07-27,32.66999816894531
2010-07-28,31.81999969482422
2010-07-29,31.795000076293945
2010-07-30,31.579999923706055
2010-08-02,31.55500030517578
2010-08-03,31.450000762939453
2010-08-04,31.8799991607666
2010-08-05,31.815000534057617
2010-08-06,31.940000534057617
2010-08-09,31.760000228881836
2010-08-10,31.325000762939453
2010-08-11,30.125
2010-08-12,30.0049991607666
2010-08-13,30.21500015258789
2010-08-16,30.579999923706055
2010-08-17,31.290000915527344
2010-08-18,31.219999313354492
2010-08-19,30.780000686645508
2010-08-20,30.8799991607666
2010-08-23,30.655000686645508
2010-08-24,30.40999984741211
2010-08-25,30.3799991607666
2010-08-26,30.649999618530273
2010-08-27,30.559999465942383
2010-08-30,30.69499969482422
2010-08-31,30.225000381469727
2010-09-01,31.094999313354492
2010-09-02,31.415000915527344
2010-09-03,31.399999618530273
2010-09-07,31.280000686645508
2010-09-08,31.704999923706055
2010-09-09,32.21500015258789
2010-09-10,32.915000915527344
2010-09-13,32.584999084472656
2010-09-14,32.46500015258789
2010-09-15,33.01499938964844
2010-09-16,32.755001068115234
2010-09-17,33.775001525878906
2010-09-20,34.4900016784668
2010-09-21,33.970001220703125
2010-09-22,33.52000045776367
2010-09-23,33.31999969482422
2010-09-24,34.16999816894531
2010-09-27,33.30500030517578
2010-09-28,33.44499969482422
2010-09-29,33.685001373291016
