Date,IPG
2010-01-04,4.631012439727783
2010-01-05,4.581811904907227
2010-01-06,4.581811904907227
2010-01-07,4.464961051940918
2010-01-08,4.471111297607422
2010-01-11,4.594111442565918
2010-01-12,4.483410358428955
2010-01-13,4.538760185241699
2010-01-14,4.440358638763428
2010-01-15,4.403459548950195
2010-01-19,4.37885856628418
2010-01-20,4.397308826446533
2010-01-21,4.311207294464111
2010-01-22,4.212806224822998
2010-01-25,4.169756889343262
2010-01-26,4.095954418182373
2010-01-27,3.9791038036346436
2010-01-28,4.009852886199951
2010-01-29,3.972954750061035
2010-02-01,4.059054374694824
2010-02-02,4.13285493850708
2010-02-03,4.114405155181885
2010-02-04,3.942201852798462
2010-02-05,3.9299025535583496
2010-02-08,3.9053008556365967
2010-02-09,3.9360530376434326
2010-02-10,3.997551918029785
2010-02-11,4.139007091522217
2010-02-12,4.13285493850708
2010-02-16,4.225106716156006
2010-02-17,4.292757987976074
2010-02-18,4.360408306121826
2010-02-19,4.372708797454834
2010-02-22,4.3419575691223145
2010-02-23,4.212806224822998
2010-02-24,4.194357872009277
2010-02-25,4.15130615234375
2010-02-26,4.612561225891113
2010-03-01,5.079968452453613
2010-03-02,5.0246171951293945
2010-03-03,5.030767917633057
2010-03-04,5.098418235778809
2010-03-05,5.19681978225708
2010-03-08,5.2337188720703125
2010-03-09,5.239868640899658
2010-03-10,5.276770114898682
2010-03-11,5.246020317077637
2010-03-12,5.17836856842041
2010-03-15,5.129168510437012
2010-03-16,5.1845197677612305
2010-03-17,5.252171039581299
2010-03-18,5.313669681549072
2010-03-19,5.29522180557251
2010-03-22,5.369022369384766
2010-03-23,5.405921936035156
2010-03-24,5.246020317077637
2010-03-25,5.159919261932373
2010-03-26,5.123018264770508
2010-03-29,5.2214179039001465
2010-03-30,5.227570533752441
2010-03-31,5.11686897277832
2010-04-01,5.2214179039001465
2010-04-05,5.3321213722229
2010-04-06,5.239868640899658
2010-04-07,5.252171039581299
2010-04-08,5.2091193199157715
2010-04-09,5.362873554229736
2010-04-12,5.393622875213623
2010-04-13,5.313669681549072
2010-04-14,5.565824031829834
2010-04-15,5.670376777648926
2010-04-16,5.510473251342773
2010-04-19,5.571976184844971
2010-04-20,5.990179538726807
2010-04-21,5.9286789894104
2010-04-22,6.057833194732666
2010-04-23,5.984027862548828
2010-04-26,6.070129871368408
2010-04-27,5.7933759689331055
2010-04-28,5.701127529144287
2010-04-29,5.842578887939453
2010-04-30,5.479722499847412
2010-05-03,5.528924465179443
2010-05-04,5.19681978225708
2010-05-05,5.166069507598877
2010-05-06,4.950814723968506
2010-05-07,4.747862339019775
2010-05-10,5.141468524932861
2010-05-11,5.0246171951293945
2010-05-12,5.17836856842041
2010-05-13,5.153769016265869
2010-05-14,4.950814723968506
2010-05-17,4.97541618347168
2010-05-18,4.944665908813477
2010-05-19,4.858564376831055
2010-05-20,4.661762237548828
2010-05-21,4.7786126136779785
2010-05-24,4.840115547180176
2010-05-25,4.797063827514648
2010-05-26,4.870864391326904
2010-05-27,5.276770114898682
2010-05-28,5.135319232940674
2010-06-01,4.870864391326904
2010-06-02,4.993867874145508
