Date,VLY
2010-01-04,5.803842544555664
2010-01-05,5.72596549987793
2010-01-06,5.795644283294678
2010-01-07,6.008779525756836
2010-01-08,6.0333709716796875
2010-01-11,6.012879371643066
2010-01-12,5.943199634552002
2010-01-13,6.08665657043457
2010-01-14,6.242410659790039
2010-01-15,6.148138046264648
2010-01-19,6.238312244415283
2010-01-20,6.320285320281982
2010-01-21,6.057967185974121
2010-01-22,5.820237159729004
2010-01-25,5.6562886238098145
2010-01-26,5.533324241638184
2010-01-27,5.746458530426025
2010-01-28,5.766953945159912
2010-01-29,5.635793685913086
2010-02-01,5.639890193939209
2010-02-02,5.627593994140625
2010-02-03,5.492337226867676
2010-02-04,5.381668567657471
2010-02-05,5.475939750671387
2010-02-08,5.389867305755615
2010-02-09,5.504631519317627
2010-02-10,5.521027088165283
2010-02-11,5.607101917266846
2010-02-12,5.643990993499756
2010-02-16,5.78744649887085
2010-02-17,5.680878639221191
2010-02-18,5.758756160736084
2010-02-19,5.807943344116211
2010-02-22,5.90631103515625
2010-02-23,5.824337959289551
2010-02-24,5.91450834274292
2010-02-25,5.885817050933838
2010-02-26,5.902213096618652
2010-03-01,5.926805019378662
2010-03-02,5.943199634552002
2010-03-03,5.889208793640137
2010-03-04,5.897515773773193
2010-03-05,6.013804912567139
2010-03-08,5.98888635635376
2010-03-09,5.98888635635376
2010-03-10,6.005497932434082
2010-03-11,6.084410667419434
2010-03-12,6.130094051361084
2010-03-15,6.3294453620910645
2010-03-16,6.3335981369018555
2010-03-17,6.416661739349365
2010-03-18,6.445735931396484
2010-03-19,6.383436679840088
2010-03-22,6.449889659881592
2010-03-23,6.4748077392578125
2010-03-24,6.391744613647461
2010-03-25,6.4748077392578125
2010-03-26,6.466500282287598
2010-03-29,6.562025547027588
2010-03-30,6.503880500793457
2010-03-31,6.383436679840088
2010-04-01,6.437429428100586
2010-04-05,6.503880500793457
2010-04-06,6.7156901359558105
2010-04-07,6.557870864868164
2010-04-08,6.582790374755859
2010-04-09,6.661697864532471
2010-04-12,6.732304096221924
2010-04-13,6.699077606201172
2010-04-14,6.831982135772705
2010-04-15,6.873512268066406
2010-04-16,6.736455917358398
2010-04-19,6.7738356590271
2010-04-20,6.861052989959717
2010-04-21,6.952420711517334
2010-04-22,6.956576347351074
2010-04-23,6.956576347351074
2010-04-26,6.873512268066406
2010-04-27,6.753069877624512
2010-04-28,6.782144069671631
2010-04-29,6.869359493255615
2010-04-30,6.744762897491455
2010-05-03,6.819521427154541
2010-05-04,6.686618328094482
2010-05-05,6.733134746551514
2010-05-06,6.475844860076904
2010-05-07,6.297051906585693
2010-05-10,6.741857051849365
2010-05-11,6.829071521759033
2010-05-12,6.942452907562256
