Date,FAF
2010-05-28,9.343445777893066
2010-06-01,9.117132186889648
2010-06-02,9.362842559814453
2010-06-03,8.94255256652832
2010-06-04,8.877891540527344
2010-06-07,8.774431228637695
2010-06-08,8.735634803771973
2010-06-09,8.39940071105957
2010-06-10,7.959711074829102
2010-06-11,8.476991653442383
2010-06-14,8.619246482849121
2010-06-15,8.54165267944336
2010-06-16,8.677438735961914
2010-06-17,8.722702980041504
2010-06-18,8.716238021850586
2010-06-21,8.5933837890625
2010-06-22,8.683905601501465
2010-06-23,8.658045768737793
2010-06-24,8.573984146118164
2010-06-25,8.839091300964355
2010-06-28,8.689717292785645
2010-06-29,8.235097885131836
2010-06-30,8.235097885131836
2010-07-01,8.215614318847656
2010-07-02,8.429938316345215
2010-07-06,8.481892585754395
2010-07-07,8.813115119934082
2010-07-08,8.819604873657227
2010-07-09,9.014445304870605
2010-07-12,8.988471984863281
2010-07-13,9.248250007629395
2010-07-14,8.839090347290039
2010-07-15,8.767650604248047
2010-07-16,8.326021194458008
2010-07-19,8.462408065795898
2010-07-20,8.826102256774902
2010-07-21,8.819604873657227
2010-07-22,9.436591148376465
2010-07-23,9.605452537536621
2010-07-26,9.670397758483887
2010-07-27,9.702869415283203
2010-07-28,9.624937057495117
2010-07-29,9.624937057495117
2010-07-30,9.579473495483398
2010-08-02,9.663899421691895
2010-08-03,9.670397758483887
2010-08-04,9.702869415283203
2010-08-05,9.631428718566895
2010-08-06,9.644417762756348
2010-08-09,9.793794631958008
2010-08-10,9.371647834777832
2010-08-11,8.858575820922852
2010-08-12,8.832599639892578
2010-08-13,8.813115119934082
2010-08-16,9.11186408996582
2010-08-17,9.215775489807129
2010-08-18,9.196294784545898
2010-08-19,9.066398620605469
2010-08-20,9.11835765838623
2010-08-23,9.020942687988281
2010-08-24,8.897541999816895
2010-08-25,9.222270965576172
2010-08-26,8.871564865112305
2010-08-27,9.371647834777832
2010-08-30,9.469064712524414
2010-08-31,9.631428718566895
2010-09-01,10.099035263061523
2010-09-02,10.170475006103516
2010-09-03,10.092543601989746
2010-09-07,9.547001838684082
2010-09-08,9.553494453430176
2010-09-09,9.495040893554688
2010-09-10,9.397624969482422
2010-09-13,9.741836547851562
2010-09-14,9.611946105957031
2010-09-15,9.780804634094238
2010-09-16,9.598955154418945
2010-09-17,9.371647834777832
2010-09-20,9.579473495483398
2010-09-21,9.462570190429688
2010-09-22,9.501533508300781
2010-09-23,9.384631156921387
2010-09-24,9.644417762756348
2010-09-27,9.585968017578125
2010-09-28,9.833767890930176
2010-09-29,9.638134956359863
2010-09-30,9.742471694946289
2010-10-01,9.442501068115234
2010-10-04,9.09688663482666
2010-10-05,9.06428050994873
2010-10-06,9.227310180664062
2010-10-07,9.240348815917969
2010-10-08,9.207745552062988
2010-10-11,9.266434669494629
2010-10-12,9.488152503967285
2010-10-13,9.722908020019531
2010-10-14,9.527275085449219
2010-10-15,9.429461479187012
2010-10-18,9.605533599853516
2010-10-19,9.44902515411377
2010-10-20,9.762033462524414
2010-10-21,9.351208686828613
2010-10-22,9.305558204650879
2010-10-25,9.507710456848145
2010-10-26,9.396855354309082
2010-10-27,9.240348815917969
2010-10-28,9.077323913574219
