Date,AVGO
2010-01-04,1.333385705947876
2010-01-05,1.3432834148406982
2010-01-06,1.353887915611267
2010-01-07,1.3454045057296753
2010-01-08,1.355302333831787
2010-01-11,1.3637865781784058
2010-01-12,1.3432834148406982
2010-01-13,1.30227792263031
2010-01-14,1.3029848337173462
2010-01-15,1.2895522117614746
2010-01-19,1.2591512203216553
2010-01-20,1.2697561979293823
2010-01-21,1.271877408027649
2010-01-22,1.24147629737854
2010-01-25,1.2478394508361816
2010-01-26,1.2556169033050537
2010-01-27,1.2308717966079712
2010-01-28,1.2527885437011719
2010-01-29,1.2287505865097046
2010-02-01,1.2372348308563232
2010-02-02,1.25137460231781
2010-02-03,1.2457187175750732
2010-02-04,1.2174386978149414
2010-02-05,1.2160247564315796
2010-02-08,1.202591896057129
2010-02-09,1.2011781930923462
2010-02-10,1.1877450942993164
2010-02-11,1.2110761404037476
2010-02-12,1.227337121963501
2010-02-16,1.2358207702636719
2010-02-17,1.2308717966079712
2010-02-18,1.2336997985839844
2010-02-19,1.2393559217453003
2010-02-22,1.2266300916671753
2010-02-23,1.2287505865097046
2010-02-24,1.2542024850845337
2010-02-25,1.278947114944458
2010-02-26,1.283189296722412
2010-03-01,1.293793797492981
2010-03-02,1.3234872817993164
2010-03-03,1.3369204998016357
2010-03-04,1.3475251197814941
2010-03-05,1.3687355518341064
2010-03-08,1.3652000427246094
2010-03-09,1.3680280447006226
2010-03-10,1.395600438117981
2010-03-11,1.4040848016738892
2010-03-12,1.389237642288208
2010-03-15,1.3729768991470337
2010-03-16,1.3786331415176392
2010-03-17,1.4062052965164185
2010-03-18,1.4125683307647705
2010-03-19,1.4217596054077148
2010-03-22,1.4097408056259155
2010-03-23,1.4295365810394287
2010-03-24,1.3871169090270996
2010-03-25,1.389237642288208
2010-03-26,1.407619833946228
2010-03-29,1.4295365810394287
2010-03-30,1.440847635269165
2010-03-31,1.4535739421844482
2010-04-01,1.4493317604064941
2010-04-05,1.4323643445968628
2010-04-06,1.462058186531067
2010-04-07,1.4479178190231323
2010-04-08,1.4210526943206787
2010-04-09,1.414689540863037
2010-04-12,1.4153964519500732
2010-04-13,1.4245878458023071
2010-04-14,1.5235657691955566
2010-04-15,1.5525530576705933
2010-04-16,1.5468969345092773
2010-04-19,1.5483113527297974
2010-04-20,1.5815393924713135
