Date,INTU
2010-01-04,27.2434139251709
2010-01-05,27.2434139251709
2010-01-06,26.863187789916992
2010-01-07,26.77475929260254
2010-01-08,27.482152938842773
2010-01-11,27.605945587158203
2010-01-12,27.605945587158203
2010-01-13,27.924280166625977
2010-01-14,28.10112190246582
2010-01-15,27.818164825439453
2010-01-19,28.056913375854492
2010-01-20,27.605945587158203
2010-01-21,27.269935607910156
2010-01-22,26.615596771240234
2010-01-25,26.845508575439453
2010-01-26,26.55370330810547
2010-01-27,26.536014556884766
2010-01-28,26.226530075073242
2010-01-29,26.18232536315918
2010-02-01,26.447595596313477
2010-02-02,26.491802215576172
2010-02-03,26.51833152770996
2010-02-04,25.872833251953125
2010-02-05,26.03200912475586
2010-02-08,25.961257934570312
2010-02-09,25.917051315307617
2010-02-10,25.987794876098633
2010-02-11,26.173479080200195
2010-02-12,25.987794876098633
2010-02-16,26.341480255126953
2010-02-17,26.447595596313477
2010-02-18,26.810134887695312
2010-02-19,28.93230438232422
2010-02-22,28.61398696899414
2010-02-23,28.18069839477539
2010-02-24,28.53439712524414
2010-02-25,28.7023983001709
2010-02-26,28.61398696899414
2010-03-01,29.09147071838379
2010-03-02,29.294849395751953
2010-03-03,29.365585327148438
2010-03-04,29.56011199951172
2010-03-05,29.98455238342285
2010-03-08,30.04644775390625
2010-03-09,30.01991844177246
2010-03-10,30.47972297668457
2010-03-11,30.541614532470703
2010-03-12,30.603517532348633
2010-03-15,30.63004493713379
2010-03-16,30.63004493713379
2010-03-17,30.53278160095215
2010-03-18,30.63888931274414
2010-03-19,30.603517532348633
2010-03-22,30.859954833984375
2010-03-23,30.59467315673828
2010-03-24,30.718467712402344
2010-03-25,30.41782569885254
2010-03-26,30.276357650756836
2010-03-29,30.34708595275879
2010-03-30,30.382455825805664
2010-03-31,30.34708595275879
2010-04-01,30.515085220336914
2010-04-05,30.842269897460938
2010-04-06,30.92184829711914
2010-04-07,30.576980590820312
2010-04-08,30.515085220336914
2010-04-09,30.53278160095215
2010-04-12,30.53278160095215
2010-04-13,30.99258041381836
2010-04-14,31.098690032958984
2010-04-15,31.257856369018555
2010-04-16,31.36393928527832
2010-04-19,31.222488403320312
2010-04-20,31.328590393066406
2010-04-21,31.585025787353516
2010-04-22,31.82376480102539
2010-04-23,32.000614166259766
2010-04-26,31.99178123474121
2010-04-27,31.62039566040039
2010-04-28,31.6380672454834
2010-04-29,31.982940673828125
2010-04-30,32.000614166259766
2010-05-03,33.026329040527344
2010-05-04,31.91219139099121
2010-05-05,32.39853286743164
2010-05-06,31.134052276611328
2010-05-07,30.072978973388672
2010-05-10,31.576181411743164
2010-05-11,31.79725456237793
2010-05-12,32.7699089050293
2010-05-13,32.14208984375
2010-05-14,31.417011260986328
2010-05-17,31.894502639770508
2010-05-18,32.36315155029297
2010-05-19,31.452388763427734
2010-05-20,29.84308433532715
2010-05-21,30.957204818725586
2010-05-24,30.523935317993164
2010-05-25,30.78919219970703
2010-05-26,30.435510635375977
2010-05-27,31.540809631347656
