Date,CXT
2010-01-04,8.009299278259277
2010-01-05,8.260226249694824
2010-01-06,8.454826354980469
2010-01-07,8.452269554138184
2010-01-08,8.639183044433594
2010-01-11,8.713441848754883
2010-01-12,8.406177520751953
2010-01-13,8.47275161743164
2010-01-14,8.531645774841309
2010-01-15,8.378012657165527
2010-01-19,8.536767959594727
2010-01-20,8.513721466064453
2010-01-21,8.308878898620605
2010-01-22,8.086112022399902
2010-01-25,8.178291320800781
2010-01-26,7.79677677154541
2010-01-27,7.876152515411377
2010-01-28,7.635465145111084
2010-01-29,7.814698219299316
2010-02-01,7.981134414672852
2010-02-02,8.35240650177002
2010-02-03,8.191096305847168
2010-02-04,7.963212013244629
2010-02-05,7.842865467071533
2010-02-08,7.79165506362915
2010-02-09,7.899191856384277
2010-02-10,7.812141418457031
2010-02-11,7.983691692352295
2010-02-12,7.968329429626465
2010-02-16,8.098918914794922
2010-02-17,8.485555648803711
2010-02-18,8.498355865478516
2010-02-19,8.401060104370117
2010-02-22,8.360088348388672
2010-02-23,8.188532829284668
2010-02-24,8.237495422363281
2010-02-25,8.12411880493164
2010-02-26,8.160191535949707
2010-03-01,8.381781578063965
2010-03-02,8.453927993774414
2010-03-03,8.500306129455566
2010-03-04,8.56214714050293
2010-03-05,8.590492248535156
2010-03-08,8.551838874816895
2010-03-09,8.598220825195312
2010-03-10,8.688399314880371
2010-03-11,8.670364379882812
2010-03-12,8.69612979888916
2010-03-15,8.732202529907227
2010-03-16,8.824962615966797
2010-03-17,8.933180809020996
2010-03-18,8.861038208007812
2010-03-19,8.801772117614746
2010-03-22,8.933180809020996
2010-03-23,9.051709175109863
2010-03-24,8.902263641357422
2010-03-25,8.881647109985352
2010-03-26,8.951218605041504
2010-03-29,9.100664138793945
2010-03-30,9.188270568847656
2010-03-31,9.147041320800781
2010-04-01,9.286178588867188
2010-04-05,9.433049201965332
2010-04-06,9.317098617553711
2010-04-07,9.224339485168457
2010-04-08,9.319681167602539
2010-04-09,9.458816528320312
2010-04-12,9.56445598602295
2010-04-13,9.559303283691406
2010-04-14,9.670095443725586
2010-04-15,9.618565559387207
2010-04-16,9.389242172241211
2010-04-19,9.34286880493164
2010-04-20,9.770585060119629
2010-04-21,9.793780326843262
2010-04-22,9.788623809814453
2010-04-23,9.943222045898438
2010-04-26,9.791199684143066
2010-04-27,9.309371948242188
2010-04-28,9.427898406982422
2010-04-29,9.60568618774414
2010-04-30,9.260412216186523
2010-05-03,9.587648391723633
2010-05-04,9.2166109085083
2010-05-05,9.226922035217285
2010-05-06,8.71932315826416
2010-05-07,8.350865364074707
2010-05-10,8.884223937988281
2010-05-11,8.966676712036133
2010-05-12,9.167654037475586
2010-05-13,9.116124153137207
2010-05-14,8.727052688598633
2010-05-17,8.72962474822998
2010-05-18,8.652323722839355
2010-05-19,8.474542617797852
2010-05-20,7.902527809143066
2010-05-21,7.995287895202637
2010-05-24,7.899954319000244
2010-05-25,7.861305236816406
2010-05-26,8.07657241821289
2010-05-27,8.470812797546387
2010-05-28,8.437088012695312
2010-06-01,8.260722160339355
2010-06-02,8.58752155303955
2010-06-03,8.647173881530762
2010-06-04,8.14919662475586
2010-06-07,7.905394554138184
2010-06-08,7.81461763381958
2010-06-09,7.79646110534668
2010-06-10,8.696452140808105
2010-06-11,8.631608009338379
2010-06-14,8.592708587646484
2010-06-15,8.950629234313965
2010-06-16,8.769071578979492
2010-06-17,8.833917617797852
2010-06-18,8.769071578979492
2010-06-21,8.80019760131836
2010-06-22,8.437088012695312
2010-06-23,8.481180191040039
2010-06-24,8.234786033630371
2010-06-25,8.31259822845459
2010-06-28,8.310001373291016
2010-06-29,7.946893215179443
2010-06-30,7.835363864898682
2010-07-01,7.594161510467529
2010-07-02,7.576003551483154
2010-07-06,7.51375675201416
2010-07-07,7.962456703186035
2010-07-08,8.02210807800293
2010-07-09,8.086946487426758
2010-07-12,7.89501953125
2010-07-13,8.172538757324219
2010-07-14,8.156978607177734
2010-07-15,8.084358215332031
2010-07-16,7.7886834144592285
2010-07-19,7.983206272125244
2010-07-20,8.123258590698242
2010-07-21,8.224411964416504
2010-07-22,8.504524230957031
2010-07-23,8.888382911682129
2010-07-26,9.041403770446777
2010-07-27,9.28001880645752
2010-07-28,9.251490592956543
2010-07-29,9.158120155334473
2010-07-30,9.217775344848633
2010-08-02,9.386361122131348
2010-08-03,9.388952255249023
2010-08-04,9.497883796691895
2010-08-05,9.448603630065918
2010-08-06,9.466763496398926
2010-08-09,9.495292663574219
2010-08-10,9.562723159790039
2010-08-11,9.22296142578125
2010-08-12,9.145147323608398
2010-08-13,9.077718734741211
2010-08-16,9.13996410369873
2010-08-17,9.344861030578613
2010-08-18,9.399327278137207
2010-08-19,9.16849422454834
2010-08-20,9.176278114318848
2010-08-23,8.932476043701172
2010-08-24,8.673111915588379
2010-08-25,8.722389221191406
2010-08-26,8.72498607635498
2010-08-27,8.980910301208496
2010-08-30,8.889505386352539
2010-08-31,8.852948188781738
2010-09-01,9.2655611038208
2010-09-02,9.479704856872559
2010-09-03,9.683399200439453
2010-09-07,9.419639587402344
2010-09-08,9.678180694580078
2010-09-09,9.706904411315918
2010-09-10,9.876646995544434
2010-09-13,9.986330032348633
2010-09-14,9.939326286315918
2010-09-15,9.847925186157227
2010-09-16,9.780021667480469
2010-09-17,9.777412414550781
2010-09-20,9.970662117004395
2010-09-21,9.944547653198242
2010-09-22,9.787859916687012
2010-09-23,9.581552505493164
2010-09-24,9.889708518981934
2010-09-27,9.884483337402344
2010-09-28,9.855757713317871
