Date,REPX
2010-01-04,44.39165115356445
2010-01-05,46.32172393798828
2010-01-06,47.2867546081543
2010-01-07,50.18186569213867
2010-01-08,48.251792907714844
2010-01-11,48.251792907714844
2010-01-12,48.251792907714844
2010-01-13,44.39165115356445
2010-01-14,45.356689453125
2010-01-15,46.32172393798828
2010-01-19,47.2867546081543
2010-01-20,45.356689453125
2010-01-21,42.461578369140625
2010-01-22,44.39165115356445
2010-01-25,42.461578369140625
2010-01-26,42.461578369140625
2010-01-27,43.4266242980957
2010-01-28,43.4266242980957
2010-01-29,41.49653625488281
2010-02-01,43.4266242980957
2010-02-02,42.461578369140625
2010-02-03,41.49653625488281
2010-02-04,41.49653625488281
2010-02-05,41.49653625488281
2010-02-08,41.49653625488281
2010-02-09,40.53150939941406
2010-02-10,41.49653625488281
2010-02-11,41.49653625488281
2010-02-12,41.49653625488281
2010-02-16,41.49653625488281
2010-02-17,41.49653625488281
2010-02-18,44.39165115356445
2010-02-19,41.49653625488281
2010-02-22,43.4266242980957
2010-02-23,42.461578369140625
2010-02-24,44.39165115356445
2010-02-25,44.39165115356445
2010-02-26,43.4266242980957
2010-03-01,47.2867546081543
2010-03-02,47.2867546081543
2010-03-03,47.2867546081543
2010-03-04,45.356689453125
2010-03-05,49.216827392578125
2010-03-08,50.18186569213867
2010-03-09,46.32172393798828
2010-03-10,47.2867546081543
2010-03-11,47.2867546081543
2010-03-12,47.2867546081543
2010-03-15,46.32172393798828
2010-03-16,45.356689453125
2010-03-17,48.251792907714844
2010-03-18,49.216827392578125
2010-03-19,49.216827392578125
2010-03-22,48.251792907714844
2010-03-23,48.251792907714844
2010-03-24,47.2867546081543
2010-03-25,47.2867546081543
2010-03-26,49.216827392578125
2010-03-29,49.216827392578125
2010-03-30,49.216827392578125
2010-03-31,45.356689453125
2010-04-01,46.32172393798828
2010-04-05,49.216827392578125
2010-04-06,52.1119384765625
2010-04-07,50.18186569213867
2010-04-08,50.18186569213867
2010-04-09,51.14690017700195
2010-04-12,52.1119384765625
2010-04-13,52.1119384765625
2010-04-14,54.042015075683594
2010-04-15,52.1119384765625
2010-04-16,51.14690017700195
2010-04-19,51.14690017700195
2010-04-20,51.14690017700195
2010-04-21,51.14690017700195
2010-04-22,49.216827392578125
2010-04-23,51.14690017700195
2010-04-26,49.216827392578125
