Date,CWH
2016-10-07,14.877406120300293
2016-10-10,14.718710899353027
2016-10-11,14.348427772521973
2016-10-12,14.150063514709473
2016-10-13,13.885579109191895
2016-10-14,13.92524528503418
2016-10-17,13.568192481994629
2016-10-18,13.984757423400879
2016-10-19,14.123614311218262
2016-10-20,14.335205078125
2016-10-21,14.493900299072266
2016-10-24,14.85756778717041
2016-10-25,15.049323081970215
2016-10-26,15.003036499023438
2016-10-27,14.718710899353027
2016-10-28,14.784832954406738
2016-10-31,14.784832954406738
2016-11-01,14.507120132446289
2016-11-02,14.269083023071289
2016-11-03,14.321982383728027
2016-11-04,14.566630363464355
2016-11-07,14.070719718933105
2016-11-08,13.892189025878906
2016-11-09,14.507120132446289
2016-11-10,14.725323677062988
2016-11-11,15.915518760681152
2016-11-14,16.19983673095703
2016-11-15,15.856001853942871
2016-11-16,15.869230270385742
2016-11-17,15.862616539001465
2016-11-18,15.856001853942871
2016-11-21,15.935349464416504
2016-11-22,16.682525634765625
2016-11-23,17.264400482177734
2016-11-25,17.79998779296875
2016-11-28,17.747089385986328
2016-11-29,18.295896530151367
2016-11-30,18.44797706604004
2016-12-01,18.3752498626709
2016-12-02,17.899169921875
2016-12-05,17.93232536315918
2016-12-06,18.045068740844727
2016-12-07,18.602140426635742
2016-12-08,19.072994232177734
2016-12-09,20.067760467529297
2016-12-12,20.52535057067871
2016-12-13,20.29323959350586
2016-12-14,19.941755294799805
2016-12-15,20.936521530151367
2016-12-16,21.06915855407715
2016-12-19,21.115583419799805
2016-12-20,21.261478424072266
2016-12-21,21.460432052612305
2016-12-22,21.427276611328125
2016-12-23,21.400747299194336
2016-12-27,22.037397384643555
2016-12-28,21.785388946533203
2016-12-29,21.281383514404297
2016-12-30,21.61296272277832
2017-01-03,21.798654556274414
2017-01-04,22.68730926513672
2017-01-05,22.037397384643555
2017-01-06,21.752229690551758
2017-01-09,21.493595123291016
2017-01-10,21.354328155517578
2017-01-11,21.354328155517578
2017-01-12,21.042627334594727
2017-01-13,20.42588233947754
2017-01-17,20.737565994262695
2017-01-18,20.737565994262695
2017-01-19,20.352930068969727
2017-01-20,20.704404830932617
2017-01-23,21.042627334594727
2017-01-24,20.943153381347656
2017-01-25,20.657987594604492
2017-01-26,21.374221801757812
2017-01-27,21.433908462524414
2017-01-30,21.725704193115234
2017-01-31,20.876832962036133
2017-02-01,21.254850387573242
2017-02-02,21.095684051513672
2017-02-03,21.148744583129883
2017-02-06,21.05589485168457
2017-02-07,20.803884506225586
2017-02-08,21.089052200317383
2017-02-09,21.977712631225586
2017-02-10,21.944561004638672
2017-02-13,21.712440490722656
2017-02-14,22.010873794555664
2017-02-15,22.7801570892334
2017-02-16,22.302671432495117
2017-02-17,21.858339309692383
2017-02-21,22.481725692749023
2017-02-22,22.634260177612305
2017-02-23,22.382251739501953
2017-02-24,23.078580856323242
2017-02-27,23.516286849975586
2017-02-28,23.32396125793457
2017-03-01,24.133039474487305
2017-03-02,23.357126235961914
2017-03-03,23.310699462890625
2017-03-06,23.834609985351562
2017-03-07,23.383649826049805
2017-03-08,23.536184310913086
2017-03-09,22.123611450195312
2017-03-10,21.05589485168457
2017-03-13,22.116975784301758
2017-03-14,22.010873794555664
2017-03-15,21.832984924316406
2017-03-16,22.505895614624023
2017-03-17,22.679122924804688
2017-03-20,22.499237060546875
2017-03-21,21.339954376220703
2017-03-22,20.2473087310791
2017-03-23,20.84693145751953
2017-03-24,20.7070255279541
2017-03-27,20.806957244873047
2017-03-28,20.986845016479492
2017-03-29,21.133419036865234
2017-03-30,20.84693145751953
2017-03-31,21.479869842529297
2017-04-03,20.067420959472656
2017-04-04,19.141332626342773
2017-04-05,18.848190307617188
2017-04-06,19.06138801574707
2017-04-07,19.074708938598633
2017-04-10,19.14799690246582
2017-04-11,19.14799690246582
2017-04-12,18.968114852905273
2017-04-13,19.507776260375977
2017-04-17,19.74095916748047
2017-04-18,20.047435760498047
2017-04-19,20.367237091064453
2017-04-20,20.700355529785156
2017-04-21,20.213998794555664
2017-04-24,20.667043685913086
2017-04-25,20.8802490234375
2017-04-26,21.073457717895508
2017-04-27,21.299983978271484
2017-04-28,20.600421905517578
2017-05-01,21.073457717895508
2017-05-02,20.84027099609375
2017-05-03,20.793638229370117
2017-05-04,20.7070255279541
2017-05-05,21.22669792175293
2017-05-08,21.04680633544922
2017-05-09,20.333925247192383
2017-05-10,20.160694122314453
2017-05-11,19.574398040771484
2017-05-12,19.321224212646484
2017-05-15,20.054100036621094
2017-05-16,20.134044647216797
2017-05-17,19.387847900390625
2017-05-18,19.481121063232422
2017-05-19,19.567739486694336
2017-05-22,19.334548950195312
2017-05-23,18.441774368286133
2017-05-24,18.568368911743164
2017-05-25,18.168615341186523
2017-05-26,17.695571899414062
2017-05-30,17.908777236938477
2017-05-31,17.988725662231445
2017-06-01,18.18193817138672
2017-06-02,18.26188850402832
2017-06-05,18.508399963378906
2017-06-06,19.374526977539062
2017-06-07,18.974773406982422
2017-06-08,18.654972076416016
2017-06-09,19.574398040771484
2017-06-12,19.241275787353516
2017-06-13,19.794261932373047
2017-06-14,19.715911865234375
2017-06-15,19.461423873901367
2017-06-16,19.273906707763672
2017-06-19,19.30069351196289
2017-06-20,19.4078426361084
2017-06-21,20.030662536621094
2017-06-22,20.057451248168945
2017-06-23,20.318635940551758
2017-06-26,20.660175323486328
2017-06-27,20.358816146850586
2017-06-28,20.948148727416992
2017-06-29,20.613304138183594
2017-06-30,20.660175323486328
2017-07-03,20.45926856994629
2017-07-05,20.097633361816406
