Date,AIV
2010-01-04,1.0689175128936768
2010-01-05,1.0957074165344238
2010-01-06,1.115129828453064
2010-01-07,1.1559847593307495
2010-01-08,1.1291943788528442
2010-01-11,1.1379014253616333
2010-01-12,1.1084319353103638
2010-01-13,1.1392405033111572
2010-01-14,1.1265151500701904
2010-01-15,1.1003955602645874
2010-01-19,1.134552240371704
2010-01-20,1.115129828453064
2010-01-21,1.0582016706466675
2010-01-22,1.0267226696014404
2010-01-25,1.040787935256958
2010-01-26,1.0327509641647339
2010-01-27,1.042127251625061
2010-01-28,1.0367693901062012
2010-01-29,1.0287319421768188
2010-02-01,1.054183006286621
2010-02-02,1.0890092849731445
2010-02-03,1.0669076442718506
2010-02-04,1.0220351219177246
2010-02-05,1.050833821296692
2010-02-08,1.0186861753463745
2010-02-09,1.0367693901062012
2010-02-10,1.0340901613235474
2010-02-11,1.0401180982589722
2010-02-12,1.062889814376831
2010-02-16,1.1144603490829468
2010-02-17,1.1191486120224
2010-02-18,1.1312036514282227
2010-02-19,1.115129828453064
2010-02-22,1.1137903928756714
2010-02-23,1.1097718477249146
2010-02-24,1.1204878091812134
2010-02-25,1.1278551816940308
2010-02-26,1.1178085803985596
2010-03-01,1.1218271255493164
2010-03-02,1.1365612745285034
2010-03-03,1.1318732500076294
2010-03-04,1.134552240371704
2010-03-05,1.1787559986114502
2010-03-08,1.1995179653167725
2010-03-09,1.1981784105300903
2010-03-10,1.2015271186828613
2010-03-11,1.1901415586471558
2010-03-12,1.1888021230697632
2010-03-15,1.1888021230697632
2010-03-16,1.2001875638961792
2010-03-17,1.228986382484436
2010-03-18,1.2222893238067627
2010-03-19,1.2021973133087158
2010-03-22,1.212912917137146
2010-03-23,1.2236287593841553
2010-03-24,1.239032506942749
2010-03-25,1.2571159601211548
2010-03-26,1.2497491836547852
2010-03-29,1.2309958934783936
2010-03-30,1.2376933097839355
2010-03-31,1.233005404472351
2010-04-01,1.2457305192947388
2010-04-05,1.3013193607330322
2010-04-06,1.3508806228637695
2010-04-07,1.3060072660446167
2010-04-08,1.3073474168777466
2010-04-09,1.3341373205184937
2010-04-12,1.3227509260177612
2010-04-13,1.367624282836914
2010-04-14,1.366284966468811
2010-04-15,1.3187329769134521
2010-04-16,1.285245656967163
2010-04-19,1.2986403703689575
2010-04-20,1.3361462354660034
2010-04-21,1.3743220567703247
2010-04-22,1.430580735206604
2010-04-23,1.480811595916748
2010-04-26,1.4828212261199951
2010-04-27,1.4513427019119263
2010-04-28,1.4620589017868042
2010-04-29,1.549126386642456
2010-04-30,1.5009044408798218
2010-05-03,1.5859620571136475
2010-05-04,1.596678376197815
2010-05-05,1.5618515014648438
2010-05-06,1.480811595916748
2010-05-07,1.4218742847442627
2010-05-10,1.501574158668518
2010-05-11,1.4968860149383545
2010-05-12,1.5390799045562744
2010-05-13,1.4928672313690186
2010-05-14,1.4319204092025757
2010-05-17,1.435939073562622
2010-05-18,1.3870470523834229
2010-05-19,1.3749332427978516
2010-05-20,1.2820595502853394
2010-05-21,1.3453214168548584
2010-05-24,1.2887892723083496
2010-05-25,1.3089792728424072
2010-05-26,1.3157094717025757
2010-05-27,1.4072372913360596
2010-05-28,1.3883931636810303
2010-06-01,1.3769522905349731
2010-06-02,1.4159859418869019
2010-06-03,1.432810664176941
2010-06-04,1.3305155038833618
2010-06-07,1.3177286386489868
2010-06-08,1.3554160594940186
2010-06-09,1.3749332427978516
2010-06-10,1.4644416570663452
2010-06-11,1.481939673423767
2010-06-14,1.472517490386963
2010-06-15,1.5034756660461426
2010-06-16,1.4987645149230957
2010-06-17,1.5102050304412842
