Date,HIPO
2021-01-11,287.5
2021-01-12,289.25
2021-01-13,293.5
2021-01-14,294.5
2021-01-15,296.25
2021-01-19,291.25
2021-01-20,298.5
2021-01-21,307.5
2021-01-22,317.75
2021-01-25,308.75
2021-01-26,297.5
2021-01-27,285.75
2021-01-28,289.5
2021-01-29,286.25
2021-02-01,297.75
2021-02-02,304.0
2021-02-03,305.0
2021-02-04,307.75
2021-02-05,303.0
2021-02-08,312.25
2021-02-09,306.25
2021-02-10,310.5
2021-02-11,314.25
2021-02-12,348.25
2021-02-16,356.0
2021-02-17,332.0
2021-02-18,340.25
2021-02-19,351.75
2021-02-22,347.5
2021-02-23,312.5
2021-02-24,317.5
2021-02-25,312.5
2021-02-26,291.25
2021-03-01,295.375
2021-03-02,282.5
2021-03-03,277.75
2021-03-04,261.25
2021-03-05,267.5
2021-03-08,268.75
2021-03-09,268.75
2021-03-10,262.5
2021-03-11,266.25
2021-03-12,268.75
2021-03-15,267.5
2021-03-16,262.5
2021-03-17,259.75
2021-03-18,256.25
2021-03-19,257.25
2021-03-22,256.25
2021-03-23,255.0
2021-03-24,255.0
2021-03-25,254.75
2021-03-26,254.5
2021-03-29,255.25
2021-03-30,252.75
2021-03-31,250.25
2021-04-01,253.5
2021-04-05,253.0
2021-04-06,254.0
2021-04-07,253.5
2021-04-08,253.25
2021-04-09,253.0
2021-04-12,250.25
2021-04-13,250.25
2021-04-14,250.75
2021-04-15,250.25
2021-04-16,250.5
2021-04-19,250.5
2021-04-20,250.0
2021-04-21,247.25
2021-04-22,248.5
2021-04-23,248.25
2021-04-26,249.0
2021-04-27,249.5
2021-04-28,249.0
2021-04-29,249.0
2021-04-30,250.0
2021-05-03,249.75
2021-05-04,248.0
2021-05-05,247.5
2021-05-06,247.5
2021-05-07,248.25
2021-05-10,248.0
2021-05-11,246.5
2021-05-12,246.0
2021-05-13,247.25
2021-05-14,247.25
2021-05-17,247.25
2021-05-18,247.75
2021-05-19,246.75
2021-05-20,247.625
2021-05-21,248.75
2021-05-24,249.0
2021-05-25,248.0
2021-05-26,250.0
2021-05-27,250.0
2021-05-28,249.75
2021-06-01,249.75
2021-06-02,249.75
2021-06-03,249.375
2021-06-04,250.0
2021-06-07,250.0
2021-06-08,249.25
2021-06-09,249.75
2021-06-10,249.5
2021-06-11,250.0
2021-06-14,249.25
2021-06-15,250.0
2021-06-16,249.25
2021-06-17,250.75
2021-06-18,251.0
2021-06-21,250.25
2021-06-22,248.75
2021-06-23,249.75
2021-06-24,250.0
2021-06-25,248.0
2021-06-28,248.25
2021-06-29,248.25
2021-06-30,248.25
2021-07-01,249.5
2021-07-02,248.75
2021-07-06,248.5
2021-07-07,249.0
2021-07-08,249.0
2021-07-09,249.25
2021-07-12,249.0
2021-07-13,249.25
2021-07-14,249.25
2021-07-15,249.0
2021-07-16,249.0
2021-07-19,249.0
2021-07-20,249.25
2021-07-21,249.25
2021-07-22,249.25
2021-07-23,249.5
2021-07-26,249.25
2021-07-27,242.0
2021-07-28,245.75
2021-07-29,244.5
2021-07-30,243.75
2021-08-02,244.75
2021-08-03,247.75
2021-08-04,240.25
2021-08-05,199.5
2021-08-06,184.0
2021-08-09,177.5
2021-08-10,170.5
2021-08-11,151.5
2021-08-12,147.0
2021-08-13,131.75
2021-08-16,137.25
2021-08-17,116.25
2021-08-18,109.5
2021-08-19,106.5
2021-08-20,105.0
2021-08-23,99.75
2021-08-24,111.75
2021-08-25,111.75
2021-08-26,109.25
2021-08-27,118.75
2021-08-30,122.75
2021-08-31,132.0
2021-09-01,128.75
2021-09-02,109.75
2021-09-03,130.75
2021-09-07,151.25
2021-09-08,157.75
2021-09-09,171.5
2021-09-10,146.75
2021-09-13,137.75
2021-09-14,131.5
2021-09-15,135.25
2021-09-16,131.25
2021-09-17,120.75
2021-09-20,126.25
2021-09-21,125.5
2021-09-22,125.0
2021-09-23,124.75
2021-09-24,122.5
2021-09-27,118.0
2021-09-28,111.25
2021-09-29,113.5
2021-09-30,117.0
2021-10-01,115.0
2021-10-04,110.5
2021-10-05,112.25
2021-10-06,111.5
2021-10-07,111.0
2021-10-08,105.75
2021-10-11,109.0
2021-10-12,105.25
2021-10-13,110.25
2021-10-14,110.0
2021-10-15,109.0
2021-10-18,103.5
2021-10-19,106.75
2021-10-20,106.75
2021-10-21,110.25
2021-10-22,109.5
2021-10-25,105.0
2021-10-26,107.5
2021-10-27,105.0
2021-10-28,105.25
2021-10-29,106.25
2021-11-01,108.0
2021-11-02,108.5
2021-11-03,108.5
2021-11-04,106.5
2021-11-05,104.5
2021-11-08,105.0
2021-11-09,100.5
2021-11-10,101.75
2021-11-11,102.5
2021-11-12,103.25
2021-11-15,97.75
2021-11-16,96.0
2021-11-17,95.75
2021-11-18,90.0
2021-11-19,97.0
2021-11-22,88.5
2021-11-23,86.5
2021-11-24,95.0
2021-11-26,93.5
2021-11-29,91.75
2021-11-30,91.5
2021-12-01,87.0
2021-12-02,85.25
2021-12-03,77.5
2021-12-06,73.5
2021-12-07,78.75
2021-12-08,77.75
2021-12-09,75.0
2021-12-10,70.25
2021-12-13,67.5
2021-12-14,69.5
2021-12-15,71.25
2021-12-16,66.0
2021-12-17,68.25
2021-12-20,66.25
2021-12-21,72.25
2021-12-22,73.75
2021-12-23,77.25
2021-12-27,73.25
2021-12-28,72.25
2021-12-29,70.5
2021-12-30,74.5
2021-12-31,70.75
2022-01-03,69.5
2022-01-04,67.75
2022-01-05,65.25
2022-01-06,64.25
2022-01-07,61.75
2022-01-10,60.0
2022-01-11,62.25
2022-01-12,66.0
2022-01-13,62.25
2022-01-14,61.5
2022-01-18,56.5
2022-01-19,56.25
2022-01-20,56.25
2022-01-21,52.5
2022-01-24,49.75
2022-01-25,48.25
2022-01-26,50.25
2022-01-27,48.75
2022-01-28,48.0
2022-01-31,52.5
2022-02-01,53.75
2022-02-02,50.75
2022-02-03,47.5
2022-02-04,48.5
2022-02-07,48.5
2022-02-08,49.5
2022-02-09,51.25
2022-02-10,49.75
2022-02-11,48.75
2022-02-14,47.75
2022-02-15,50.0
2022-02-16,50.75
2022-02-17,47.0
2022-02-18,46.0
2022-02-22,45.0
2022-02-23,43.75
2022-02-24,46.25
2022-02-25,49.25
2022-02-28,48.5
2022-03-01,46.5
2022-03-02,45.75
2022-03-03,44.0
2022-03-04,42.0
2022-03-07,41.75
2022-03-08,43.5
2022-03-09,48.5
2022-03-10,48.25
2022-03-11,49.0
2022-03-14,45.75
2022-03-15,46.5
2022-03-16,49.75
2022-03-17,51.25
2022-03-18,52.0
2022-03-21,50.5
2022-03-22,51.25
2022-03-23,52.5
2022-03-24,54.25
2022-03-25,52.5
2022-03-28,52.25
2022-03-29,54.0
2022-03-30,50.5
2022-03-31,49.75
2022-04-01,51.25
2022-04-04,52.0
2022-04-05,50.0
2022-04-06,48.75
2022-04-07,47.75
2022-04-08,47.25
2022-04-11,47.25
2022-04-12,47.5
2022-04-13,49.25
2022-04-14,49.5
2022-04-18,46.25
2022-04-19,45.75
2022-04-20,46.0
2022-04-21,46.5
2022-04-22,42.75
2022-04-25,45.0
2022-04-26,43.25
2022-04-27,45.0
2022-04-28,47.25
2022-04-29,47.0
2022-05-02,47.25
2022-05-03,44.5
2022-05-04,44.25
2022-05-05,42.25
2022-05-06,42.25
2022-05-09,38.0
2022-05-10,35.0
2022-05-11,32.0
2022-05-12,31.0
2022-05-13,40.5
2022-05-16,41.25
2022-05-17,40.0
2022-05-18,37.5
2022-05-19,36.75
2022-05-20,36.25
2022-05-23,35.25
2022-05-24,34.5
2022-05-25,34.75
2022-05-26,34.0
2022-05-27,35.0
2022-05-31,35.5
2022-06-01,35.0
2022-06-02,35.5
2022-06-03,34.75
2022-06-06,34.0
2022-06-07,32.5
2022-06-08,31.0
2022-06-09,28.75
2022-06-10,26.25
2022-06-13,23.549999237060547
2022-06-14,22.774999618530273
2022-06-15,23.5
2022-06-16,22.5
2022-06-17,23.674999237060547
2022-06-21,22.75
2022-06-22,23.0
2022-06-23,22.5
2022-06-24,22.950000762939453
2022-06-27,20.975000381469727
2022-06-28,20.274999618530273
2022-06-29,18.950000762939453
2022-06-30,21.975000381469727
2022-07-01,20.375
2022-07-05,21.649999618530273
2022-07-06,21.0
2022-07-07,23.424999237060547
2022-07-08,23.450000762939453
2022-07-11,21.25
2022-07-12,20.524999618530273
2022-07-13,20.299999237060547
2022-07-14,19.725000381469727
2022-07-15,20.649999618530273
2022-07-18,20.774999618530273
2022-07-19,20.75
2022-07-20,20.0
2022-07-21,20.600000381469727
2022-07-22,19.399999618530273
2022-07-25,20.149999618530273
2022-07-26,19.024999618530273
2022-07-27,21.149999618530273
2022-07-28,22.049999237060547
2022-07-29,21.350000381469727
2022-08-01,21.424999237060547
2022-08-02,21.200000762939453
2022-08-03,20.75
2022-08-04,20.875
2022-08-05,21.25
2022-08-08,21.075000762939453
2022-08-09,21.149999618530273
2022-08-10,22.5
2022-08-11,23.825000762939453
2022-08-12,24.950000762939453
2022-08-15,24.75
2022-08-16,23.700000762939453
2022-08-17,23.0
2022-08-18,24.325000762939453
2022-08-19,22.625
2022-08-22,21.100000381469727
2022-08-23,22.174999237060547
2022-08-24,22.100000381469727
2022-08-25,24.774999618530273
2022-08-26,25.5
2022-08-29,26.25
2022-08-30,25.75
2022-08-31,24.25
2022-09-01,24.100000381469727
2022-09-02,22.450000762939453
2022-09-06,23.399999618530273
2022-09-07,25.75
2022-09-08,25.5
2022-09-09,26.0
2022-09-12,25.75
2022-09-13,24.024999618530273
2022-09-14,23.25
2022-09-15,22.325000762939453
2022-09-16,22.0
2022-09-19,22.125
2022-09-20,21.0
2022-09-21,20.825000762939453
2022-09-22,20.0
2022-09-23,19.674999237060547
2022-09-26,20.700000762939453
2022-09-27,20.625
2022-09-28,21.725000381469727
2022-09-29,18.5
2022-09-30,18.530000686645508
2022-10-03,16.15999984741211
2022-10-04,18.06999969482422
2022-10-05,16.459999084472656
2022-10-06,16.020000457763672
2022-10-07,16.34000015258789
2022-10-10,18.09000015258789
2022-10-11,17.829999923706055
2022-10-12,17.56999969482422
2022-10-13,17.969999313354492
