Date,CRK
2010-01-04,194.18450927734375
2010-01-05,196.42579650878906
2010-01-06,196.11196899414062
2010-01-07,195.88787841796875
2010-01-08,197.2326202392578
2010-01-11,189.02957153320312
2010-01-12,185.9813995361328
2010-01-13,184.63662719726562
2010-01-14,182.66432189941406
2010-01-15,180.87130737304688
2010-01-19,184.68145751953125
2010-01-20,186.3848114013672
2010-01-21,184.41250610351562
2010-01-22,181.54367065429688
2010-01-25,184.95042419433594
2010-01-26,181.94708251953125
2010-01-27,176.47836303710938
2010-01-28,176.299072265625
2010-01-29,174.77499389648438
2010-02-01,181.90225219726562
2010-02-02,183.29183959960938
2010-02-03,177.95762634277344
2010-02-04,167.37876892089844
2010-02-05,166.2133026123047
2010-02-08,167.2891387939453
2010-02-09,165.09268188476562
2010-02-10,163.12034606933594
2010-02-11,164.01686096191406
2010-02-12,162.26864624023438
2010-02-16,167.33395385742188
2010-02-17,168.9925079345703
2010-02-18,168.05116271972656
2010-02-19,168.58908081054688
2010-02-22,165.1374969482422
2010-02-23,158.63778686523438
2010-02-24,156.35166931152344
2010-02-25,155.67929077148438
2010-02-26,154.73797607421875
2010-03-01,157.5171661376953
2010-03-02,160.16183471679688
2010-03-03,158.72744750976562
2010-03-04,151.3760528564453
2010-03-05,151.6898193359375
2010-03-08,148.1486053466797
2010-03-09,147.47621154785156
2010-03-10,145.72801208496094
2010-03-11,148.50723266601562
2010-03-12,151.55535888671875
2010-03-15,147.92445373535156
2010-03-16,149.08995056152344
2010-03-17,151.7794952392578
2010-03-18,150.838134765625
2010-03-19,145.0556182861328
2010-03-22,143.93502807617188
2010-03-23,144.83151245117188
2010-03-24,142.3660888671875
2010-03-25,134.8802032470703
2010-03-26,134.252685546875
2010-03-29,139.9006805419922
2010-03-30,140.5730743408203
2010-03-31,142.54537963867188
2010-04-01,151.51052856445312
2010-04-05,158.68263244628906
2010-04-06,158.68263244628906
2010-04-07,155.76895141601562
2010-04-08,154.82762145996094
2010-04-09,156.5758056640625
2010-04-12,157.1137237548828
2010-04-13,158.50331115722656
2010-04-14,158.50331115722656
2010-04-15,159.04122924804688
2010-04-16,153.4828338623047
2010-04-19,151.3312225341797
2010-04-20,155.54481506347656
2010-04-21,152.3173370361328
2010-04-22,153.34837341308594
2010-04-23,158.4136505126953
2010-04-26,155.32070922851562
2010-04-27,148.64170837402344
2010-04-28,147.47621154785156
2010-04-29,145.4590606689453
2010-04-30,143.71084594726562
2010-05-03,148.23826599121094
2010-05-04,141.29031372070312
2010-05-05,139.4524383544922
2010-05-06,132.6837615966797
2010-05-07,127.2150650024414
2010-05-10,136.22499084472656
2010-05-11,134.56643676757812
2010-05-12,136.53878784179688
2010-05-13,140.21446228027344
2010-05-14,140.21446228027344
2010-05-17,137.12149047851562
2010-05-18,136.6732177734375
2010-05-19,134.56643676757812
2010-05-20,127.52881622314453
2010-05-21,131.6527862548828
2010-05-24,124.34619903564453
2010-05-25,124.480712890625
2010-05-26,126.63227081298828
2010-05-27,134.47677612304688
2010-05-28,133.7595672607422
2010-06-01,126.8564453125
2010-06-02,134.11817932128906
2010-06-03,142.14195251464844
2010-06-04,141.20062255859375
2010-06-07,140.7971954345703
2010-06-08,143.66604614257812
2010-06-09,141.37991333007812
2010-06-10,145.95217895507812
2010-06-11,147.07281494140625
2010-06-14,145.32460021972656
2010-06-15,150.30020141601562
2010-06-16,149.67266845703125
2010-06-17,148.46237182617188
2010-06-18,148.28306579589844
2010-06-21,146.40042114257812
2010-06-22,140.70753479003906
2010-06-23,140.12484741210938
2010-06-24,137.883544921875
2010-06-25,140.25929260253906
2010-06-28,133.4009552001953
2010-06-29,124.16690826416016
2010-06-30,124.25655364990234
2010-07-01,122.55319213867188
2010-07-02,121.0739517211914
2010-07-06,119.05679321289062
2010-07-07,122.28423309326172
2010-07-08,121.9704360961914
2010-07-09,121.16358184814453
2010-07-12,119.1912612915039
2010-07-13,118.07061767578125
2010-07-14,116.9051513671875
2010-07-15,123.27037048339844
2010-07-16,118.33958435058594
2010-07-19,116.18795013427734
2010-07-20,120.22225952148438
2010-07-21,115.60521697998047
2010-07-22,117.84648895263672
2010-07-23,117.93614959716797
2010-07-26,118.69818115234375
2010-07-27,116.09831237792969
2010-07-28,114.48458862304688
2010-07-29,113.0949935913086
2010-07-30,113.4535903930664
2010-08-02,116.50172424316406
2010-08-03,111.61573028564453
2010-08-04,109.59858703613281
2010-08-05,112.60189819335938
2010-08-06,112.51224517822266
2010-08-09,113.81219482421875
2010-08-10,110.04684448242188
2010-08-11,103.32299041748047
2010-08-12,100.67829132080078
2010-08-13,98.84042358398438
2010-08-16,96.82329559326172
2010-08-17,101.26103210449219
2010-08-18,99.82661437988281
2010-08-19,98.16805267333984
2010-08-20,95.74748229980469
2010-08-23,94.49236297607422
2010-08-24,94.04409790039062
2010-08-25,93.90962219238281
2010-08-26,93.90962219238281
2010-08-27,97.5405044555664
2010-08-30,97.98876190185547
2010-08-31,97.58533477783203
2010-09-01,97.18189239501953
2010-09-02,97.98876190185547
2010-09-03,98.75078582763672
2010-09-07,94.67166137695312
2010-09-08,94.76129913330078
2010-09-09,93.8199691772461
2010-09-10,93.68550109863281
2010-09-13,92.9234619140625
2010-09-14,92.52003479003906
2010-09-15,92.7441635131836
2010-09-16,90.77183532714844
2010-09-17,89.11328125
2010-09-20,90.95112609863281
2010-09-21,93.1924057006836
2010-09-22,94.1337661743164
2010-09-23,95.92677307128906
2010-09-24,99.692138671875
2010-09-27,99.60247039794922
2010-09-28,97.94393920898438
