Date,PEB
2010-01-04,15.070396423339844
2010-01-05,15.345685005187988
2010-01-06,15.352741241455078
2010-01-07,15.042150497436523
2010-01-08,14.908034324645996
2010-01-11,14.844511985778809
2010-01-12,14.512743949890137
2010-01-13,14.519807815551758
2010-01-14,14.562166213989258
2010-01-15,14.696281433105469
2010-01-19,15.204505920410156
2010-01-20,15.246865272521973
2010-01-21,15.211564064025879
2010-01-22,14.900982856750488
2010-01-25,14.625691413879395
2010-01-26,14.364521980285645
2010-01-27,14.223346710205078
2010-01-28,14.54804515838623
2010-01-29,14.555108070373535
2010-02-01,14.293935775756836
2010-02-02,14.364521980285645
2010-02-03,14.32216739654541
2010-02-04,14.31511116027832
2010-02-05,14.343340873718262
2010-02-08,14.180991172790527
2010-02-09,14.159811973571777
2010-02-10,14.173933029174805
2010-02-11,14.138642311096191
2010-02-12,14.364521980285645
2010-02-16,14.300987243652344
2010-02-17,14.209227561950684
2010-02-18,14.124523162841797
2010-02-19,14.216285705566406
2010-02-22,14.364521980285645
2010-02-23,14.23746109008789
2010-02-24,14.371577262878418
2010-02-25,14.202168464660645
2010-02-26,14.300987243652344
2010-03-01,14.37863540649414
2010-03-02,14.625691413879395
2010-03-03,14.752752304077148
2010-03-04,14.964513778686523
2010-03-05,15.119800567626953
2010-03-08,15.119800567626953
2010-03-09,14.957453727722168
2010-03-10,14.759805679321289
2010-03-11,14.858624458312988
2010-03-12,14.95039176940918
2010-03-15,14.823338508605957
2010-03-16,15.155096054077148
2010-03-17,15.133917808532715
2010-03-18,14.823338508605957
2010-03-19,14.188054084777832
2010-03-22,14.435104370117188
2010-03-23,14.555108070373535
2010-03-24,14.477455139160156
2010-03-25,14.766868591308594
2010-03-26,14.788037300109863
2010-03-29,14.780984878540039
2010-03-30,14.738628387451172
2010-03-31,14.844511985778809
2010-04-01,14.788037300109863
2010-04-05,14.872754096984863
2010-04-06,14.886865615844727
2010-04-07,14.780984878540039
2010-04-08,14.343340873718262
2010-04-09,14.32216739654541
2010-04-12,14.484514236450195
2010-04-13,14.37863540649414
2010-04-14,14.50568962097168
2010-04-15,14.477455139160156
2010-04-16,14.159811973571777
2010-04-19,14.110403060913086
2010-04-20,14.15275764465332
2010-04-21,14.15275764465332
2010-04-22,14.180991172790527
2010-04-23,14.117464065551758
2010-04-26,14.025703430175781
2010-04-27,14.053935050964355
2010-04-28,14.082174301147461
2010-04-29,13.870403289794922
2010-04-30,13.90570068359375
2010-05-03,13.940993309020996
2010-05-04,13.693938255310059
2010-05-05,13.475114822387695
2010-05-06,13.178654670715332
2010-05-07,13.129239082336426
2010-05-10,13.62335205078125
2010-05-11,13.228063583374023
2010-05-12,13.870403289794922
2010-05-13,13.79981803894043
2010-05-14,13.602179527282715
2010-05-17,13.404528617858887
2010-05-18,13.524530410766602
2010-05-19,13.390409469604492
2010-05-20,13.27041244506836
2010-05-21,13.54570484161377
2010-05-24,13.976288795471191
2010-05-25,14.096284866333008
2010-05-26,14.350399017333984
2010-05-27,14.5903959274292
2010-05-28,14.484514236450195
2010-06-01,14.202168464660645
2010-06-02,14.110403060913086
