Date,TNL
2010-01-04,5.694109916687012
2010-01-05,5.814841270446777
2010-01-06,5.924342155456543
2010-01-07,5.915918350219727
2010-01-08,5.856956958770752
2010-01-11,5.809228420257568
2010-01-12,5.7390313148498535
2010-01-13,6.230386257171631
2010-01-14,6.528008460998535
2010-01-15,6.429737091064453
2010-01-19,6.463433265686035
2010-01-20,6.4606242179870605
2010-01-21,6.317427635192871
2010-01-22,6.250040054321289
2010-01-25,6.118077754974365
2010-01-26,6.0478835105896
2010-01-27,6.0338454246521
2010-01-28,5.938380718231201
2010-01-29,5.893459796905518
2010-02-01,6.106844902038574
2010-02-02,6.1517720222473145
2010-02-03,6.053496837615967
2010-02-04,5.820456504821777
2010-02-05,5.817650318145752
2010-02-08,5.803612232208252
2010-02-09,5.958035469055176
2010-02-10,6.238811016082764
2010-02-11,6.370776176452637
2010-02-12,6.328660011291504
2010-02-16,6.40446662902832
2010-02-17,6.446584224700928
2010-02-18,6.373584270477295
2010-02-19,6.373584270477295
2010-02-22,6.497124195098877
2010-02-23,6.359541416168213
2010-02-24,6.412891387939453
2010-02-25,6.382007598876953
2010-02-26,6.455007076263428
2010-03-01,6.659974575042725
2010-03-02,6.654358863830566
2010-03-03,6.575740337371826
2010-03-04,6.654760837554932
2010-03-05,6.77611780166626
2010-03-08,6.756363391876221
2010-03-09,6.764826774597168
2010-03-10,6.891829013824463
2010-03-11,7.038580417633057
2010-03-12,7.103494644165039
2010-03-15,6.984959602355957
2010-03-16,6.793050289154053
2010-03-17,6.818448543548584
2010-03-18,6.787405014038086
2010-03-19,6.767650127410889
2010-03-22,6.948271751403809
2010-03-23,6.976494312286377
2010-03-24,7.035757541656494
2010-03-25,7.19097900390625
2010-03-26,7.247422695159912
2010-03-29,7.295403957366943
2010-03-30,7.320801258087158
2010-03-31,7.26153564453125
2010-04-01,7.332091808319092
2010-04-05,7.498603343963623
2010-04-06,7.574801445007324
2010-04-07,7.490135192871094
2010-04-08,7.586086750030518
2010-04-09,7.586086750030518
2010-04-12,7.591735363006592
2010-04-13,7.35748815536499
2010-04-14,7.346202373504639
2010-04-15,7.546578407287598
2010-04-16,7.295403957366943
2010-04-19,7.253069877624512
2010-04-20,7.39700174331665
2010-04-21,7.456267833709717
2010-04-22,7.659469127655029
2010-04-23,7.786468029022217
2010-04-26,7.738490104675293
2010-04-27,7.515535354614258
2010-04-28,7.399825096130371
2010-04-29,7.7469563484191895
2010-04-30,7.566333293914795
2010-05-03,7.707448482513428
2010-05-04,7.36313533782959
2010-05-05,7.123247146606445
2010-05-06,6.905935764312744
2010-05-07,6.505184650421143
2010-05-10,7.159939765930176
2010-05-11,7.1684041023254395
2010-05-12,7.399825096130371
2010-05-13,7.207915782928467
2010-05-14,7.02164888381958
2010-05-17,7.018824100494385
2010-05-18,6.795872211456299
2010-05-19,6.660407066345215
