Date,IART
2010-01-04,17.40506362915039
2010-01-05,17.368896484375
2010-01-06,17.60849952697754
2010-01-07,17.775768280029297
2010-01-08,17.59493637084961
2010-01-11,17.41862678527832
2010-01-12,17.337251663208008
2010-01-13,17.576854705810547
2010-01-14,17.816455841064453
2010-01-15,17.85714340209961
2010-01-19,18.141952514648438
2010-01-20,18.119348526000977
2010-01-21,17.84358024597168
2010-01-22,17.5
2010-01-25,17.481916427612305
2010-01-26,18.241409301757812
2010-01-27,17.84358024597168
2010-01-28,17.554250717163086
2010-01-29,17.35985565185547
2010-02-01,17.219711303710938
2010-02-02,17.28752326965332
2010-02-03,17.206148147583008
2010-02-04,16.948463439941406
2010-02-05,16.75406837463379
2010-02-08,16.65913200378418
2010-02-09,16.943941116333008
2010-02-10,16.971067428588867
2010-02-11,17.056961059570312
2010-02-12,17.314647674560547
2010-02-16,17.40506362915039
2010-02-17,17.85262107849121
2010-02-18,17.90235137939453
2010-02-19,17.893308639526367
2010-02-22,17.90235137939453
2010-02-23,18.001808166503906
2010-02-24,17.992767333984375
2010-02-25,18.01085090637207
2010-02-26,17.992767333984375
2010-03-01,18.381555557250977
2010-03-02,19.326400756835938
2010-03-03,19.082277297973633
2010-03-04,19.0732364654541
2010-03-05,19.358047485351562
2010-03-08,19.05063247680664
2010-03-09,19.091320037841797
2010-03-10,18.987342834472656
2010-03-11,18.95569610595703
2010-03-12,18.96925926208496
2010-03-15,19.13652801513672
2010-03-16,19.575044631958008
2010-03-17,19.76491928100586
2010-03-18,19.954792022705078
2010-03-19,19.688064575195312
2010-03-22,20.11754035949707
2010-03-23,20.293851852416992
2010-03-24,20.14014434814453
2010-03-25,19.850814819335938
2010-03-26,19.38517189025879
2010-03-29,19.62025260925293
2010-03-30,19.954792022705078
2010-03-31,19.814647674560547
2010-04-01,19.64737892150879
2010-04-05,19.674503326416016
2010-04-06,19.76491928100586
2010-04-07,19.624774932861328
2010-04-08,19.54792022705078
2010-04-09,19.651899337768555
2010-04-12,19.724231719970703
2010-04-13,19.660940170288086
2010-04-14,19.954792022705078
2010-04-15,20.09493637084961
2010-04-16,20.696203231811523
2010-04-19,20.786617279052734
2010-04-20,20.904159545898438
2010-04-21,20.669078826904297
2010-04-22,20.5198917388916
2010-04-23,20.587703704833984
2010-04-26,20.537975311279297
2010-04-27,20.6509952545166
2010-04-28,20.831825256347656
2010-04-29,20.9222412109375
2010-04-30,20.537975311279297
2010-05-03,19.443941116333008
2010-05-04,18.729656219482422
2010-05-05,19.122966766357422
2010-05-06,18.291139602661133
2010-05-07,18.074140548706055
2010-05-10,18.915008544921875
2010-05-11,18.747739791870117
2010-05-12,19.376129150390625
2010-05-13,19.168174743652344
2010-05-14,18.92405128479004
2010-05-17,19.122966766357422
2010-05-18,18.82911491394043
2010-05-19,18.87432289123535
2010-05-20,18.322784423828125
2010-05-21,18.006328582763672
2010-05-24,17.825496673583984
2010-05-25,17.680831909179688
2010-05-26,17.545207977294922
2010-05-27,17.947559356689453
2010-05-28,17.811935424804688
2010-06-01,17.337251663208008
2010-06-02,17.924955368041992
2010-06-03,18.22332763671875
2010-06-04,17.328210830688477
2010-06-07,17.115732192993164
2010-06-08,17.151899337768555
2010-06-09,17.020795822143555
2010-06-10,17.102170944213867
2010-06-11,17.34629249572754
2010-06-14,17.540687561035156
