Date,HHH
2010-11-05,36.2249755859375
2010-11-08,36.701622009277344
2010-11-09,34.7950439453125
2010-11-10,35.17635726928711
2010-11-11,35.60533905029297
2010-11-12,35.23355484008789
2010-11-15,38.846519470214844
2010-11-16,38.41754150390625
2010-11-17,38.07435607910156
2010-11-18,38.17921829223633
2010-11-19,40.257389068603516
2010-11-22,39.6854133605957
2010-11-23,39.75214385986328
2010-11-24,40.08579635620117
2010-11-26,39.980934143066406
2010-11-29,39.485225677490234
2010-11-30,38.86558532714844
2010-12-01,39.9904670715332
2010-12-02,41.13441467285156
2010-12-03,42.26882553100586
2010-12-06,43.18398666381836
2010-12-07,44.88084030151367
2010-12-08,46.19637680053711
2010-12-09,47.60724639892578
2010-12-10,49.42802810668945
2010-12-13,51.84938049316406
2010-12-14,52.0495719909668
2010-12-15,51.0295524597168
2010-12-16,51.963775634765625
2010-12-17,52.38322067260742
2010-12-20,53.38417434692383
2010-12-21,52.56434631347656
2010-12-22,51.4394645690918
2010-12-23,49.675880432128906
2010-12-27,49.50429153442383
2010-12-28,50.96282196044922
2010-12-29,52.01144027709961
2010-12-30,51.92564392089844
2010-12-31,51.87797927856445
2011-01-03,52.0495719909668
2011-01-04,51.76358413696289
2011-01-05,52.0305061340332
2011-01-06,52.26882553100586
2011-01-07,52.39275360107422
2011-01-10,51.3155403137207
2011-01-11,50.67683410644531
2011-01-12,50.762630462646484
2011-01-13,51.000953674316406
2011-01-14,50.92469024658203
2011-01-18,50.83889389038086
2011-01-19,50.08579635620117
2011-01-20,50.02859878540039
2011-01-21,49.55195236206055
2011-01-24,50.47664260864258
2011-01-25,50.228790283203125
2011-01-26,49.85700607299805
2011-01-27,49.16110610961914
2011-01-28,48.16968536376953
2011-01-31,47.93136215209961
2011-02-01,48.36034393310547
2011-02-02,48.07435607910156
2011-02-03,49.304100036621094
2011-02-04,49.87607192993164
2011-02-07,50.228790283203125
2011-02-08,50.14299392700195
2011-02-09,50.67683410644531
2011-02-10,50.59103775024414
2011-02-11,50.90562438964844
2011-02-14,50.87702560424805
2011-02-15,50.352718353271484
2011-02-16,51.05815124511719
2011-02-17,51.91611099243164
