Date,VMD
2019-08-09,7.019999980926514
2019-08-12,7.010000228881836
2019-08-13,7.281000137329102
2019-08-14,7.119999885559082
2019-08-15,6.820000171661377
2019-08-16,6.929999828338623
2019-08-19,6.840000152587891
2019-08-20,6.7129998207092285
2019-08-21,6.5
2019-08-22,6.510000228881836
2019-08-23,6.1020002365112305
2019-08-26,6.250999927520752
2019-08-27,6.329999923706055
2019-08-28,6.239999771118164
2019-08-29,6.388000011444092
2019-08-30,6.380000114440918
2019-09-03,6.420000076293945
2019-09-04,6.210000038146973
2019-09-05,6.119999885559082
2019-09-06,6.28000020980835
2019-09-09,6.400000095367432
2019-09-10,6.297999858856201
2019-09-11,6.349999904632568
2019-09-12,6.75
2019-09-13,6.769999980926514
2019-09-16,6.849999904632568
2019-09-17,6.71999979019165
2019-09-18,6.809999942779541
2019-09-19,6.630000114440918
2019-09-20,6.945000171661377
2019-09-23,7.0
2019-09-24,7.0
2019-09-25,7.099999904632568
2019-09-26,6.929999828338623
2019-09-27,6.940000057220459
2019-09-30,6.920000076293945
2019-10-01,6.849999904632568
2019-10-02,6.610000133514404
2019-10-03,6.820000171661377
2019-10-04,6.968999862670898
2019-10-07,7.310999870300293
2019-10-08,7.289999961853027
2019-10-09,7.519999980926514
2019-10-10,7.550000190734863
2019-10-11,7.73199987411499
2019-10-14,7.699999809265137
2019-10-15,7.920000076293945
2019-10-16,7.949999809265137
2019-10-17,7.949999809265137
2019-10-18,7.869999885559082
2019-10-21,8.534000396728516
2019-10-22,8.180000305175781
2019-10-23,7.739999771118164
2019-10-24,8.260000228881836
2019-10-25,8.260000228881836
2019-10-28,8.289999961853027
2019-10-29,8.237000465393066
2019-10-30,8.1899995803833
2019-10-31,8.119999885559082
2019-11-01,8.050000190734863
2019-11-04,7.96999979019165
2019-11-05,7.230000019073486
2019-11-06,7.590000152587891
2019-11-07,7.329999923706055
2019-11-08,7.019999980926514
2019-11-11,6.900000095367432
2019-11-12,6.789999961853027
2019-11-13,6.420000076293945
2019-11-14,6.703000068664551
2019-11-15,6.599999904632568
2019-11-18,6.309999942779541
2019-11-19,6.170000076293945
2019-11-20,6.059999942779541
2019-11-21,6.059999942779541
2019-11-22,6.389999866485596
2019-11-25,6.199999809265137
2019-11-26,6.130000114440918
2019-11-27,6.170000076293945
2019-11-29,6.179999828338623
2019-12-02,6.389999866485596
2019-12-03,6.070000171661377
2019-12-04,6.070000171661377
2019-12-05,6.130000114440918
2019-12-06,6.380000114440918
2019-12-09,6.300000190734863
2019-12-10,6.349999904632568
