Date,CHCT
2015-05-20,10.276416778564453
2015-05-21,10.682065963745117
2015-05-22,10.844324111938477
2015-05-26,10.898408889770508
2015-05-27,10.871369361877441
2015-05-28,10.627981185913086
2015-05-29,10.600937843322754
2015-06-01,10.465719223022461
2015-06-02,10.76860237121582
2015-06-03,10.709107398986816
2015-06-04,10.49276351928711
2015-06-05,10.314276695251465
2015-06-08,10.076297760009766
2015-06-09,10.09252643585205
2015-06-10,10.168244361877441
2015-06-11,10.11416244506836
2015-06-12,10.298049926757812
2015-06-15,10.292646408081055
2015-06-16,10.254779815673828
2015-06-17,10.298049926757812
2015-06-18,10.271010398864746
2015-06-19,10.368365287780762
2015-06-22,10.314276695251465
2015-06-23,10.373771667480469
2015-06-24,10.33591365814209
2015-06-25,10.303459167480469
2015-06-26,10.471129417419434
2015-06-29,10.314276695251465
2015-06-30,10.411635398864746
2015-07-01,10.314276695251465
2015-07-02,10.325098037719727
2015-07-06,10.34132194519043
2015-07-07,10.314276695251465
2015-07-08,10.352137565612793
2015-07-09,10.28182601928711
2015-07-10,10.287233352661133
2015-07-13,10.271010398864746
2015-07-14,10.287233352661133
2015-07-15,10.303459167480469
2015-07-16,10.271010398864746
2015-07-17,10.28182601928711
2015-07-20,10.276416778564453
2015-07-21,10.325098037719727
2015-07-22,10.271010398864746
2015-07-23,10.271010398864746
2015-07-24,10.28182601928711
2015-07-27,10.162836074829102
2015-07-28,10.254779815673828
2015-07-29,9.968125343322754
2015-07-30,10.00057601928711
2015-07-31,10.206106185913086
2015-08-03,10.17906379699707
2015-08-04,10.162836074829102
2015-08-05,10.13038444519043
2015-08-06,9.924856185913086
2015-08-07,9.85454273223877
2015-08-10,9.816682815551758
2015-08-11,9.681468963623047
2015-08-12,9.784232139587402
2015-08-13,9.76259708404541
2015-08-14,9.773409843444824
2015-08-17,9.735552787780762
2015-08-18,9.791157722473145
2015-08-19,9.73664379119873
2015-08-20,9.769353866577148
2015-08-21,9.796607971191406
2015-08-24,9.747546195983887
2015-08-25,9.791157722473145
2015-08-26,9.725741386413574
2015-08-27,9.812967300415039
2015-08-28,9.823869705200195
2015-08-31,9.862032890319824
2015-09-01,9.812967300415039
2015-09-02,9.823869705200195
2015-09-03,9.92745304107666
2015-09-04,9.840225219726562
2015-09-08,9.840225219726562
2015-09-09,9.665771484375
2015-09-10,9.823869705200195
2015-09-11,9.714836120605469
2015-09-14,9.75844955444336
2015-09-15,9.791157722473145
2015-09-16,9.404093742370605
2015-09-17,9.425901412963867
2015-09-18,9.229640007019043
2015-09-21,9.093351364135742
2015-09-22,9.093351364135742
2015-09-23,9.278703689575195
2015-09-24,9.311415672302246
2015-09-25,8.957059860229492
2015-09-28,8.967960357666016
2015-09-29,8.826218605041504
2015-09-30,8.668120384216309
2015-10-01,8.722635269165039
2015-10-02,8.711731910705566
2015-10-05,8.858927726745605
2015-10-06,9.006122589111328
2015-10-07,9.518576622009277
2015-10-08,9.714836120605469
2015-10-09,9.75844955444336
2015-10-12,9.791157722473145
2015-10-13,9.840225219726562
2015-10-14,9.872932434082031
2015-10-15,10.14006519317627
2015-10-16,10.145514488220215
2015-10-19,10.325422286987305
2015-10-20,10.19458293914795
2015-10-21,10.314518928527832
2015-10-22,9.932900428771973
2015-10-23,10.085549354553223
2015-10-26,10.080096244812012
2015-10-27,10.0910005569458
2015-10-28,10.031031608581543
2015-10-29,9.92745304107666
2015-10-30,9.98196792602539
2015-11-02,10.0910005569458
2015-11-03,10.020129203796387
2015-11-04,10.020129203796387
2015-11-05,9.98196792602539
2015-11-06,9.954708099365234
2015-11-09,9.965615272521973
2015-11-10,10.080096244812012
2015-11-11,9.949258804321289
2015-11-12,9.867485046386719
2015-11-13,9.812967300415039
2015-11-16,9.976513862609863
2015-11-17,10.161871910095215
2015-11-18,10.264801025390625
2015-11-19,10.370508193969727
2015-11-20,10.070072174072266
2015-11-23,10.070072174072266
2015-11-24,10.12570858001709
2015-11-25,10.392763137817383
2015-11-27,10.570793151855469
2015-11-30,10.415013313293457
2015-12-01,10.453959465026855
2015-12-02,10.34825325012207
2015-12-03,10.209162712097168
2015-12-04,10.342686653137207
2015-12-07,10.181343078613281
2015-12-08,10.164652824401855
2015-12-09,10.097891807556152
2015-12-10,10.05894660949707
2015-12-11,10.136836051940918
2015-12-14,10.120144844055176
2015-12-15,10.392763137817383
2015-12-16,10.509594917297363
2015-12-17,10.34825325012207
2015-12-18,10.631993293762207
2015-12-21,10.403888702392578
2015-12-22,10.29818058013916
2015-12-23,10.275922775268555
2015-12-24,10.203594207763672
2015-12-28,10.275922775268555
2015-12-29,10.281488418579102
2015-12-30,10.236977577209473
2015-12-31,10.253670692443848
2016-01-04,10.281488418579102
2016-01-05,10.281488418579102
2016-01-06,10.275922775268555
2016-01-07,10.120144844055176
2016-01-08,9.958799362182617
2016-01-11,9.914292335510254
2016-01-12,9.803019523620605
2016-01-13,9.497027397155762
2016-01-14,9.380189895629883
2016-01-15,9.307861328125
2016-01-19,9.21884536743164
2016-01-20,9.113137245178223
2016-01-21,9.307861328125
2016-01-22,9.697315216064453
2016-01-25,9.936549186706543
2016-01-26,9.981058120727539
2016-01-27,9.953235626220703
2016-01-28,10.092324256896973
2016-01-29,10.303742408752441
2016-02-01,10.264801025390625
2016-02-02,10.081201553344727
2016-02-03,10.003310203552246
2016-02-04,10.147961616516113
2016-02-05,9.864222526550293
2016-02-08,9.524843215942383
2016-02-09,9.9198579788208
2016-02-10,10.209162712097168
2016-02-11,9.652804374694824
2016-02-12,9.736255645751953
