Date,MU
2010-01-04,10.597220420837402
2010-01-05,10.909762382507324
2010-01-06,10.958599090576172
2010-01-07,10.587450981140137
2010-01-08,10.841395378112793
2010-01-11,10.64605712890625
2010-01-12,10.020967483520508
2010-01-13,10.216306686401367
2010-01-14,10.48001480102539
2010-01-15,9.893994331359863
2010-01-19,10.040499687194824
2010-01-20,9.747488021850586
2010-01-21,9.57168197631836
2010-01-22,8.917292594909668
2010-01-25,9.11263370513916
2010-01-26,9.220067024230957
2010-01-27,9.493548393249512
2010-01-28,9.181001663208008
2010-01-29,8.516843795776367
2010-02-01,8.956360816955566
2010-02-02,9.132165908813477
2010-02-03,8.809854507446289
2010-02-04,8.409406661987305
2010-02-05,8.497309684753418
2010-02-08,8.70241928100586
2010-02-09,8.86845588684082
2010-02-10,8.34103775024414
2010-02-11,8.331270217895508
2010-02-12,8.243367195129395
2010-02-16,8.428940773010254
2010-02-17,8.526612281799316
2010-02-18,8.555913925170898
2010-02-19,8.69265079498291
2010-02-22,8.731719017028809
2010-02-23,8.409406661987305
2010-02-24,8.87822437286377
2010-02-25,8.85869026184082
2010-02-26,8.848922729492188
2010-03-01,9.54238224029541
2010-03-02,9.347040176391602
2010-03-03,9.22983455657959
2010-03-04,9.190767288208008
2010-03-05,9.239604949951172
2010-03-08,9.366575241088867
2010-03-09,9.190767288208008
2010-03-10,9.640050888061523
2010-03-11,9.57168197631836
2010-03-12,9.737723350524902
2010-03-15,9.503311157226562
2010-03-16,9.972129821777344
2010-03-17,10.157703399658203
2010-03-18,9.923294067382812
2010-03-19,9.718188285827637
2010-03-22,10.089334487915039
2010-03-23,10.294443130493164
2010-03-24,10.187004089355469
2010-03-25,10.138171195983887
2010-03-26,10.245607376098633
2010-03-29,10.382346153259277
2010-03-30,10.538619041442871
2010-03-31,10.128403663635254
2010-04-01,9.933062553405762
2010-04-05,10.353044509887695
2010-04-06,9.991663932800293
2010-04-07,10.313976287841797
2010-04-08,10.333510398864746
2010-04-09,10.48001480102539
2010-04-12,10.56791877746582
2010-04-13,10.509315490722656
2010-04-14,11.036736488342285
2010-04-15,10.919532775878906
2010-04-16,10.665587425231934
2010-04-19,10.538619041442871
2010-04-20,10.49954891204834
2010-04-21,10.48978042602539
2010-04-22,10.6753568649292
2010-04-23,10.743724822998047
2010-04-26,10.714424133300781
2010-04-27,10.099101066589355
2010-04-28,10.00143051147461
2010-04-29,9.972129821777344
2010-04-30,9.132165908813477
2010-05-03,9.659588813781738
2010-05-04,9.29820728302002
2010-05-05,9.04426097869873
2010-05-06,8.546142578125
2010-05-07,8.37033748626709
2010-05-10,8.87822437286377
2010-05-11,8.614514350891113
2010-05-12,9.11263370513916
2010-05-13,8.9270601272583
2010-05-14,8.731719017028809
2010-05-17,8.956360816955566
2010-05-18,8.86845588684082
2010-05-19,8.751251220703125
2010-05-20,8.536375045776367
2010-05-21,8.721949577331543
2010-05-24,8.585212707519531
2010-05-25,8.594978332519531
2010-05-26,8.487543106079102
2010-05-27,9.220067024230957
2010-05-28,8.87822437286377
2010-06-01,8.45824146270752
2010-06-02,8.966127395629883
2010-06-03,9.02472972869873
2010-06-04,8.653581619262695
2010-06-07,8.184764862060547
2010-06-08,8.34103775024414
2010-06-09,8.331270217895508
2010-06-10,8.565678596496582
2010-06-11,8.721949577331543
2010-06-14,8.70241928100586
2010-06-15,9.454477310180664
2010-06-16,9.679119110107422
2010-06-17,9.688886642456055
2010-06-18,9.767023086547852
2010-06-21,9.688886642456055
2010-06-22,9.415410041809082
2010-06-23,9.591216087341309
2010-06-24,9.395875930786133
2010-06-25,9.239604949951172
2010-06-28,9.786558151245117
2010-06-29,8.468008995056152
2010-06-30,8.292202949523926
2010-07-01,8.184764862060547
2010-07-02,8.028493881225586
2010-07-06,8.155466079711914
2010-07-07,8.682884216308594
2010-07-08,8.487543106079102
2010-07-09,8.37033748626709
2010-07-12,8.350802421569824
2010-07-13,8.526612281799316
2010-07-14,8.546142578125
2010-07-15,8.45824146270752
2010-07-16,8.077329635620117
2010-07-19,8.233601570129395
2010-07-20,8.253135681152344
2010-07-21,7.9796600341796875
2010-07-22,8.34103775024414
2010-07-23,8.28243350982666
2010-07-26,8.311736106872559
2010-07-27,8.233601570129395
2010-07-28,8.048027038574219
2010-07-29,7.598743438720703
