Date,RES
2010-01-04,3.8057124614715576
2010-01-05,4.062902450561523
2010-01-06,4.198447227478027
2010-01-07,4.3583221435546875
2010-01-08,4.344419002532959
2010-01-11,4.285335063934326
2010-01-12,4.205399036407471
2010-01-13,4.27838659286499
2010-01-14,4.281859874725342
2010-01-15,4.236677646636963
2010-01-19,4.309663772583008
2010-01-20,4.2401533126831055
2010-01-21,4.194971084594727
2010-01-22,4.090705394744873
2010-01-25,4.188022136688232
2010-01-26,4.27838659286499
2010-01-27,4.4139299392700195
2010-01-28,4.3617987632751465
2010-01-29,4.292285919189453
2010-02-01,4.344419002532959
2010-02-02,4.396551609039307
2010-02-03,4.292285919189453
2010-02-04,4.062902450561523
2010-02-05,4.031622409820557
2010-02-08,3.944431781768799
2010-02-09,4.052547454833984
2010-02-10,4.150198936462402
2010-02-11,4.268775939941406
2010-02-12,4.401303291320801
2010-02-16,4.453616619110107
2010-02-17,4.432692050933838
2010-02-18,4.52685546875
2010-02-19,4.533831596374512
2010-02-22,4.460590362548828
2010-02-23,4.303650379180908
2010-02-24,4.401303291320801
2010-02-25,4.366426467895508
2010-02-26,4.310625076293945
2010-03-01,4.3734025955200195
2010-03-02,4.5198798179626465
2010-03-03,4.554755687713623
2010-03-04,4.4466423988342285
2010-03-05,4.408278942108154
2010-03-08,4.418739318847656
2010-03-09,4.429201602935791
2010-03-10,4.310625076293945
2010-03-11,4.310625076293945
2010-03-12,4.314115524291992
2010-03-15,4.29318904876709
2010-03-16,4.328063011169434
2010-03-17,4.4466423988342285
2010-03-18,4.150198936462402
2010-03-19,4.028132915496826
2010-03-22,4.083935737609863
2010-03-23,4.122297763824463
2010-03-24,4.0455708503723145
2010-03-25,3.9409430027008057
2010-03-26,3.8049299716949463
2010-03-29,3.797954559326172
2010-03-30,3.909557342529297
2010-03-31,3.881657361984253
2010-04-01,4.010695934295654
2010-04-05,4.115321636199951
2010-04-06,4.056034088134766
2010-04-07,4.014183521270752
2010-04-08,4.056034088134766
2010-04-09,4.063009738922119
2010-04-12,4.150198936462402
2010-04-13,4.122297763824463
2010-04-14,4.300163269042969
2010-04-15,4.230413913726807
2010-04-16,4.185074806213379
2010-04-19,4.1083478927612305
2010-04-20,4.369915008544922
2010-04-21,4.4222283363342285
2010-04-22,4.676819801330566
2010-04-23,4.6558942794799805
2010-04-26,4.6070685386657715
2010-04-27,4.485004425048828
2010-04-28,4.791911602020264
2010-04-29,4.906999111175537
2010-04-30,4.760521411895752
2010-05-03,4.802371501922607
2010-05-04,4.634969711303711
2010-05-05,4.390841007232666
2010-05-06,4.2683868408203125
2010-05-07,4.009485721588135
2010-05-10,4.32436466217041
2010-05-11,4.299877166748047
2010-05-12,4.502797603607178
2010-05-13,4.443318843841553
2010-05-14,4.2893781661987305
2010-05-17,4.166924953460693
2010-05-18,4.191414833068848
2010-05-19,4.033975601196289
2010-05-20,3.7051000595092773
2010-05-21,3.7785720825195312
