Date,KGS
2023-06-29,13.988036155700684
2023-06-30,14.469151496887207
2023-07-03,14.166227340698242
2023-07-05,13.63165283203125
2023-07-06,14.290961265563965
2023-07-07,14.255321502685547
2023-07-10,14.335508346557617
2023-07-11,14.415696144104004
2023-07-12,14.317689895629883
2023-07-13,14.52260971069336
2023-07-14,14.469151496887207
2023-07-17,14.504790306091309
2023-07-18,14.638435363769531
2023-07-19,14.745347023010254
2023-07-20,14.994816780090332
2023-07-21,15.271011352539062
2023-07-24,15.306653022766113
2023-07-25,16.0550594329834
2023-07-26,15.85904598236084
2023-07-27,16.242156982421875
2023-07-28,16.90146827697754
2023-07-31,16.660911560058594
2023-08-01,16.65199851989746
2023-08-02,16.598539352416992
2023-08-03,16.946014404296875
2023-08-04,17.070749282836914
2023-08-07,16.643089294433594
2023-08-08,16.58072280883789
2023-08-09,17.026203155517578
2023-08-10,16.78564453125
2023-08-11,17.240032196044922
2023-08-14,17.4805908203125
2023-08-15,16.821277618408203
2023-08-16,16.999473571777344
2023-08-17,17.09748077392578
2023-08-18,17.017290115356445
2023-08-21,16.607450485229492
2023-08-22,16.313432693481445
2023-08-23,16.0728759765625
2023-08-24,16.081785202026367
2023-08-25,16.188701629638672
2023-08-28,16.27779769897461
2023-08-29,15.948143005371094
2023-08-30,16.233247756958008
2023-08-31,16.295618057250977
2023-09-01,16.46489715576172
2023-09-05,16.001598358154297
2023-09-06,15.983780860900879
2023-09-07,15.983780860900879
2023-09-08,15.841226577758789
2023-09-11,15.502663612365723
2023-09-12,16.161972045898438
2023-09-13,15.778860092163086
2023-09-14,16.0728759765625
2023-09-15,15.876864433288574
2023-09-18,16.233247756958008
2023-09-19,15.680854797363281
2023-09-20,15.582846641540527
2023-09-21,15.351200103759766
2023-09-22,15.71649169921875
2023-09-25,15.832318305969238
2023-09-26,15.707585334777832
2023-09-27,16.357982635498047
2023-09-28,16.34016227722168
2023-09-29,15.93032169342041
2023-10-02,15.556118965148926
2023-10-03,15.752130508422852
2023-10-04,15.315561294555664
2023-10-05,15.369020462036133
2023-10-06,15.484843254089355
2023-10-09,15.78777027130127
