Date,ESNT
2013-10-31,18.790180206298828
2013-11-01,20.159170150756836
2013-11-04,19.693891525268555
2013-11-05,20.3381290435791
2013-11-06,19.783374786376953
2013-11-07,19.06756019592285
2013-11-08,19.013870239257812
2013-11-11,18.405420303344727
2013-11-12,18.32489776611328
2013-11-13,18.682804107666016
2013-11-14,19.32703971862793
2013-11-15,18.960180282592773
2013-11-18,19.04071044921875
2013-11-19,18.870708465576172
2013-11-20,19.013870239257812
2013-11-21,19.514938354492188
2013-11-22,19.68494415283203
2013-11-25,19.148088455200195
2013-11-26,19.514938354492188
2013-11-27,19.514938354492188
2013-11-29,19.452306747436523
2013-12-02,19.5328426361084
2013-12-03,19.32703971862793
2013-12-04,19.810213088989258
2013-12-05,19.729684829711914
2013-12-06,19.989164352416992
2013-12-09,19.720733642578125
2013-12-10,19.505983352661133
2013-12-11,19.282297134399414
2013-12-12,19.264406204223633
2013-12-13,19.264406204223633
2013-12-16,19.21071434020996
2013-12-17,19.5328426361084
2013-12-18,19.9802188873291
2013-12-19,19.63125991821289
2013-12-20,20.660245895385742
2013-12-23,20.579715728759766
2013-12-24,20.669193267822266
2013-12-26,20.955524444580078
2013-12-27,21.125524520874023
2013-12-30,21.161314010620117
2013-12-31,21.52816390991211
2014-01-02,20.910781860351562
2014-01-03,21.48343276977539
2014-01-06,21.393953323364258
2014-01-07,21.26869010925293
2014-01-08,20.794458389282227
2014-01-09,20.669193267822266
2014-01-10,20.821306228637695
2014-01-13,20.812355041503906
2014-01-14,21.01814842224121
2014-01-15,22.029245376586914
2014-01-16,21.590810775756836
2014-01-17,22.226093292236328
2014-01-21,22.21714210510254
2014-01-22,22.530315399169922
2014-01-23,22.1008243560791
2014-01-24,21.644493103027344
2014-01-27,21.546072006225586
2014-01-28,22.14556121826172
2014-01-29,22.25293731689453
2014-01-30,22.2797794342041
2014-01-31,22.45873260498047
2014-02-03,22.16345977783203
2014-02-04,22.109771728515625
2014-02-05,21.83238983154297
2014-02-06,21.70712661743164
2014-02-07,21.787654876708984
2014-02-10,21.385009765625
2014-02-11,21.465543746948242
2014-02-12,21.742916107177734
2014-02-13,21.98450469970703
2014-02-14,22.23504066467285
2014-02-18,23.147708892822266
2014-02-19,22.154512405395508
2014-02-20,22.592952728271484
2014-02-21,22.038192749023438
2014-02-24,21.930816650390625
2014-02-25,21.70712661743164
2014-02-26,21.26869010925293
2014-02-27,20.9376220703125
2014-02-28,20.7586727142334
2014-03-03,20.910781860351562
2014-03-04,21.286582946777344
2014-03-05,21.358169555664062
2014-03-06,21.286582946777344
2014-03-07,21.17026710510254
2014-03-10,21.009204864501953
2014-03-11,20.21286392211914
2014-03-12,20.77656364440918
2014-03-13,20.9376220703125
2014-03-14,20.910781860351562
2014-03-17,21.45659065246582
2014-03-18,21.4744873046875
2014-03-19,21.241849899291992
2014-03-20,21.48343276977539
2014-03-21,20.63340187072754
2014-03-24,20.65130043029785
2014-03-25,20.69603729248047
2014-03-26,20.508132934570312
2014-03-27,19.89968490600586
2014-03-28,19.84600257873535
2014-03-31,20.096540451049805
2014-04-01,19.944427490234375
2014-04-02,19.810213088989258
2014-04-03,19.398624420166016
2014-04-04,19.022815704345703
2014-04-07,18.924392700195312
2014-04-08,19.12124252319336
2014-04-09,19.541784286499023
2014-04-10,19.013870239257812
2014-04-11,18.718591690063477
2014-04-14,18.038570404052734
2014-04-15,18.199626922607422
2014-04-16,18.53069305419922
2014-04-17,18.584375381469727
2014-04-21,18.459110260009766
2014-04-22,18.503847122192383
2014-04-23,17.841718673706055
2014-04-24,17.814878463745117
2014-04-25,17.68065643310547
2014-04-28,17.44801902770996
2014-04-29,17.17958641052246
2014-04-30,16.86642074584961
2014-05-01,16.606935501098633
2014-05-02,17.116954803466797
2014-05-05,17.018529891967773
2014-05-06,17.000633239746094
2014-05-07,17.242223739624023
2014-05-08,18.029619216918945
2014-05-09,17.895404815673828
2014-05-12,18.16383171081543
2014-05-13,18.342790603637695
2014-05-14,17.984880447387695
2014-05-15,17.743303298950195
2014-05-16,17.814878463745117
2014-05-19,17.814878463745117
2014-05-20,17.67171287536621
2014-05-21,17.5911808013916
2014-05-22,17.537494659423828
2014-05-23,17.618026733398438
2014-05-27,18.110153198242188
2014-05-28,17.87750816345215
2014-05-29,17.895404815673828
2014-05-30,17.850664138793945
2014-06-02,17.60013198852539
2014-06-03,17.474864959716797
2014-06-04,17.45697021484375
2014-06-05,17.868562698364258
2014-06-06,18.459110260009766
2014-06-09,18.718591690063477
2014-06-10,18.8170166015625
2014-06-11,18.52174949645996
2014-06-12,18.48595428466797
2014-06-13,18.45016098022461
2014-06-16,18.638063430786133
2014-06-17,18.933338165283203
2014-06-18,18.843862533569336
2014-06-19,18.691747665405273
2014-06-20,18.691747665405273
2014-06-23,18.593326568603516
2014-06-24,18.673852920532227
2014-06-25,18.700698852539062
2014-06-26,18.45016098022461
2014-06-27,18.154890060424805
2014-06-30,17.975934982299805
2014-07-01,18.32489776611328
2014-07-02,18.208574295043945
2014-07-03,18.244365692138672
2014-07-07,17.56433868408203
2014-07-08,17.44801902770996
2014-07-09,17.376436233520508
2014-07-10,17.269062042236328
2014-07-11,16.857471466064453
2014-07-14,16.669572830200195
2014-07-15,16.767990112304688
2014-07-16,16.741153717041016
2014-07-17,16.589040756225586
2014-07-18,16.732208251953125
2014-07-21,16.356399536132812
2014-07-22,16.150606155395508
2014-07-23,16.052181243896484
2014-07-24,15.953756332397461
2014-07-25,16.087966918945312
2014-07-28,16.32061195373535
2014-07-29,16.463769912719727
