Date,GRNT
2020-11-06,8.088422775268555
2020-11-09,7.884784698486328
2020-11-10,7.819622039794922
2020-11-11,7.819622039794922
2020-11-12,7.819622039794922
2020-11-13,7.90107536315918
2020-11-16,7.90107536315918
2020-11-17,7.90107536315918
2020-11-18,7.934961318969727
2020-11-19,7.920625686645508
2020-11-20,7.930398941040039
2020-11-23,7.974712371826172
2020-11-24,7.90433406829834
2020-11-25,7.88804292678833
2020-11-27,8.063985824584961
2020-11-30,7.982529163360596
2020-12-01,7.946038246154785
2020-12-02,7.97927188873291
2020-12-03,7.941802978515625
2020-12-04,7.976015090942383
2020-12-07,7.982529163360596
2020-12-08,8.073759078979492
2020-12-09,8.106340408325195
2020-12-10,8.080275535583496
2020-12-11,8.109600067138672
2020-12-14,8.09330940246582
2020-12-15,8.01185417175293
2020-12-16,8.06235408782959
2020-12-17,8.041176795959473
2020-12-18,8.015111923217773
2020-12-21,8.080275535583496
2020-12-22,8.145439147949219
2020-12-23,8.19431209564209
2020-12-24,8.272507667541504
2020-12-28,8.298572540283203
2020-12-29,8.243185997009277
2020-12-30,8.2659912109375
2020-12-31,8.155214309692383
2021-01-04,8.158472061157227
2021-01-05,8.30834674835205
2021-01-06,8.2659912109375
2021-01-07,8.22689437866211
2021-01-08,8.37025260925293
2021-01-11,8.376769065856934
2021-01-12,8.331153869628906
2021-01-13,8.34418773651123
2021-01-14,8.301831245422363
2021-01-15,8.2659912109375
2021-01-19,8.282282829284668
2021-01-20,8.360478401184082
2021-01-21,8.366994857788086
2021-01-22,8.389803886413574
2021-01-25,8.314863204956055
2021-01-26,8.2920560836792
2021-01-27,8.184537887573242
2021-01-28,8.178020477294922
2021-01-29,8.161728858947754
2021-02-01,8.178020477294922
2021-02-02,8.22689437866211
2021-02-03,8.246440887451172
2021-02-04,8.301831245422363
2021-02-05,8.249700546264648
2021-02-08,8.233409881591797
2021-02-09,8.210601806640625
2021-02-10,8.204086303710938
2021-02-11,8.213860511779785
2021-02-12,8.246440887451172
2021-02-16,8.233409881591797
2021-02-17,8.230152130126953
2021-02-18,8.22689437866211
2021-02-19,8.210601806640625
2021-02-22,8.192682266235352
2021-02-23,8.184537887573242
2021-02-24,8.210601806640625
2021-02-25,8.210601806640625
2021-02-26,8.187793731689453
2021-03-01,8.217119216918945
2021-03-02,8.12588882446289
2021-03-03,8.021629333496094
2021-03-04,8.063985824584961
2021-03-05,8.067241668701172
2021-03-08,8.080275535583496
2021-03-09,8.067241668701172
2021-03-10,8.067241668701172
2021-03-11,8.106340408325195
2021-03-12,8.047693252563477
2021-03-15,8.2920560836792
2021-03-16,8.034660339355469
2021-03-17,7.949948310852051
2021-03-18,8.047693252563477
2021-03-19,7.9694976806640625
2021-03-22,7.946689128875732
2021-03-23,7.949948310852051
2021-03-24,7.927140712738037
2021-03-25,7.9694976806640625
2021-03-26,7.954911231994629
2021-03-29,7.9141998291015625
2021-03-30,7.9141998291015625
2021-03-31,7.9141998291015625
2021-04-01,7.930483341217041
2021-04-05,7.954911231994629
2021-04-06,8.020048141479492
2021-04-07,8.020048141479492
2021-04-08,8.011905670166016
