Date,IE
2022-06-28,10.800000190734863
2022-06-29,9.710000038146973
2022-06-30,8.699999809265137
2022-07-01,9.010000228881836
2022-07-05,8.699999809265137
2022-07-06,8.869999885559082
2022-07-07,9.119999885559082
2022-07-08,8.970000267028809
2022-07-11,8.8100004196167
2022-07-12,8.050000190734863
2022-07-13,8.0649995803833
2022-07-14,7.940000057220459
2022-07-15,8.010000228881836
2022-07-18,7.65500020980835
2022-07-19,7.909999847412109
2022-07-20,8.100000381469727
2022-07-21,8.149999618530273
2022-07-22,8.5
2022-07-25,8.649999618530273
2022-07-26,8.529999732971191
2022-07-27,8.800000190734863
2022-07-28,8.529999732971191
2022-07-29,9.199999809265137
2022-08-01,8.75
2022-08-02,8.739999771118164
2022-08-03,8.789999961853027
2022-08-04,8.9399995803833
2022-08-05,8.9399995803833
2022-08-08,9.050000190734863
2022-08-09,9.199999809265137
2022-08-10,9.59000015258789
2022-08-11,9.720000267028809
2022-08-12,9.9399995803833
2022-08-15,9.9399995803833
2022-08-16,10.0600004196167
2022-08-17,9.729999542236328
2022-08-18,9.5
2022-08-19,9.5
2022-08-22,9.350000381469727
2022-08-23,9.270000457763672
2022-08-24,9.199999809265137
2022-08-25,9.600000381469727
2022-08-26,10.09000015258789
2022-08-29,9.520000457763672
2022-08-30,9.930000305175781
2022-08-31,9.630000114440918
2022-09-01,9.899999618530273
2022-09-02,10.100000381469727
2022-09-06,10.970000267028809
2022-09-07,10.899999618530273
2022-09-08,10.890000343322754
2022-09-09,11.109999656677246
2022-09-12,11.149999618530273
2022-09-13,10.75
2022-09-14,10.09000015258789
2022-09-15,9.779999732971191
2022-09-16,8.75
2022-09-19,8.460000038146973
2022-09-20,8.430000305175781
2022-09-21,8.449999809265137
2022-09-22,8.859999656677246
2022-09-23,8.050000190734863
2022-09-26,7.980000019073486
2022-09-27,8.109999656677246
2022-09-28,8.350000381469727
2022-09-29,8.529999732971191
2022-09-30,8.25
2022-10-03,8.930000305175781
2022-10-04,9.199999809265137
2022-10-05,9.199999809265137
2022-10-06,9.1899995803833
2022-10-07,8.899999618530273
2022-10-10,8.359999656677246
2022-10-11,8.25
2022-10-12,7.909999847412109
2022-10-13,8.170000076293945
2022-10-14,7.909999847412109
2022-10-17,8.1899995803833
2022-10-18,8.180000305175781
2022-10-19,8.170000076293945
2022-10-20,7.960000038146973
2022-10-21,8.5
2022-10-24,9.109999656677246
2022-10-25,9.430000305175781
2022-10-26,9.449999809265137
2022-10-27,9.380000114440918
2022-10-28,9.850000381469727
2022-10-31,10.460000038146973
2022-11-01,10.420000076293945
2022-11-02,10.020000457763672
2022-11-03,10.260000228881836
2022-11-04,10.720000267028809
2022-11-07,10.619999885559082
2022-11-08,11.0
2022-11-09,10.789999961853027
2022-11-10,11.770000457763672
2022-11-11,11.970000267028809
2022-11-14,12.079999923706055
2022-11-15,12.470000267028809
2022-11-16,12.199999809265137
2022-11-17,11.0
2022-11-18,10.90999984741211
2022-11-21,9.979999542236328
2022-11-22,10.239999771118164
2022-11-23,10.319999694824219
2022-11-25,9.890000343322754
2022-11-28,9.850000381469727
2022-11-29,10.119999885559082
2022-11-30,10.529999732971191
2022-12-01,10.180000305175781
2022-12-02,11.819999694824219
2022-12-05,11.5600004196167
2022-12-06,10.630000114440918
2022-12-07,10.569999694824219
2022-12-08,10.789999961853027
2022-12-09,10.829999923706055
2022-12-12,10.760000228881836
2022-12-13,11.4399995803833
2022-12-14,12.430000305175781
2022-12-15,12.430000305175781
2022-12-16,14.989999771118164
