Date,ALE
2010-01-04,17.51613998413086
2010-01-05,17.24510955810547
2010-01-06,17.34608268737793
2010-01-07,17.282306671142578
2010-01-08,17.12818717956543
2010-01-11,17.090986251831055
2010-01-12,17.059106826782227
2010-01-13,17.266361236572266
2010-01-14,17.202592849731445
2010-01-15,16.899675369262695
2010-01-19,17.21322250366211
2010-01-20,16.830591201782227
2010-01-21,16.501096725463867
2010-01-22,16.331037521362305
2010-01-25,16.208810806274414
2010-01-26,16.261945724487305
2010-01-27,16.336353302001953
2010-01-28,16.628643035888672
2010-01-29,16.63395881652832
2010-02-01,16.740243911743164
2010-02-02,16.756183624267578
2010-02-03,16.713668823242188
2010-02-04,16.38949966430664
2010-02-05,16.41075325012207
2010-02-08,16.346981048583984
2010-02-09,16.378868103027344
2010-02-10,16.605304718017578
2010-02-11,16.85869789123535
2010-02-12,17.047395706176758
2010-02-16,17.500267028808594
2010-02-17,17.55417823791504
2010-02-18,17.473308563232422
2010-02-19,17.597307205200195
2010-02-22,17.419401168823242
2010-02-23,17.176780700683594
2010-02-24,17.354700088500977
2010-02-25,17.230697631835938
2010-02-26,16.955739974975586
2010-03-01,17.467918395996094
2010-03-02,17.65122413635254
2010-03-03,17.807567596435547
2010-03-04,17.93696403503418
2010-03-05,18.136436462402344
2010-03-08,18.184965133666992
2010-03-09,17.963918685913086
2010-03-10,18.007049560546875
2010-03-11,18.104087829589844
2010-03-12,17.963918685913086
2010-03-15,18.01782989501953
2010-03-16,18.114871978759766
2010-03-17,18.147228240966797
2010-03-18,18.01782989501953
2010-03-19,18.104087829589844
2010-03-22,18.0825252532959
2010-03-23,18.19036102294922
2010-03-24,17.963918685913086
2010-03-25,17.87765884399414
2010-03-26,17.856096267700195
2010-03-29,18.104087829589844
2010-03-30,18.184965133666992
2010-03-31,18.050180435180664
2010-04-01,18.206525802612305
2010-04-05,18.621660232543945
2010-04-06,18.74566078186035
2010-04-07,18.767230987548828
2010-04-08,18.77800941467285
2010-04-09,18.86427116394043
2010-04-12,19.009838104248047
2010-04-13,18.788789749145508
2010-04-14,19.02601432800293
2010-04-15,19.052961349487305
2010-04-16,18.993661880493164
2010-04-19,18.885833740234375
2010-04-20,19.031402587890625
2010-04-21,19.241666793823242
2010-04-22,19.624452590942383
2010-04-23,20.007238388061523
2010-04-26,20.01262855529785
2010-04-27,19.694538116455078
2010-04-28,19.867061614990234
2010-04-29,19.98027801513672
2010-04-30,19.66219139099121
2010-05-03,20.314537048339844
2010-05-04,20.314537048339844
2010-05-05,19.98027801513672
2010-05-06,19.354883193969727
2010-05-07,18.939746856689453
2010-05-10,19.586708068847656
2010-05-11,19.85627555847168
2010-05-12,20.194583892822266
2010-05-13,20.134553909301758
2010-05-14,20.123640060424805
2010-05-17,20.04180335998535
2010-05-18,19.88356590270996
2010-05-19,19.741683959960938
2010-05-20,18.90138053894043
2010-05-21,18.89592933654785
2010-05-24,18.67767333984375
2010-05-25,18.51943588256836
2010-05-26,18.579452514648438
2010-05-27,18.97777557373047
2010-05-28,18.835905075073242
2010-06-01,18.421215057373047
2010-06-02,18.74860382080078
2010-06-03,19.059619903564453
2010-06-04,18.322994232177734
2010-06-07,18.175676345825195
2010-06-08,18.2138671875
2010-06-09,18.208410263061523
2010-06-10,18.628557205200195
2010-06-11,18.601266860961914
2010-06-14,18.814077377319336
2010-06-15,19.059619903564453
2010-06-16,19.310632705688477
2010-06-17,19.55616569519043
2010-06-18,19.616191864013672
2010-06-21,19.447038650512695
2010-06-22,19.08145523071289
2010-06-23,18.808624267578125
2010-06-24,18.786792755126953
2010-06-25,19.11964988708496
2010-06-28,19.310632705688477
2010-06-29,18.966861724853516
2010-06-30,18.683128356933594
2010-07-01,18.317541122436523
2010-07-02,18.404844284057617
2010-07-06,18.257516860961914
2010-07-07,18.82499885559082
2010-07-08,18.950496673583984
2010-07-09,19.16329574584961
2010-07-12,18.95595359802246
2010-07-13,19.337905883789062
2010-07-14,19.425214767456055
2010-07-15,19.430673599243164
2010-07-16,19.08145523071289
2010-07-19,19.16875457763672
2010-07-20,19.206954956054688
2010-07-21,18.912294387817383
2010-07-22,19.310632705688477
2010-07-23,19.708953857421875
2010-07-26,20.074533462524414
2010-07-27,20.494688034057617
2010-07-28,20.221864700317383
2010-07-29,19.92721176147461
2010-07-30,19.676219940185547
2010-08-02,20.02543067932129
2010-08-03,20.1782169342041
2010-08-04,20.336448669433594
2010-08-05,20.25460433959961
2010-08-06,20.22732162475586
2010-08-09,20.46194839477539
2010-08-10,20.380104064941406
2010-08-11,19.987232208251953
2010-08-12,19.9320011138916
2010-08-13,19.766321182250977
2010-08-16,19.849163055419922
2010-08-17,20.086641311645508
2010-08-18,19.96514320373535
2010-08-19,19.49570083618164
2010-08-20,19.501224517822266
2010-08-23,19.40180778503418
2010-08-24,19.33001136779785
2010-08-25,19.46256446838379
2010-08-26,19.45703887939453
2010-08-27,19.865726470947266
2010-08-30,19.484649658203125
2010-08-31,19.644813537597656
2010-09-01,20.21919822692871
2010-09-02,20.21367073059082
2010-09-03,20.318601608276367
2010-09-07,20.07559585571289
2010-09-08,19.876773834228516
2010-09-09,19.89887237548828
2010-09-10,19.771839141845703
2010-09-13,19.865726470947266
2010-09-14,19.793928146362305
2010-09-15,19.711090087890625
2010-09-16,19.60063934326172
2010-09-17,19.62824821472168
2010-09-20,19.904394149780273
2010-09-21,19.744232177734375
2010-09-22,19.832592010498047
2010-09-23,19.573020935058594
2010-09-24,19.95962142944336
2010-09-27,19.91543960571289
2010-09-28,20.036930084228516
