Date,MATX
2010-01-04,11.891731262207031
2010-01-05,12.311884880065918
2010-01-06,12.115583419799805
2010-01-07,12.008824348449707
2010-01-08,12.315329551696777
2010-01-11,12.322216987609863
2010-01-12,11.822853088378906
2010-01-13,11.933060646057129
2010-01-14,11.912394523620605
2010-01-15,11.702317237854004
2010-01-19,11.891731262207031
2010-01-20,11.874509811401367
2010-01-21,11.702317237854004
2010-01-22,11.233948707580566
2010-01-25,11.309714317321777
2010-01-26,11.209843635559082
2010-01-27,11.371706008911133
2010-01-28,11.092751502990723
2010-01-29,11.00320816040039
2010-02-01,11.161627769470215
2010-02-02,11.471578598022461
2010-02-03,11.364816665649414
2010-02-04,10.972212791442871
2010-02-05,11.061758995056152
2010-02-08,10.930890083312988
2010-02-09,11.050893783569336
2010-02-10,11.043932914733887
2010-02-11,11.165678024291992
2010-02-12,11.106548309326172
2010-02-16,11.158724784851074
2010-02-17,11.29090404510498
2010-02-18,11.196985244750977
2010-02-19,11.353513717651367
2010-02-22,11.510037422180176
2010-02-23,11.242203712463379
2010-02-24,11.221335411071777
2010-02-25,11.207419395446777
2010-02-26,11.19350814819336
2010-03-01,11.245686531066895
2010-03-02,11.238725662231445
2010-03-03,11.356992721557617
2010-03-04,11.433517456054688
2010-03-05,11.603958129882812
2010-03-08,11.819622993469238
2010-03-09,11.882229804992676
2010-03-10,11.979625701904297
2010-03-11,12.031804084777832
2010-03-12,12.077022552490234
2010-03-15,11.92745590209961
2010-03-16,11.955279350280762
2010-03-17,11.910057067871094
2010-03-18,11.976151466369629
2010-03-19,11.54830551147461
2010-03-22,11.530912399291992
2010-03-23,11.704832077026367
2010-03-24,11.384821891784668
2010-03-25,11.162203788757324
2010-03-26,11.130898475646973
2010-03-29,11.280468940734863
2010-03-30,11.471784591674805
2010-03-31,11.496125221252441
2010-04-01,11.391776084899902
2010-04-05,11.443955421447754
2010-04-06,11.447430610656738
2010-04-07,11.311774253845215
2010-04-08,11.440472602844238
2010-04-09,11.92745590209961
2010-04-12,12.031804084777832
2010-04-13,12.042240142822266
2010-04-14,12.226595878601074
2010-04-15,12.261378288269043
2010-04-16,12.070068359375
2010-04-19,11.937889099121094
2010-04-20,12.386595726013184
2010-04-21,12.508343696594238
2010-04-22,12.532691955566406
2010-04-23,12.664875984191895
2010-04-26,12.626609802246094
2010-04-27,12.34138011932373
2010-04-28,12.532691955566406
2010-04-29,12.852709770202637
2010-04-30,12.376165390014648
2010-05-03,12.835315704345703
2010-05-04,12.612696647644043
2010-05-05,12.00049877166748
2010-05-06,11.767446517944336
2010-05-07,11.294378280639648
