Date,ICE
2010-01-04,19.383262634277344
2010-01-05,18.65340805053711
2010-01-06,18.078115463256836
2010-01-07,18.570972442626953
2010-01-08,18.629362106323242
2010-01-11,18.632808685302734
2010-01-12,18.1571102142334
2010-01-13,18.481679916381836
2010-01-14,18.823423385620117
2010-01-15,18.380355834960938
2010-01-19,18.732406616210938
2010-01-20,18.48511505126953
2010-01-21,17.784454345703125
2010-01-22,17.20056915283203
2010-01-25,17.331079483032227
2010-01-26,16.36766815185547
2010-01-27,16.668197631835938
2010-01-28,16.37282371520996
2010-01-29,16.396860122680664
2010-02-01,16.817609786987305
2010-02-02,17.008222579956055
2010-02-03,17.14045524597168
2010-02-04,16.412321090698242
2010-02-05,16.910343170166016
2010-02-08,16.664772033691406
2010-02-09,16.979034423828125
2010-02-10,16.431215286254883
2010-02-11,17.085512161254883
2010-02-12,17.260669708251953
2010-02-16,17.887496948242188
2010-02-17,17.655651092529297
2010-02-18,17.57838249206543
2010-02-19,17.774147033691406
2010-02-22,17.64706802368164
2010-02-23,17.547460556030273
2010-02-24,17.894367218017578
2010-02-25,18.047203063964844
2010-02-26,18.425004959106445
2010-03-01,18.56239891052246
2010-03-02,18.57956886291504
2010-03-03,18.4335994720459
2010-03-04,18.7100772857666
2010-03-05,18.794231414794922
2010-03-08,18.92818832397461
2010-03-09,18.840599060058594
2010-03-10,18.890396118164062
2010-03-11,19.17547035217285
2010-03-12,18.929895401000977
2010-03-15,18.69978141784668
2010-03-16,18.66886329650879
2010-03-17,18.79594612121582
2010-03-18,18.811399459838867
2010-03-19,18.56582260131836
2010-03-22,18.86979103088379
2010-03-23,18.864639282226562
2010-03-24,18.974546432495117
2010-03-25,18.87322425842285
2010-03-26,19.07586669921875
2010-03-29,19.12395668029785
2010-03-30,18.952228546142578
2010-03-31,19.264766693115234
2010-04-01,19.35064125061035
2010-04-05,18.957368850708008
2010-04-06,18.387229919433594
2010-04-07,18.232667922973633
2010-04-08,18.380355834960938
2010-04-09,18.3820743560791
2010-04-12,18.64653968811035
2010-04-13,18.704933166503906
2010-04-14,19.007173538208008
2010-04-15,19.173755645751953
2010-04-16,18.46278953552246
2010-04-19,18.794231414794922
2010-04-20,19.305984497070312
2010-04-21,19.211536407470703
2010-04-22,20.06504249572754
2010-04-23,20.30890655517578
2010-04-26,20.655790328979492
2010-04-27,19.88987922668457
2010-04-28,19.998064041137695
2010-04-29,20.40506362915039
2010-04-30,20.028974533081055
2010-05-03,20.06847381591797
2010-05-04,19.479440689086914
2010-05-05,20.425674438476562
2010-05-06,20.099388122558594
2010-05-07,19.694093704223633
2010-05-10,21.18987274169922
2010-05-11,20.68154525756836
2010-05-12,21.050771713256836
2010-05-13,20.937429428100586
2010-05-14,20.296873092651367
2010-05-17,20.497806549072266
2010-05-18,19.695819854736328
2010-05-19,19.580759048461914
2010-05-20,18.807966232299805
2010-05-21,19.764507293701172
2010-05-24,19.608230590820312
2010-05-25,19.560152053833008
2010-05-26,19.422761917114258
2010-05-27,20.152618408203125
2010-05-28,19.943113327026367
2010-06-01,19.891592025756836
2010-06-02,20.848133087158203
2010-06-03,20.81722068786621
2010-06-04,20.247072219848633
2010-06-07,20.087366104125977
2010-06-08,19.93280601501465
2010-06-09,19.711275100708008
2010-06-10,20.43082046508789
2010-06-11,21.193307876586914
2010-06-14,21.10916519165039
2010-06-15,21.165834426879883
2010-06-16,21.79952049255371
2010-06-17,21.007837295532227
2010-06-18,20.980365753173828
2010-06-21,20.861865997314453
2010-06-22,20.506385803222656
2010-06-23,20.181812286376953
2010-06-24,19.666624069213867
2010-06-25,20.326068878173828
2010-06-28,20.264245986938477
