Date,RM
2012-03-28,13.828516006469727
2012-03-29,14.097517967224121
2012-03-30,14.122739791870117
2012-04-02,14.467398643493652
2012-04-03,14.164772033691406
2012-04-04,13.794889450073242
2012-04-05,13.492258071899414
2012-04-09,13.240067481994629
2012-04-10,12.987874031066895
2012-04-11,13.18122386932373
2012-04-12,13.366162300109863
2012-04-13,13.458633422851562
2012-04-16,13.265286445617676
2012-04-17,13.122377395629883
2012-04-18,13.004688262939453
2012-04-19,12.996283531188965
2012-04-20,13.256881713867188
2012-04-23,13.450227737426758
2012-04-24,13.282100677490234
2012-04-25,13.366162300109863
2012-04-26,13.298913955688477
2012-04-27,13.744451522827148
2012-04-30,14.215209007263184
2012-05-01,14.332898139953613
2012-05-02,14.332898139953613
2012-05-03,14.131145477294922
2012-05-04,13.929389953613281
2012-05-07,13.912579536437988
2012-05-08,13.80329704284668
2012-05-09,13.727640151977539
2012-05-10,13.744451522827148
2012-05-11,13.643571853637695
2012-05-14,13.366162300109863
2012-05-15,13.492258071899414
2012-05-16,13.156001091003418
2012-05-17,12.382615089416504
2012-05-18,12.15564250946045
2012-05-21,12.584370613098145
2012-05-22,12.164048194885254
2012-05-23,12.365802764892578
2012-05-24,12.407835960388184
2012-05-25,12.525522232055664
2012-05-29,12.290146827697754
2012-05-30,11.987515449523926
2012-05-31,12.399429321289062
2012-06-01,12.189268112182617
2012-06-04,11.937077522277832
2012-06-05,11.794167518615723
2012-06-06,11.701698303222656
2012-06-07,11.483131408691406
2012-06-08,11.491539001464844
2012-06-11,10.978748321533203
2012-06-12,11.415878295898438
2012-06-13,11.34862995147705
2012-06-14,11.525163650512695
2012-06-15,11.491539001464844
2012-06-18,11.558789253234863
2012-06-19,12.012736320495605
2012-06-20,12.861778259277344
2012-06-21,12.91221809387207
2012-06-22,12.90381145477295
2012-06-25,13.769668579101562
2012-06-26,13.70241928100586
2012-06-27,13.349349975585938
2012-06-28,13.66038990020752
2012-06-29,13.828516006469727
2012-07-02,13.450227737426758
2012-07-03,13.408195495605469
2012-07-05,13.441821098327637
2012-07-06,13.240067481994629
2012-07-09,13.525885581970215
2012-07-10,13.525885581970215
2012-07-11,13.433414459228516
2012-07-12,13.063532829284668
