Date,BRSP
2018-02-01,10.143610954284668
2018-02-02,9.696100234985352
2018-02-05,9.17400074005127
2018-02-06,9.397757530212402
2018-02-07,9.447480201721191
2018-02-08,9.35300350189209
2018-02-09,9.397757530212402
2018-02-12,9.32316780090332
2018-02-13,9.447480201721191
2018-02-14,9.51709270477295
2018-02-15,9.447480201721191
2018-02-16,9.546924591064453
2018-02-20,9.671236038208008
2018-02-21,9.87013053894043
2018-02-22,9.98449420928955
2018-02-23,10.22316837310791
2018-02-26,10.143610954284668
2018-02-27,10.248030662536621
2018-02-28,10.382282257080078
2018-03-01,10.193334579467773
2018-03-02,10.397198677062988
2018-03-05,10.163500785827637
2018-03-06,10.213224411010742
2018-03-07,10.43105697631836
2018-03-08,10.47612476348877
2018-03-09,10.541226387023926
2018-03-12,10.270812034606934
2018-03-13,10.280829429626465
2018-03-14,10.065496444702148
2018-03-15,9.70994758605957
2018-03-16,9.419502258300781
2018-03-19,9.524663925170898
2018-03-20,9.38444995880127
2018-03-21,9.469578742980957
2018-03-22,9.399474143981934
2018-03-23,9.264265060424805
2018-03-26,9.514647483825684
2018-03-27,9.489609718322754
2018-03-28,9.67884635925293
2018-03-29,9.562783241271973
2018-04-02,9.54764175415039
2018-04-03,9.764633178710938
2018-04-04,9.830236434936523
2018-04-05,9.966486930847168
2018-04-06,9.941256523132324
2018-04-09,9.941256523132324
2018-04-10,9.941256523132324
2018-04-11,9.784818649291992
2018-04-12,9.724264144897461
2018-04-13,9.613243103027344
2018-04-16,9.779770851135254
2018-04-17,9.799960136413574
2018-04-18,9.870607376098633
2018-04-19,9.759587287902832
2018-04-20,9.562783241271973
2018-04-23,9.688939094543457
2018-04-24,9.603153228759766
2018-04-25,9.633427619934082
2018-04-26,9.613243103027344
2018-04-27,9.849696159362793
2018-04-30,9.681892395019531
2018-05-01,9.951398849487305
2018-05-02,9.824275970458984
2018-05-03,9.737828254699707
2018-05-04,9.692062377929688
2018-05-07,9.722574234008789
2018-05-08,9.554766654968262
2018-05-09,9.854780197143555
2018-05-10,9.951398849487305
2018-05-11,9.793764114379883
2018-05-14,9.864954948425293
2018-05-15,9.82935905456543
2018-05-16,9.844613075256348
2018-05-17,9.712401390075684
2018-05-18,9.834443092346191
2018-05-21,9.788678169250488
2018-05-22,9.732743263244629
2018-05-23,9.681892395019531
2018-05-24,9.692062377929688
2018-05-25,9.717490196228027
2018-05-29,9.727655410766602
2018-05-30,9.78145694732666
2018-05-31,9.740468978881836
2018-06-01,9.776333808898926
2018-06-04,9.807079315185547
2018-06-05,9.740468978881836
2018-06-06,9.673856735229492
2018-06-07,9.673856735229492
2018-06-08,9.622618675231934
2018-06-11,9.858316421508789
2018-06-12,9.725095748901367
2018-06-13,9.730218887329102
2018-06-14,9.837821006774902
2018-06-15,9.899310111999512
2018-06-18,10.073519706726074
2018-06-19,10.237481117248535
2018-06-20,10.252852439880371
2018-06-21,10.119633674621582
2018-06-22,10.129881858825684
2018-06-25,10.498799324035645
2018-06-26,10.529541015625
2018-06-27,10.483426094055176
2018-06-28,10.429243087768555
2018-06-29,10.69758415222168
2018-07-02,10.795632362365723
2018-07-03,10.78531265258789
2018-07-05,10.945286750793457
2018-07-06,11.069141387939453
2018-07-09,11.027854919433594
2018-07-10,10.914322853088379
2018-07-11,10.867879867553711
2018-07-12,11.058815956115723
2018-07-13,11.094940185546875
2018-07-16,10.98141098022461
2018-07-17,10.960766792297363
2018-07-18,10.888520240783691
2018-07-19,10.78531265258789
2018-07-20,10.702747344970703
2018-07-23,10.625338554382324
2018-07-24,10.651141166687012
2018-07-25,10.873041152954102
2018-07-26,10.909160614013672
2018-07-27,10.811116218566895
2018-07-30,10.881266593933105
2018-07-31,11.047551155090332
2018-08-01,11.005979537963867
2018-08-02,10.969603538513184
2018-08-03,10.91244888305664
2018-08-06,10.954020500183105
2018-08-07,10.569482803344727
2018-08-08,10.543501853942871
2018-08-09,10.590266227722168
2018-08-10,10.418787002563477
2018-08-13,10.387609481811523
2018-08-14,10.366823196411133
2018-08-15,10.29926872253418
2018-08-16,10.3304443359375
2018-08-17,10.4395751953125
2018-08-20,10.42398452758789
2018-08-21,10.4395751953125
2018-08-22,10.429182052612305
2018-08-23,10.434375762939453
2018-08-24,10.517518043518066
2018-08-27,10.434375762939453
2018-08-28,10.413591384887695
2018-08-29,10.486339569091797
2018-08-30,10.509894371032715
2018-08-31,10.509894371032715
2018-09-04,10.483722686767578
2018-09-05,10.693085670471191
2018-09-06,10.776825904846191
2018-09-07,10.640745162963867
2018-09-10,10.991424560546875
2018-09-11,11.111804008483887
2018-09-12,11.11703872680664
2018-09-13,11.242650985717773
2018-09-14,11.3420991897583
2018-09-17,11.682313919067383
2018-09-18,11.781759262084961
2018-09-19,11.912607192993164
2018-09-20,11.97541332244873
2018-09-21,12.038224220275879
2018-09-24,11.944009780883789
2018-09-25,11.745119094848633
2018-09-26,11.478187561035156
2018-09-27,11.491353988647461
2018-09-28,11.586196899414062
2018-10-01,11.443933486938477
2018-10-02,11.22791576385498
2018-10-03,11.296408653259277
2018-10-04,11.064580917358398
2018-10-05,10.980278015136719
2018-10-08,11.117267608642578
2018-10-09,11.1436128616333
2018-10-10,10.959202766418457
2018-10-11,10.822216033935547
2018-10-12,10.801139831542969
2018-10-15,10.864364624023438
2018-10-16,11.085655212402344
2018-10-17,11.027697563171387
2018-10-18,10.94339656829834
2018-10-19,11.027697563171387
2018-10-22,11.022430419921875
2018-10-23,11.122536659240723
2018-10-24,11.112004280090332
2018-10-25,11.343832015991211
