Date,CCS
2014-06-18,20.00604820251465
2014-06-19,19.95897674560547
2014-06-20,19.770679473876953
2014-06-23,19.52590560913086
2014-06-24,20.24141502380371
2014-06-25,20.542680740356445
2014-06-26,20.655656814575195
2014-06-27,20.712141036987305
2014-06-30,20.853361129760742
2014-07-01,21.18287467956543
2014-07-02,21.324092864990234
2014-07-03,21.64419174194336
2014-07-07,21.15462875366211
2014-07-08,20.76862907409668
2014-07-09,20.674488067626953
2014-07-10,20.297903060913086
2014-07-11,20.5709285736084
2014-07-14,20.665075302124023
2014-07-15,20.589752197265625
2014-07-16,20.335561752319336
2014-07-17,19.36585807800293
2014-07-18,19.864830017089844
2014-07-21,19.67653465270996
2014-07-22,19.893070220947266
2014-07-23,20.034290313720703
2014-07-24,20.203754425048828
2014-07-25,19.99662971496582
2014-07-28,19.139907836914062
2014-07-29,18.68800163269043
2014-07-30,18.349077224731445
2014-07-31,17.95366668701172
2014-08-01,18.21727180480957
2014-08-04,18.123125076293945
2014-08-05,18.085466384887695
2014-08-06,18.21727180480957
2014-08-07,17.897174835205078
2014-08-08,18.612688064575195
2014-08-11,18.622102737426758
2014-08-12,18.452634811401367
2014-08-13,18.650344848632812
2014-08-14,18.640928268432617
2014-08-15,18.44322395324707
2014-08-18,19.79892349243164
2014-08-19,20.213167190551758
2014-08-20,20.062536239624023
2014-08-21,19.845998764038086
2014-08-22,19.290536880493164
2014-08-25,19.412927627563477
2014-08-26,18.857467651367188
2014-08-27,18.697416305541992
2014-08-28,18.829221725463867
2014-08-29,19.00809669494629
2014-09-02,18.68800163269043
2014-09-03,18.56561279296875
2014-09-04,18.462051391601562
2014-09-05,18.462051391601562
2014-09-08,18.527950286865234
2014-09-09,18.47146224975586
2014-09-10,18.44322395324707
2014-09-11,18.264341354370117
2014-09-12,18.057226181030273
2014-09-15,17.80302619934082
2014-09-16,17.88776397705078
2014-09-17,17.88776397705078
2014-09-18,18.0760555267334
2014-09-19,17.624149322509766
2014-09-22,17.209909439086914
2014-09-23,16.889812469482422
2014-09-24,16.739177703857422
2014-09-25,16.42849349975586
2014-09-26,17.144006729125977
2014-09-29,16.720348358154297
2014-09-30,16.334348678588867
2014-10-01,15.938936233520508
2014-10-02,16.29669189453125
2014-10-03,16.117815017700195
2014-10-06,15.712983131408691
2014-10-07,15.279915809631348
2014-10-08,15.618840217590332
2014-10-09,15.590599060058594
2014-10-10,15.34581470489502
2014-10-13,14.818593978881836
2014-10-14,15.129280090332031
2014-10-15,15.025720596313477
2014-10-16,14.733864784240723
2014-10-17,15.449374198913574
2014-10-20,16.004838943481445
2014-10-21,16.626201629638672
2014-10-22,16.550888061523438
2014-10-23,17.00278663635254
2014-10-24,17.153417587280273
2014-10-27,17.153417587280273
2014-10-28,16.99337387084961
2014-10-29,16.96512794494629
2014-10-30,17.040443420410156
2014-10-31,17.39820098876953
2014-11-03,17.304052352905273
2014-11-04,17.379371643066406
2014-11-05,17.22873878479004
2014-11-06,17.22873878479004
2014-11-07,17.304052352905273
2014-11-10,17.64297866821289
2014-11-11,17.633567810058594
2014-11-12,17.388784408569336
2014-11-13,17.313465118408203
2014-11-14,15.94835090637207
2014-11-17,15.703570365905762
