Date,BMRN
2010-01-04,18.950000762939453
2010-01-05,19.149999618530273
2010-01-06,19.18000030517578
2010-01-07,20.260000228881836
2010-01-08,20.25
2010-01-11,20.110000610351562
2010-01-12,19.719999313354492
2010-01-13,20.290000915527344
2010-01-14,20.420000076293945
2010-01-15,20.809999465942383
2010-01-19,20.989999771118164
2010-01-20,21.079999923706055
2010-01-21,20.579999923706055
2010-01-22,19.940000534057617
2010-01-25,19.829999923706055
2010-01-26,20.170000076293945
2010-01-27,20.280000686645508
2010-01-28,19.489999771118164
2010-01-29,19.43000030517578
2010-02-01,20.239999771118164
2010-02-02,20.709999084472656
2010-02-03,21.139999389648438
2010-02-04,20.34000015258789
2010-02-05,19.489999771118164
2010-02-08,19.170000076293945
2010-02-09,19.170000076293945
2010-02-10,19.280000686645508
2010-02-11,19.700000762939453
2010-02-12,19.739999771118164
2010-02-16,20.079999923706055
2010-02-17,20.709999084472656
2010-02-18,20.56999969482422
2010-02-19,20.450000762939453
2010-02-22,20.729999542236328
2010-02-23,20.219999313354492
2010-02-24,20.049999237060547
2010-02-25,20.110000610351562
2010-02-26,20.0
2010-03-01,20.670000076293945
2010-03-02,21.219999313354492
2010-03-03,21.450000762939453
2010-03-04,21.670000076293945
2010-03-05,22.040000915527344
2010-03-08,22.360000610351562
2010-03-09,22.1200008392334
2010-03-10,23.0
2010-03-11,23.809999465942383
2010-03-12,23.020000457763672
2010-03-15,22.6299991607666
2010-03-16,22.920000076293945
2010-03-17,22.68000030517578
2010-03-18,22.670000076293945
2010-03-19,22.600000381469727
2010-03-22,22.780000686645508
2010-03-23,22.950000762939453
2010-03-24,23.0
2010-03-25,23.65999984741211
2010-03-26,23.09000015258789
2010-03-29,23.280000686645508
2010-03-30,23.06999969482422
2010-03-31,23.3700008392334
2010-04-01,24.489999771118164
2010-04-05,24.709999084472656
2010-04-06,24.690000534057617
2010-04-07,24.559999465942383
2010-04-08,24.190000534057617
2010-04-09,24.0
2010-04-12,23.799999237060547
2010-04-13,23.420000076293945
2010-04-14,23.889999389648438
2010-04-15,23.940000534057617
2010-04-16,23.280000686645508
2010-04-19,23.260000228881836
2010-04-20,23.700000762939453
2010-04-21,22.8799991607666
2010-04-22,23.239999771118164
2010-04-23,23.459999084472656
2010-04-26,23.280000686645508
2010-04-27,23.290000915527344
2010-04-28,22.799999237060547
2010-04-29,23.360000610351562
2010-04-30,23.3700008392334
2010-05-03,22.760000228881836
2010-05-04,21.5
2010-05-05,21.010000228881836
2010-05-06,20.649999618530273
2010-05-07,19.799999237060547
2010-05-10,20.780000686645508
2010-05-11,21.09000015258789
2010-05-12,21.510000228881836
2010-05-13,21.329999923706055
2010-05-14,20.709999084472656
2010-05-17,20.56999969482422
2010-05-18,20.1299991607666
2010-05-19,19.809999465942383
2010-05-20,19.06999969482422
2010-05-21,18.65999984741211
2010-05-24,18.549999237060547
2010-05-25,18.329999923706055
2010-05-26,19.290000915527344
2010-05-27,19.649999618530273
2010-05-28,19.520000457763672
2010-06-01,19.18000030517578
2010-06-02,20.010000228881836
2010-06-03,20.100000381469727
2010-06-04,19.270000457763672
2010-06-07,18.959999084472656
2010-06-08,18.770000457763672
2010-06-09,18.850000381469727
2010-06-10,19.530000686645508
2010-06-11,19.399999618530273
2010-06-14,19.889999389648438
2010-06-15,20.600000381469727
2010-06-16,20.25
2010-06-17,20.239999771118164
2010-06-18,20.149999618530273
2010-06-21,20.18000030517578
2010-06-22,20.0
2010-06-23,19.739999771118164
2010-06-24,19.350000381469727
2010-06-25,19.670000076293945
2010-06-28,19.65999984741211
2010-06-29,18.809999465942383
2010-06-30,18.959999084472656
2010-07-01,18.299999237060547
2010-07-02,18.3700008392334
2010-07-06,18.239999771118164
2010-07-07,18.610000610351562
2010-07-08,19.059999465942383
2010-07-09,19.049999237060547
2010-07-12,18.850000381469727
2010-07-13,19.309999465942383
2010-07-14,19.25
2010-07-15,19.68000030517578
2010-07-16,19.18000030517578
2010-07-19,19.149999618530273
2010-07-20,19.510000228881836
2010-07-21,19.360000610351562
2010-07-22,19.3799991607666
2010-07-23,20.0
2010-07-26,21.0
2010-07-27,21.3799991607666
2010-07-28,20.850000381469727
2010-07-29,21.260000228881836
2010-07-30,21.850000381469727
2010-08-02,21.979999542236328
2010-08-03,21.489999771118164
2010-08-04,21.43000030517578
2010-08-05,21.360000610351562
2010-08-06,21.540000915527344
2010-08-09,21.610000610351562
2010-08-10,20.979999542236328
2010-08-11,20.5
2010-08-12,20.790000915527344
2010-08-13,20.350000381469727
2010-08-16,20.350000381469727
2010-08-17,20.520000457763672
2010-08-18,20.549999237060547
2010-08-19,20.6200008392334
2010-08-20,20.6200008392334
2010-08-23,20.299999237060547
2010-08-24,20.0
2010-08-25,20.389999389648438
2010-08-26,20.219999313354492
2010-08-27,20.770000457763672
2010-08-30,20.489999771118164
2010-08-31,20.290000915527344
2010-09-01,20.93000030517578
2010-09-02,21.290000915527344
2010-09-03,21.5
2010-09-07,21.579999923706055
2010-09-08,22.479999542236328
2010-09-09,22.6200008392334
2010-09-10,22.700000762939453
2010-09-13,22.700000762939453
2010-09-14,22.309999465942383
2010-09-15,22.579999923706055
2010-09-16,22.690000534057617
2010-09-17,22.989999771118164
2010-09-20,23.049999237060547
2010-09-21,23.09000015258789
2010-09-22,22.700000762939453
2010-09-23,22.350000381469727
2010-09-24,22.399999618530273
2010-09-27,22.309999465942383
2010-09-28,22.280000686645508
2010-09-29,22.360000610351562
2010-09-30,22.350000381469727
2010-10-01,22.399999618530273
