Date,ECPG
2010-01-04,17.610000610351562
2010-01-05,17.399999618530273
2010-01-06,16.84000015258789
2010-01-07,16.889999389648438
2010-01-08,17.200000762939453
2010-01-11,17.110000610351562
2010-01-12,16.229999542236328
2010-01-13,16.540000915527344
2010-01-14,17.1299991607666
2010-01-15,16.309999465942383
2010-01-19,16.350000381469727
2010-01-20,15.930000305175781
2010-01-21,15.800000190734863
2010-01-22,15.630000114440918
2010-01-25,15.8100004196167
2010-01-26,15.59000015258789
2010-01-27,15.619999885559082
2010-01-28,15.010000228881836
2010-01-29,15.770000457763672
2010-02-01,15.890000343322754
2010-02-02,16.15999984741211
2010-02-03,16.299999237060547
2010-02-04,15.6899995803833
2010-02-05,15.420000076293945
2010-02-08,14.65999984741211
2010-02-09,17.1299991607666
2010-02-10,16.93000030517578
2010-02-11,17.81999969482422
2010-02-12,18.020000457763672
2010-02-16,18.079999923706055
2010-02-17,18.110000610351562
2010-02-18,18.110000610351562
2010-02-19,17.989999771118164
2010-02-22,17.950000762939453
2010-02-23,18.450000762939453
2010-02-24,18.479999542236328
2010-02-25,17.899999618530273
2010-02-26,18.040000915527344
2010-03-01,17.649999618530273
2010-03-02,18.059999465942383
2010-03-03,17.81999969482422
2010-03-04,17.579999923706055
2010-03-05,17.809999465942383
2010-03-08,17.760000228881836
2010-03-09,18.010000228881836
2010-03-10,17.459999084472656
2010-03-11,17.700000762939453
2010-03-12,17.399999618530273
2010-03-15,17.040000915527344
2010-03-16,16.809999465942383
2010-03-17,16.8700008392334
2010-03-18,17.200000762939453
2010-03-19,16.760000228881836
2010-03-22,16.719999313354492
2010-03-23,16.969999313354492
2010-03-24,16.940000534057617
2010-03-25,16.969999313354492
2010-03-26,16.770000457763672
2010-03-29,16.889999389648438
2010-03-30,16.6200008392334
2010-03-31,16.450000762939453
2010-04-01,17.1200008392334
2010-04-05,17.600000381469727
2010-04-06,17.219999313354492
2010-04-07,17.100000381469727
2010-04-08,17.0
2010-04-09,16.979999542236328
2010-04-12,16.989999771118164
2010-04-13,16.719999313354492
2010-04-14,17.06999969482422
2010-04-15,17.25
2010-04-16,17.25
2010-04-19,17.309999465942383
2010-04-20,18.1200008392334
2010-04-21,19.920000076293945
2010-04-22,20.6200008392334
2010-04-23,22.030000686645508
2010-04-26,22.700000762939453
2010-04-27,21.540000915527344
2010-04-28,22.200000762939453
2010-04-29,23.899999618530273
2010-04-30,23.010000228881836
2010-05-03,22.329999923706055
2010-05-04,21.829999923706055
2010-05-05,21.190000534057617
2010-05-06,21.0
