Date,RUSHB
2010-01-04,4.278482437133789
2010-01-05,4.346521854400635
2010-01-06,4.1504082679748535
2010-01-07,4.130397319793701
2010-01-08,4.102380752563477
2010-01-11,4.286487579345703
2010-01-12,4.134398937225342
2010-01-13,4.126394271850586
2010-01-14,4.20643949508667
2010-01-15,3.9622995853424072
2010-01-19,4.230454921722412
2010-01-20,4.110384464263916
2010-01-21,3.9502928256988525
2010-01-22,4.066359996795654
2010-01-25,4.054352283477783
2010-01-26,3.9462897777557373
2010-01-27,4.126394271850586
2010-01-28,3.9863133430480957
2010-01-29,3.9783084392547607
2010-02-01,4.038343906402588
2010-02-02,4.078368186950684
2010-02-03,4.022335529327393
2010-02-04,4.022335529327393
2010-02-05,4.038343906402588
2010-02-08,3.8822531700134277
2010-02-09,3.8862547874450684
2010-02-10,3.798203706741333
2010-02-11,3.854235887527466
2010-02-12,3.8742477893829346
2010-02-16,3.782193899154663
2010-02-17,4.022335529327393
2010-02-18,4.102380752563477
2010-02-19,4.222448825836182
2010-02-22,4.286487579345703
2010-02-23,4.086371898651123
2010-02-24,3.858238458633423
2010-02-25,3.8742477893829346
2010-02-26,3.8502345085144043
2010-03-01,3.798203706741333
2010-03-02,3.8662431240081787
2010-03-03,3.834224224090576
2010-03-04,3.854235887527466
2010-03-05,4.026335716247559
2010-03-08,4.138400554656982
2010-03-09,4.554643630981445
2010-03-10,4.386545181274414
2010-03-11,4.390547275543213
2010-03-12,4.338517189025879
2010-03-15,4.4425787925720215
2010-03-16,4.4185638427734375
2010-03-17,4.498610496520996
2010-03-18,4.506615161895752
2010-03-19,4.570652961730957
2010-03-22,4.58266019821167
2010-03-23,4.542636871337891
2010-03-24,4.502612590789795
2010-03-25,4.562648296356201
2010-03-26,4.562648296356201
2010-03-29,4.498610496520996
2010-03-30,4.610674858093262
2010-03-31,4.922857284545898
2010-04-01,4.906847953796387
2010-04-05,4.918853282928467
2010-04-06,5.2070207595825195
2010-04-07,5.4431586265563965
2010-04-08,5.563229084014893
2010-04-09,5.547218322753906
2010-04-12,5.643275260925293
2010-04-13,5.619261264801025
2010-04-14,5.6953043937683105
2010-04-15,5.847393989562988
