Date,LAUR
2017-02-01,6.164464473724365
2017-02-02,6.048153400421143
2017-02-03,6.173768997192383
2017-02-06,6.224946022033691
2017-02-07,6.238902568817139
2017-02-08,6.108634948730469
2017-02-09,6.108634948730469
2017-02-10,6.169116497039795
2017-02-13,6.192378997802734
2017-02-14,6.145854473114014
2017-02-15,6.0946784019470215
2017-02-16,6.090025424957275
2017-02-17,6.099329948425293
2017-02-21,6.229598522186279
2017-02-22,6.103982448577881
2017-02-23,6.13189697265625
2017-02-24,6.159811496734619
2017-02-27,6.122592449188232
2017-02-28,6.057458877563477
2017-03-01,6.038848400115967
2017-03-02,5.8480987548828125
2017-03-03,5.815532207489014
2017-03-06,5.987671852111816
2017-03-07,5.955104827880859
2017-03-08,5.973714828491211
2017-03-09,5.829489231109619
2017-03-10,5.936495304107666
2017-03-13,6.034196376800537
2017-03-14,5.955104827880859
2017-03-15,6.076067924499512
2017-03-16,6.020238876342773
2017-03-17,6.248208045959473
2017-03-20,6.401737689971924
2017-03-21,6.452914714813232
2017-03-22,6.387779712677002
2017-03-23,6.350561141967773
2017-03-24,6.20633602142334
2017-03-27,6.308689594268799
2017-03-28,6.466871738433838
2017-03-29,6.5785298347473145
2017-03-30,6.53200626373291
2017-03-31,6.639012336730957
2017-04-03,6.597140312194824
2017-04-04,6.713450908660889
2017-04-05,6.5785298347473145
2017-04-06,6.639012336730957
2017-04-07,6.727407932281494
2017-04-10,6.918156623840332
2017-04-11,6.857675552368164
2017-04-12,6.853023529052734
2017-04-13,6.792541980743408
2017-04-17,6.899547576904297
2017-04-18,6.853023529052734
2017-04-19,6.750669479370117
2017-04-20,6.732060432434082
2017-04-21,6.634359836578369
2017-04-24,6.634359836578369
2017-04-25,6.5785298347473145
2017-04-26,6.569224834442139
2017-04-27,6.527353763580322
2017-04-28,6.425000190734863
2017-05-01,6.327298641204834
2017-05-02,6.113287448883057
2017-05-03,6.178421497344971
2017-05-04,6.187726974487305
2017-05-05,6.308689594268799
2017-05-08,6.313342094421387
2017-05-09,6.299384117126465
2017-05-10,6.3831281661987305
2017-05-11,7.0437726974487305
2017-05-12,7.155430793762207
2017-05-15,7.062382698059082
2017-05-16,7.039119720458984
2017-05-17,7.290350914001465
2017-05-18,7.057730197906494
2017-05-19,7.248479843139648
2017-05-22,7.392704486846924
2017-05-23,7.6253252029418945
2017-05-24,7.602063179016113
2017-05-25,7.6253252029418945
2017-05-26,7.643935203552246
2017-05-30,7.695112228393555
2017-05-31,7.778854846954346
2017-06-01,8.11383056640625
2017-06-02,8.276666641235352
2017-06-05,8.211531639099121
2017-06-06,8.174311637878418
2017-06-07,7.904470920562744
2017-06-08,7.96495246887207
2017-06-09,8.192923545837402
2017-06-12,8.1557035446167
2017-06-13,8.248750686645508
2017-06-14,8.323189735412598
2017-06-15,8.253402709960938
2017-06-16,8.453457832336426
2017-06-19,8.62094497680664
2017-06-20,8.490676879882812
2017-06-21,8.606987953186035
2017-06-22,8.44880485534668
2017-06-23,8.569768905639648
2017-06-26,8.555810928344727
2017-06-27,8.59768295288086
2017-06-28,8.59768295288086
2017-06-29,8.36506175994873
2017-06-30,8.1557035446167
2017-07-03,8.18826961517334
2017-07-05,8.044044494628906
2017-07-06,8.006824493408203
2017-07-07,8.062654495239258
2017-07-10,8.002172470092773
2017-07-11,8.020782470703125
2017-07-12,8.1557035446167
2017-07-13,8.295275688171387
2017-07-14,8.178963661193848
2017-07-17,8.174311637878418
2017-07-18,8.151050567626953
2017-07-19,8.03939151763916
2017-07-20,8.048696517944336
2017-07-21,8.067306518554688
2017-07-24,7.9975199699401855
2017-07-25,8.067306518554688
2017-07-26,8.020782470703125
2017-07-27,7.7323317527771
2017-07-28,7.78816032409668
2017-07-31,7.918428897857666
2017-08-01,8.090567588806152
2017-08-02,7.913776397705078
2017-08-03,7.937038421630859
2017-08-04,8.025435447692871
2017-08-07,7.904470920562744
2017-08-08,7.839337348937988
2017-08-09,7.2624359130859375
2017-08-10,7.215911865234375
2017-08-11,7.094948768615723
2017-08-14,7.025163173675537
2017-08-15,6.92280912399292
2017-08-16,6.78788948059082
2017-08-17,6.573877811431885
2017-08-18,6.587835311889648
2017-08-21,6.615750312805176
2017-08-22,6.671578407287598
2017-08-23,6.545962810516357
2017-08-24,6.606444835662842
2017-08-25,6.564572334289551
2017-08-28,6.606444835662842
2017-08-29,6.564572334289551
2017-08-30,6.6855363845825195
2017-08-31,6.811151027679443
2017-09-01,6.936766147613525
2017-09-05,6.764626979827881
2017-09-06,6.825109004974365
2017-09-07,6.783236980438232
2017-09-08,6.8437180519104
2017-09-11,6.839066028594971
2017-09-12,6.99259614944458
2017-09-13,6.894894599914551
2017-09-14,6.820456027984619
2017-09-15,6.6855363845825195
2017-09-18,6.86232852935791
2017-09-19,6.699493408203125
2017-09-20,6.8158040046691895
2017-09-21,6.6948418617248535
2017-09-22,6.704146385192871
2017-09-25,6.559920787811279
2017-09-26,6.573877811431885
2017-09-27,6.764626979827881
2017-09-28,6.769279479980469
2017-09-29,6.769279479980469
2017-10-02,6.825109004974365
2017-10-03,6.7460174560546875
2017-10-04,6.652968883514404
2017-10-05,6.6855363845825195
2017-10-06,6.704146385192871
2017-10-09,6.606444835662842
2017-10-10,6.518049240112305
2017-10-11,6.452914714813232
2017-10-12,6.401737689971924
2017-10-13,6.490133762359619
2017-10-16,6.620401859283447
2017-10-17,6.513396739959717
2017-10-18,6.536658763885498
2017-10-19,6.504091262817383
2017-10-20,6.466871738433838
2017-10-23,6.364518642425537
2017-10-24,6.234250068664551
