Date,XPRO
2013-08-09,140.2584991455078
2013-08-12,141.00340270996094
2013-08-13,138.8218536376953
2013-08-14,138.8750457763672
2013-08-15,140.3648681640625
2013-08-16,142.33360290527344
2013-08-19,141.00340270996094
2013-08-20,148.2930145263672
2013-08-21,147.76092529296875
2013-08-22,148.82510375976562
2013-08-23,148.0269775390625
2013-08-26,147.86737060546875
2013-08-27,145.9518280029297
2013-08-28,147.12240600585938
2013-08-29,146.80316162109375
2013-08-30,147.441650390625
2013-09-03,146.9628143310547
2013-09-04,146.32427978515625
2013-09-05,149.67642211914062
2013-09-06,149.5167999267578
2013-09-09,152.33689880371094
2013-09-10,151.5387420654297
2013-09-11,151.00662231445312
2013-09-12,150.26173400878906
2013-09-13,149.88926696777344
2013-09-16,150.2085418701172
2013-09-17,149.5167999267578
2013-09-18,153.188232421875
2013-09-19,158.08343505859375
2013-09-20,157.23211669921875
2013-09-23,157.55136108398438
2013-09-24,155.63583374023438
2013-09-25,157.44491577148438
2013-09-26,160.42462158203125
2013-09-27,159.4668731689453
2013-09-30,159.25404357910156
2013-10-01,162.1272735595703
2013-10-02,167.66102600097656
2013-10-03,166.54364013671875
2013-10-04,165.95834350585938
2013-10-07,165.31979370117188
2013-10-08,163.40428161621094
2013-10-09,160.5310516357422
2013-10-10,163.98959350585938
2013-10-11,167.5013885498047
2013-10-14,168.77838134765625
2013-10-15,166.224365234375
2013-10-16,167.60781860351562
2013-10-17,166.8628692626953
2013-10-18,171.4388427734375
2013-10-21,170.95997619628906
2013-10-22,167.28854370117188
2013-10-23,159.09442138671875
2013-10-24,158.5623016357422
2013-10-25,157.07244873046875
2013-10-28,162.65940856933594
2013-10-29,163.0850830078125
2013-10-30,162.39334106445312
2013-10-31,162.7657928466797
2013-11-01,165.74549865722656
2013-11-04,162.8190155029297
2013-11-05,161.8612823486328
2013-11-06,164.84097290039062
2013-11-07,160.9567413330078
2013-11-08,166.49041748046875
2013-11-11,161.38238525390625
2013-11-12,157.07244873046875
2013-11-13,135.52285766601562
2013-11-14,134.29910278320312
2013-11-15,136.26783752441406
2013-11-18,127.80760192871094
2013-11-19,126.21134185791016
2013-11-20,128.0204620361328
2013-11-21,129.03140258789062
2013-11-22,128.4461212158203
2013-11-25,125.89208221435547
2013-11-26,126.13227844238281
2013-11-27,127.84036254882812
2013-11-29,127.73365783691406
2013-12-02,134.72618103027344
2013-12-03,133.76536560058594
2013-12-04,138.30250549316406
2013-12-05,141.8253936767578
2013-12-06,144.70785522460938
2013-12-09,145.02810668945312
2013-12-10,143.64028930664062
2013-12-11,142.25245666503906
2013-12-12,141.02474975585938
2013-12-13,141.18487548828125
2013-12-16,142.51934814453125
2013-12-17,141.87876892089844
2013-12-18,141.4517822265625
2013-12-19,142.41259765625
2013-12-20,145.6686248779297
2013-12-23,141.5585479736328
2013-12-24,143.74705505371094
2013-12-26,141.8253936767578
2013-12-27,144.38755798339844
2013-12-30,143.6936798095703
2013-12-31,144.12066650390625
2014-01-02,139.636962890625
2014-01-03,140.06394958496094
2014-01-06,139.5301513671875
2014-01-07,133.87210083007812
2014-01-08,129.6552276611328
2014-01-09,131.5768280029297
2014-01-10,132.00387573242188
2014-01-13,130.50927734375
2014-01-14,133.23153686523438
2014-01-15,131.47012329101562
2014-01-16,130.7761688232422
2014-01-17,131.0430908203125
2014-01-21,128.907958984375
2014-01-22,129.12144470214844
2014-01-23,125.54512786865234
2014-01-24,123.19647979736328
2014-01-27,121.06138610839844
2014-01-28,123.14309692382812
2014-01-29,122.876220703125
2014-01-30,124.4241943359375
2014-01-31,125.11809539794922
2014-02-03,121.9154281616211
2014-02-04,123.99715423583984
2014-02-05,120.84785461425781
2014-02-06,124.53092193603516
2014-02-07,124.90458679199219
2014-02-10,122.23568725585938
2014-02-11,121.7019271850586
2014-02-12,117.2181625366211
2014-02-13,116.31073760986328
2014-02-14,117.43167114257812
2014-02-18,118.178955078125
2014-02-19,116.2573471069336
2014-02-20,112.46752166748047
2014-02-21,111.29320526123047
2014-02-24,120.1005630493164
2014-02-25,121.96878814697266
2014-02-26,125.58367156982422
2014-02-27,126.6547622680664
2014-02-28,126.6011962890625
2014-03-03,123.81640625
2014-03-04,128.85047912597656
2014-03-05,128.52915954589844
2014-03-06,130.40353393554688
2014-03-07,130.02862548828125
2014-03-10,127.5651626586914
2014-03-11,126.70831298828125
2014-03-12,125.79791259765625
2014-03-13,124.08417510986328
2014-03-14,124.67329406738281
2014-03-17,127.99360656738281
2014-03-18,128.58270263671875
2014-03-19,129.60018920898438
2014-03-20,129.60018920898438
2014-03-21,131.20681762695312
2014-03-24,130.93905639648438
2014-03-25,132.0101318359375
2014-03-26,135.16983032226562
2014-03-27,133.134765625
2014-03-28,136.1337890625
2014-03-31,132.70632934570312
2014-04-01,136.3479766845703
2014-04-02,133.7774200439453
2014-04-03,133.7774200439453
2014-04-04,132.06369018554688
2014-04-07,130.51063537597656
2014-04-08,132.17079162597656
2014-04-09,133.2418670654297
2014-04-10,128.7969207763672
2014-04-11,129.17176818847656
2014-04-14,129.43954467773438
2014-04-15,130.93905639648438
2014-04-16,132.06369018554688
2014-04-17,138.704345703125
2014-04-21,139.56121826171875
2014-04-22,144.4346160888672
2014-04-23,146.5767822265625
2014-04-24,142.82803344726562
2014-04-25,143.79196166992188
2014-04-28,142.23892211914062
2014-04-29,144.70240783691406
2014-04-30,146.89810180664062
2014-05-01,144.1668701171875
2014-05-02,135.8660125732422
2014-05-05,133.93804931640625
2014-05-06,132.1172332763672
2014-05-07,131.15325927734375
