Date,FN
2010-06-25,10.75
2010-06-28,10.760000228881836
2010-06-29,10.760000228881836
2010-06-30,10.699999809265137
2010-07-01,10.670000076293945
2010-07-02,10.760000228881836
2010-07-06,10.890000343322754
2010-07-07,11.0600004196167
2010-07-08,11.020000457763672
2010-07-09,11.0
2010-07-12,10.84000015258789
2010-07-13,10.75
2010-07-14,10.609999656677246
2010-07-15,10.680000305175781
2010-07-16,10.829999923706055
2010-07-19,10.989999771118164
2010-07-20,10.84000015258789
2010-07-21,10.739999771118164
2010-07-22,10.770000457763672
2010-07-23,10.5
2010-07-26,10.170000076293945
2010-07-27,10.020000457763672
2010-07-28,10.069999694824219
2010-07-29,10.300000190734863
2010-07-30,10.15999984741211
2010-08-02,10.020000457763672
2010-08-03,9.899999618530273
2010-08-04,10.829999923706055
2010-08-05,11.069999694824219
2010-08-06,11.25
2010-08-09,11.739999771118164
2010-08-10,13.09000015258789
2010-08-11,13.609999656677246
2010-08-12,14.300000190734863
2010-08-13,15.449999809265137
2010-08-16,15.59000015258789
2010-08-17,15.210000038146973
2010-08-18,15.739999771118164
2010-08-19,15.170000076293945
2010-08-20,13.850000381469727
2010-08-23,13.770000457763672
2010-08-24,12.420000076293945
2010-08-25,11.850000381469727
2010-08-26,11.239999771118164
2010-08-27,12.390000343322754
2010-08-30,12.5600004196167
2010-08-31,12.210000038146973
2010-09-01,12.520000457763672
2010-09-02,12.670000076293945
2010-09-03,14.039999961853027
2010-09-07,13.930000305175781
2010-09-08,13.979999542236328
2010-09-09,14.119999885559082
2010-09-10,14.0
2010-09-13,14.010000228881836
2010-09-14,13.699999809265137
2010-09-15,14.630000114440918
2010-09-16,16.170000076293945
2010-09-17,15.65999984741211
2010-09-20,15.699999809265137
2010-09-21,15.800000190734863
2010-09-22,15.0
2010-09-23,13.739999771118164
2010-09-24,14.520000457763672
2010-09-27,15.649999618530273
2010-09-28,15.699999809265137
2010-09-29,15.460000038146973
2010-09-30,15.819999694824219
2010-10-01,16.40999984741211
