Date,OHI
2010-01-04,6.084187984466553
2010-01-05,6.186522006988525
2010-01-06,6.174116611480713
2010-01-07,6.180318832397461
2010-01-08,6.152410984039307
2010-01-11,6.167916774749756
2010-01-12,6.019065856933594
2010-01-13,6.177215576171875
2010-01-14,6.1493072509765625
2010-01-15,6.202027797698975
2010-01-19,6.369480609893799
2010-01-20,6.313663482666016
2010-01-21,6.186522006988525
2010-01-22,6.121400356292725
2010-01-25,6.189621925354004
2010-01-26,6.177215576171875
2010-01-27,6.1141862869262695
2010-01-28,5.896719455718994
2010-01-29,5.896719455718994
2010-02-01,5.943998336791992
2010-02-02,6.057456970214844
2010-02-03,5.91878604888916
2010-02-04,5.657196521759033
2010-02-05,5.691864967346191
2010-02-08,5.575254917144775
2010-02-09,5.56895112991333
2010-02-10,5.63828706741333
2010-02-11,5.7643537521362305
2010-02-12,5.754896640777588
2010-02-16,5.792717933654785
2010-02-17,5.887267589569092
2010-02-18,5.874659538269043
2010-02-19,5.862053871154785
2010-02-22,5.947147369384766
2010-02-23,5.909328937530518
2010-02-24,5.880963325500488
2010-02-25,5.906177520751953
2010-02-26,5.978663921356201
2010-03-01,6.029090881347656
2010-03-02,5.966057777404785
2010-03-03,5.9597554206848145
2010-03-04,5.972361087799072
2010-03-05,6.095274448394775
2010-03-08,6.170914173126221
2010-03-09,6.199282169342041
2010-03-10,6.344254970550537
2010-03-11,6.438804626464844
2010-03-12,6.441955089569092
2010-03-15,6.382075786590576
2010-03-16,6.48607873916626
2010-03-17,6.5049896240234375
2010-03-18,6.473474025726318
2010-03-19,6.372618198394775
2010-03-22,6.432502269744873
2010-03-23,6.4230451583862305
2010-03-24,6.460867404937744
2010-03-25,6.492383003234863
2010-03-26,6.4230451583862305
2010-03-29,6.268614768981934
2010-03-30,6.25916051864624
2010-03-31,6.142552375793457
2010-04-01,6.167765140533447
2010-04-05,6.382075786590576
2010-04-06,6.501836776733398
2010-04-07,6.360014915466309
2010-04-08,6.360014915466309
2010-04-09,6.33480167388916
2010-04-12,6.262310981750488
2010-04-13,6.391531467437744
2010-04-14,6.457714557647705
2010-04-15,6.287525653839111
2010-04-16,6.082669734954834
2010-04-19,6.177217483520508
2010-04-20,6.262310981750488
2010-04-21,6.413591384887695
2010-04-22,6.545961380004883
2010-04-23,6.631054878234863
2010-04-26,6.627899646759033
2010-04-27,6.457714557647705
2010-04-28,6.422496318817139
2010-04-29,6.627401351928711
2010-04-30,6.409688949584961
2010-05-03,6.556964874267578
2010-05-04,6.39368200302124
2010-05-05,6.31043815612793
