Date,AMH
2013-08-01,13.00175666809082
2013-08-02,13.193448066711426
2013-08-05,13.051762580871582
2013-08-06,13.151777267456055
2013-08-07,13.043425559997559
2013-08-08,13.435150146484375
2013-08-09,13.41848087310791
2013-08-12,13.460152626037598
2013-08-13,13.37680435180664
2013-08-14,13.368475914001465
2013-08-15,13.335134506225586
2013-08-16,13.38514232635498
2013-08-19,13.343464851379395
2013-08-20,13.343464851379395
2013-08-21,13.37680435180664
2013-08-22,13.393473625183105
2013-08-23,13.351802825927734
2013-08-26,13.21011734008789
2013-08-27,13.276796340942383
2013-08-28,13.260123252868652
2013-08-29,13.251787185668945
2013-08-30,13.23512077331543
2013-09-03,13.335134506225586
2013-09-04,13.37680435180664
2013-09-05,13.201781272888184
2013-09-06,13.268458366394043
2013-09-09,13.38514232635498
2013-09-10,13.018424034118652
2013-09-11,12.943412780761719
2013-09-12,12.793396949768066
2013-09-13,13.21011734008789
2013-09-16,13.260123252868652
2013-09-17,13.276796340942383
2013-09-18,13.293460845947266
2013-09-19,13.368475914001465
2013-09-20,13.585165977478027
2013-09-23,14.001896858215332
2013-09-24,14.085237503051758
2013-09-25,13.843536376953125
2013-09-26,13.935215950012207
2013-09-27,13.668509483337402
2013-09-30,13.460152626037598
2013-10-01,13.351802825927734
2013-10-02,13.185113906860352
2013-10-03,13.00175666809082
2013-10-04,13.16844654083252
2013-10-07,13.00175666809082
2013-10-08,12.876739501953125
2013-10-09,12.685049057006836
2013-10-10,12.768390655517578
2013-10-11,12.793396949768066
2013-10-14,12.885076522827148
2013-10-15,12.851737022399902
2013-10-16,13.068432807922363
2013-10-17,13.185113906860352
2013-10-18,13.218452453613281
2013-10-21,13.335134506225586
2013-10-22,13.38514232635498
2013-10-23,13.326800346374512
2013-10-24,13.351802825927734
2013-10-25,13.393473625183105
2013-10-28,13.426815032958984
2013-10-29,13.268458366394043
2013-10-30,13.043425559997559
2013-10-31,12.90174388885498
2013-11-01,13.051762580871582
2013-11-04,13.126771926879883
2013-11-05,13.14344310760498
2013-11-06,13.37680435180664
2013-11-07,13.360136032104492
2013-11-08,13.476818084716797
2013-11-11,13.41848087310791
2013-11-12,13.535164833068848
2013-11-13,13.860203742980957
2013-11-14,13.793529510498047
2013-11-15,14.051901817321777
2013-11-18,13.968554496765137
2013-11-19,13.785196304321289
2013-11-20,13.6851806640625
2013-11-21,13.710188865661621
2013-11-22,13.743522644042969
2013-11-25,13.6851806640625
2013-11-26,13.735189437866211
2013-11-27,13.710188865661621
2013-11-29,13.668509483337402
2013-12-02,13.718520164489746
2013-12-03,13.710188865661621
2013-12-04,13.493492126464844
2013-12-05,13.293460845947266
2013-12-06,13.751861572265625
2013-12-09,13.751861572265625
2013-12-10,13.660175323486328
2013-12-11,13.492977142333984
2013-12-12,13.45117473602295
2013-12-13,13.476261138916016
2013-12-16,13.45117473602295
2013-12-17,13.367579460144043
2013-12-18,13.543139457702637
2013-12-19,13.551497459411621
2013-12-20,13.543139457702637
2013-12-23,13.459541320800781
2013-12-24,13.534781455993652
