Date,GLOB
2014-07-18,11.25
2014-07-21,11.510000228881836
2014-07-22,11.4399995803833
2014-07-23,11.020000457763672
2014-07-24,10.989999771118164
2014-07-25,10.670000076293945
2014-07-28,11.149999618530273
2014-07-29,11.420000076293945
2014-07-30,11.470000267028809
2014-07-31,11.319999694824219
2014-08-01,11.420000076293945
2014-08-04,11.739999771118164
2014-08-05,11.90999984741211
2014-08-06,11.890000343322754
2014-08-07,11.670000076293945
2014-08-08,11.949999809265137
2014-08-11,12.359999656677246
2014-08-12,12.140000343322754
2014-08-13,12.1899995803833
2014-08-14,12.319999694824219
2014-08-15,12.15999984741211
2014-08-18,12.050000190734863
2014-08-19,11.8100004196167
2014-08-20,11.569999694824219
2014-08-21,12.449999809265137
2014-08-22,12.600000381469727
2014-08-25,12.5
2014-08-26,12.479999542236328
2014-08-27,12.399999618530273
2014-08-28,12.329999923706055
2014-08-29,12.40999984741211
2014-09-02,13.130000114440918
2014-09-03,13.59000015258789
2014-09-04,14.199999809265137
2014-09-05,13.989999771118164
2014-09-08,13.649999618530273
2014-09-09,13.0
2014-09-10,13.149999618530273
2014-09-11,13.130000114440918
2014-09-12,13.09000015258789
2014-09-15,13.020000457763672
2014-09-16,12.75
2014-09-17,12.899999618530273
2014-09-18,13.380000114440918
2014-09-19,13.34000015258789
2014-09-22,13.300000190734863
2014-09-23,13.4399995803833
2014-09-24,13.279999732971191
2014-09-25,12.970000267028809
2014-09-26,13.819999694824219
2014-09-29,13.720000267028809
2014-09-30,14.069999694824219
2014-10-01,13.8100004196167
2014-10-02,13.569999694824219
2014-10-03,13.59000015258789
2014-10-06,13.949999809265137
2014-10-07,13.550000190734863
2014-10-08,13.5600004196167
2014-10-09,13.010000228881836
2014-10-10,13.300000190734863
2014-10-13,13.15999984741211
2014-10-14,13.390000343322754
2014-10-15,13.210000038146973
2014-10-16,13.619999885559082
2014-10-17,12.630000114440918
2014-10-20,13.239999771118164
2014-10-21,13.069999694824219
2014-10-22,12.720000267028809
2014-10-23,12.789999961853027
2014-10-24,12.539999961853027
2014-10-27,12.1899995803833
2014-10-28,12.979999542236328
2014-10-29,12.729999542236328
2014-10-30,13.199999809265137
2014-10-31,12.9399995803833
2014-11-03,13.420000076293945
2014-11-04,13.479999542236328
