Date,BA
2010-01-04,43.777549743652344
2010-01-05,45.211341857910156
2010-01-06,46.58279037475586
2010-01-07,48.46855163574219
2010-01-08,48.00102233886719
2010-01-11,47.432167053222656
2010-01-12,47.08930969238281
2010-01-13,47.65814208984375
2010-01-14,47.9698486328125
2010-01-15,47.3931999206543
2010-01-19,47.26074981689453
2010-01-20,46.91008758544922
2010-01-21,46.1308479309082
2010-01-22,45.01654052734375
2010-01-25,45.024330139160156
2010-01-26,44.96977615356445
2010-01-27,48.25816345214844
2010-01-28,48.74907684326172
2010-01-29,47.221778869628906
2010-02-01,48.07895278930664
2010-02-02,48.265953063964844
2010-02-03,48.21887969970703
2010-02-04,46.5399169921875
2010-02-05,45.81813430786133
2010-02-08,45.41801834106445
2010-02-09,46.869449615478516
2010-02-10,46.712520599365234
2010-02-11,47.53631591796875
2010-02-12,46.798831939697266
2010-02-16,48.06196594238281
2010-02-17,48.50132751464844
2010-02-18,49.34079360961914
2010-02-19,49.889991760253906
2010-02-22,50.1881217956543
2010-02-23,49.246646881103516
2010-02-24,49.803680419921875
2010-02-25,49.32511520385742
2010-02-26,49.55261993408203
2010-03-01,50.21165466308594
2010-03-02,50.55686569213867
2010-03-03,50.56470489501953
2010-03-04,51.42771911621094
2010-03-05,53.29496765136719
2010-03-08,52.75362014770508
2010-03-09,53.185142517089844
2010-03-10,54.92682647705078
2010-03-11,54.973915100097656
2010-03-12,54.78561782836914
2010-03-15,54.44825744628906
2010-03-16,53.91477584838867
2010-03-17,54.43257141113281
2010-03-18,55.6015739440918
2010-03-19,55.48387908935547
2010-03-22,56.41750717163086
2010-03-23,56.62932586669922
2010-03-24,56.739166259765625
2010-03-25,56.87254333496094
2010-03-26,56.95098114013672
2010-03-29,58.143531799316406
2010-03-30,57.68848419189453
2010-03-31,56.96670150756836
2010-04-01,57.264835357666016
2010-04-05,56.51948928833008
2010-04-06,56.77055358886719
2010-04-07,56.566566467285156
2010-04-08,56.707786560058594
2010-04-09,56.817626953125
2010-04-12,56.42534255981445
2010-04-13,55.85261917114258
2010-04-14,56.25273895263672
2010-04-15,56.55872344970703
2010-04-16,55.53880310058594
2010-04-19,55.67216873168945
2010-04-20,56.025238037109375
2010-04-21,58.182762145996094
2010-04-22,59.30466842651367
2010-04-23,58.94378662109375
2010-04-26,58.323978424072266
2010-04-27,56.86470031738281
2010-04-28,56.778385162353516
2010-04-29,57.89246368408203
2010-04-30,56.825477600097656
2010-05-03,58.36321258544922
2010-05-04,57.1079216003418
2010-05-05,56.026824951171875
2010-05-06,53.63582229614258
2010-05-07,52.649444580078125
2010-05-10,56.026824951171875
2010-05-11,56.35824966430664
2010-05-12,57.50248336791992
2010-05-13,56.62655258178711
2010-05-14,55.0956916809082
2010-05-17,54.985206604003906
2010-05-18,53.438568115234375
2010-05-19,52.24699783325195
2010-05-20,49.713951110839844
2010-05-21,50.94496536254883
2010-05-24,49.83232498168945
2010-05-25,49.540348052978516
2010-05-26,49.91910934448242
2010-05-27,51.394752502441406
2010-05-28,50.64508819580078
2010-06-01,49.67449188232422
2010-06-02,50.771366119384766
2010-06-03,50.74767303466797
2010-06-04,48.25410079956055
2010-06-07,47.43342208862305
2010-06-08,48.15151596069336
2010-06-09,48.69599914550781
2010-06-10,50.41625213623047
2010-06-11,51.5920295715332
2010-06-14,51.15011978149414
2010-06-15,53.24916458129883
2010-06-16,52.89406967163086
2010-06-17,53.07556915283203
2010-06-18,53.62792205810547
2010-06-21,53.63582229614258
2010-06-22,52.30223846435547
2010-06-23,53.22549057006836
2010-06-24,53.209712982177734
2010-06-25,54.26712417602539
2010-06-28,53.10712814331055
2010-06-29,49.74551010131836
2010-06-30,49.51667404174805
2010-07-01,49.1300048828125
2010-07-02,48.877498626708984
2010-07-06,48.4197998046875
2010-07-07,49.9506950378418
2010-07-08,51.0791130065918
2010-07-09,51.02388000488281
2010-07-12,50.771366119384766
2010-07-13,50.84238815307617
2010-07-14,51.09489440917969
2010-07-15,50.795040130615234
2010-07-16,48.845924377441406
2010-07-19,49.85598373413086
2010-07-20,50.40837097167969
2010-07-21,49.85598373413086
2010-07-22,52.55474853515625
2010-07-23,53.6042594909668
2010-07-26,54.33024597167969
2010-07-27,54.14873504638672
2010-07-28,53.12290954589844
2010-07-29,53.044002532958984
2010-07-30,53.76997375488281
2010-08-02,54.99309539794922
2010-08-03,54.874732971191406
2010-08-04,54.977935791015625
2010-08-05,54.54924011230469
2010-08-06,54.541290283203125
2010-08-09,54.77151870727539
2010-08-10,54.4777717590332
2010-08-11,52.08018112182617
2010-08-12,51.36566162109375
2010-08-13,51.47682189941406
2010-08-16,51.12748336791992
2010-08-17,52.38978958129883
2010-08-18,52.397762298583984
2010-08-19,51.302162170410156
