Date,RGA
2010-01-04,36.83491134643555
2010-01-05,37.153499603271484
2010-01-06,37.11557388305664
2010-01-07,37.57828903198242
2010-01-08,37.9879035949707
2010-01-11,37.79066848754883
2010-01-12,37.123146057128906
2010-01-13,37.942386627197266
2010-01-14,38.200294494628906
2010-01-15,37.388633728027344
2010-01-19,37.85894775390625
2010-01-20,37.93479919433594
2010-01-21,37.555519104003906
2010-01-22,36.72113800048828
2010-01-25,36.60734176635742
2010-01-26,36.34186935424805
2010-01-27,36.804569244384766
2010-01-28,36.56182098388672
2010-01-29,36.95627975463867
2010-02-01,37.259700775146484
2010-02-02,37.23688888549805
2010-02-03,36.65898132324219
2010-02-04,35.153385162353516
2010-02-05,35.046653747558594
2010-02-08,34.7417106628418
2010-02-09,35.267738342285156
2010-02-10,34.95516586303711
2010-02-11,35.02377700805664
2010-02-12,34.95516586303711
2010-02-16,35.33635330200195
2010-02-17,35.519325256347656
2010-02-18,35.740413665771484
2010-02-19,35.90813446044922
2010-02-22,36.05299758911133
2010-02-23,35.778541564941406
2010-02-24,36.08348083496094
2010-02-25,36.25883483886719
2010-02-26,36.235958099365234
2010-03-01,36.88398742675781
2010-03-02,37.0059700012207
2010-03-03,37.432891845703125
2010-03-04,37.875083923339844
2010-03-05,38.164791107177734
2010-03-08,38.3172607421875
2010-03-09,38.19528579711914
2010-03-10,38.00468444824219
2010-03-11,38.26389694213867
2010-03-12,38.233394622802734
2010-03-15,38.164791107177734
2010-03-16,38.57648849487305
2010-03-17,38.64508819580078
2010-03-18,39.102516174316406
2010-03-19,38.477352142333984
2010-03-22,38.62220764160156
2010-03-23,38.866172790527344
2010-03-24,39.2397346496582
2010-03-25,39.04151916503906
2010-03-26,38.7213134765625
2010-03-29,39.07963180541992
2010-03-30,39.16349792480469
2010-03-31,40.040245056152344
2010-04-01,40.22321701049805
2010-04-05,40.43669128417969
2010-04-06,40.352813720703125
2010-04-07,40.61203384399414
2010-04-08,40.314693450927734
2010-04-09,40.474796295166016
2010-04-12,40.886474609375
2010-04-13,41.077083587646484
2010-04-14,41.869956970214844
2010-04-15,42.266387939453125
2010-04-16,41.47351837158203
2010-04-19,42.18254470825195
2010-04-20,42.66283416748047
2010-04-21,42.05292510986328
2010-04-22,42.03767776489258
2010-04-23,42.63233184814453
2010-04-26,42.556087493896484
2010-04-27,39.491336822509766
2010-04-28,39.54470443725586
2010-04-29,39.73530578613281
2010-04-30,39.361732482910156
2010-05-03,39.03313446044922
2010-05-04,38.34538269042969
2010-05-05,37.95566940307617
2010-05-06,36.86292266845703
2010-05-07,35.8695182800293
2010-05-10,38.4141731262207
2010-05-11,38.39125442504883
2010-05-12,38.612850189208984
2010-05-13,37.71878433227539
2010-05-14,37.061607360839844
2010-05-17,37.41312026977539
2010-05-18,37.076900482177734
2010-05-19,37.10745620727539
2010-05-20,35.30405044555664
2010-05-21,35.495079040527344
2010-05-24,34.983097076416016
2010-05-25,34.90668487548828
2010-05-26,35.15886688232422
2010-05-27,36.496131896972656
2010-05-28,35.8924560546875
2010-06-01,34.84556198120117
2010-06-02,35.57150650024414
2010-06-03,35.44159698486328
2010-06-04,34.24951171875
2010-06-07,34.18075180053711
2010-06-08,34.7232780456543
2010-06-09,34.05083465576172
2010-06-10,35.18177795410156
2010-06-11,35.51036834716797
2010-06-14,35.23527908325195
2010-06-15,36.35858917236328
2010-06-16,36.41972732543945
2010-06-17,36.84001159667969
2010-06-18,36.90113830566406
2010-06-21,36.77123260498047
2010-06-22,36.213382720947266
2010-06-23,35.63264083862305
2010-06-24,35.984153747558594
2010-06-25,36.94698715209961
2010-06-28,37.023399353027344
2010-06-29,35.495079040527344
2010-06-30,34.92961120605469
2010-07-01,34.4405517578125
2010-07-02,34.333580017089844
2010-07-06,34.539894104003906
2010-07-07,36.2515983581543
2010-07-08,36.610755920410156
2010-07-09,36.77123260498047
2010-07-12,36.62604522705078
2010-07-13,37.099822998046875
2010-07-14,36.83235549926758
2010-07-15,36.51906204223633
2010-07-16,35.17414855957031
2010-07-19,35.15886688232422
2010-07-20,35.40339660644531
2010-07-21,35.3193244934082
2010-07-22,36.76359939575195
2010-07-23,37.49717330932617
2010-07-26,38.16200256347656
2010-07-27,38.02445602416992
2010-07-28,37.061607360839844
2010-07-29,36.61839294433594
2010-07-30,36.66425323486328
2010-08-02,37.16985321044922
2010-08-03,36.909393310546875
2010-08-04,37.36137771606445
2010-08-05,37.468631744384766
2010-08-06,37.399681091308594
2010-08-09,37.95890426635742
2010-08-10,37.29242706298828
2010-08-11,36.21992874145508
2010-08-12,35.94414138793945
2010-08-13,35.783267974853516
2010-08-16,36.043739318847656
2010-08-17,36.68723678588867
2010-08-18,36.518699645996094
2010-08-19,35.56110382080078
2010-08-20,35.0478401184082
2010-08-23,34.86398696899414
2010-08-24,34.067264556884766
2010-08-25,34.18217849731445
2010-08-26,33.400779724121094
2010-08-27,33.89871597290039
2010-08-30,33.34714126586914
2010-08-31,33.50801467895508
2010-09-01,35.24700927734375
2010-09-02,34.81801986694336
2010-09-03,35.798580169677734
2010-09-07,34.925270080566406
2010-09-08,35.41555404663086
2010-09-09,35.699012756347656
2010-09-10,35.66835021972656
2010-09-13,36.196956634521484
2010-09-14,36.258235931396484
2010-09-15,36.41142654418945
2010-09-16,36.13566207885742
2010-09-17,35.798580169677734
2010-09-20,36.511043548583984
2010-09-21,36.472740173339844
2010-09-22,35.82923126220703
2010-09-23,35.07847595214844
2010-09-24,36.54935073852539
2010-09-27,36.671913146972656
2010-09-28,37.277103424072266
