Date,LGND
2010-01-04,8.122270584106445
2010-01-05,7.822832107543945
2010-01-06,7.673112869262695
2010-01-07,7.860261917114258
2010-01-08,7.635683059692383
2010-01-11,7.7479729652404785
2010-01-12,7.44853401184082
2010-01-13,7.710543155670166
2010-01-14,7.485963821411133
2010-01-15,7.186524868011475
2010-01-19,7.336245059967041
2010-01-20,7.186524868011475
2010-01-21,6.9245171546936035
2010-01-22,6.84965705871582
2010-01-25,6.9245171546936035
2010-01-26,6.662508010864258
2010-01-27,6.662508010864258
2010-01-28,6.625078201293945
2010-01-29,6.625078201293945
2010-02-01,6.69993782043457
2010-02-02,6.625078201293945
2010-02-03,6.512788772583008
2010-02-04,6.21334981918335
2010-02-05,6.138490200042725
2010-02-08,5.876482009887695
2010-02-09,6.21334981918335
2010-02-10,5.988770961761475
2010-02-11,6.21334981918335
2010-02-12,6.21334981918335
2010-02-16,5.988770961761475
2010-02-17,6.25078010559082
2010-02-18,6.21334981918335
2010-02-19,6.400498867034912
2010-02-22,6.587647914886475
2010-02-23,6.587647914886475
2010-02-24,6.550218105316162
2010-02-25,6.437929153442383
2010-02-26,6.587647914886475
2010-03-01,6.662508010864258
2010-03-02,6.69993782043457
2010-03-03,6.587647914886475
2010-03-04,6.587647914886475
2010-03-05,6.737367153167725
2010-03-08,6.3630690574646
2010-03-09,6.3630690574646
2010-03-10,6.3630690574646
2010-03-11,6.288209915161133
2010-03-12,6.512788772583008
2010-03-15,7.074235916137695
2010-03-16,7.149095058441162
2010-03-17,6.9619460105896
2010-03-18,6.737367153167725
2010-03-19,6.662508010864258
2010-03-22,6.81222677230835
2010-03-23,6.84965705871582
2010-03-24,6.737367153167725
2010-03-25,6.587647914886475
2010-03-26,6.662508010864258
2010-03-29,6.475358963012695
2010-03-30,6.475358963012695
2010-03-31,6.512788772583008
2010-04-01,6.400498867034912
2010-04-05,6.512788772583008
2010-04-06,6.475358963012695
2010-04-07,6.550218105316162
2010-04-08,6.625078201293945
2010-04-09,6.512788772583008
2010-04-12,6.437929153442383
2010-04-13,6.400498867034912
2010-04-14,6.437929153442383
2010-04-15,6.625078201293945
2010-04-16,6.662508010864258
2010-04-19,6.550218105316162
2010-04-20,6.662508010864258
2010-04-21,6.69993782043457
2010-04-22,6.84965705871582
2010-04-23,7.036806106567383
2010-04-26,7.111666202545166
2010-04-27,7.036806106567383
2010-04-28,7.036806106567383
2010-04-29,7.074235916137695
2010-04-30,6.887086868286133
2010-05-03,6.999375820159912
2010-05-04,7.036806106567383
2010-05-05,6.9245171546936035
2010-05-06,6.3630690574646
2010-05-07,5.988770961761475
2010-05-10,6.21334981918335
2010-05-11,6.21334981918335
2010-05-12,6.325638771057129
2010-05-13,6.25078010559082
2010-05-14,6.21334981918335
2010-05-17,6.063631057739258
2010-05-18,6.026200771331787
2010-05-19,5.951341152191162
2010-05-20,5.65190315246582
2010-05-21,5.389894008636475
2010-05-24,5.502182960510254
2010-05-25,5.352464199066162
2010-05-26,5.577043056488037
2010-05-27,5.65190315246582
2010-05-28,5.7641921043396
2010-06-01,5.539612770080566
2010-06-02,5.876482009887695
2010-06-03,5.988770961761475
2010-06-04,5.801621913909912
2010-06-07,5.839052200317383
2010-06-08,5.801621913909912
2010-06-09,5.839052200317383
2010-06-10,5.913910865783691
2010-06-11,5.913910865783691
2010-06-14,6.063631057739258
2010-06-15,5.951341152191162
2010-06-16,5.7641921043396
2010-06-17,5.876482009887695
2010-06-18,5.65190315246582
2010-06-21,5.61447286605835
