Date,EIX
2010-01-04,19.74771499633789
2010-01-05,19.57164764404297
2010-01-06,19.815866470336914
2010-01-07,19.69659423828125
2010-01-08,19.594362258911133
2010-01-11,19.974891662597656
2010-01-12,19.952173233032227
2010-01-13,20.133922576904297
2010-01-14,20.1225643157959
2010-01-15,20.0146541595459
2010-01-19,20.32135009765625
2010-01-20,20.071441650390625
2010-01-21,19.815866470336914
2010-01-22,19.23655891418457
2010-01-25,19.3671817779541
2010-01-26,19.423978805541992
2010-01-27,19.338790893554688
2010-01-28,19.009374618530273
2010-01-29,18.92418098449707
2010-02-01,19.117284774780273
2010-02-02,19.31038475036621
2010-02-03,19.083206176757812
2010-02-04,18.45845603942871
2010-02-05,18.435747146606445
2010-02-08,18.248315811157227
2010-02-09,18.48685073852539
2010-02-10,18.384626388549805
2010-02-11,18.50389289855957
2010-02-12,18.509572982788086
2010-02-16,18.94122314453125
2010-02-17,18.918502807617188
2010-02-18,19.08888816833496
2010-02-19,19.44669532775879
2010-02-22,19.20248031616211
2010-02-23,18.912817001342773
2010-02-24,18.844667434692383
2010-02-25,18.59476661682129
2010-02-26,18.532302856445312
2010-03-01,18.92418098449707
2010-03-02,18.87306022644043
2010-03-03,18.912817001342773
2010-03-04,18.816272735595703
2010-03-05,19.18543815612793
2010-03-08,19.060487747192383
2010-03-09,19.060487747192383
2010-03-10,19.3671817779541
2010-03-11,19.458051681518555
2010-03-12,19.19112205505371
2010-03-15,19.355825424194336
2010-03-16,19.520532608032227
2010-03-17,19.713632583618164
2010-03-18,19.600040435791016
2010-03-19,19.54323959350586
2010-03-22,19.441015243530273
2010-03-23,19.583003997802734
2010-03-24,19.361501693725586
2010-03-25,19.213836669921875
2010-03-26,19.321746826171875
2010-03-29,19.605512619018555
2010-03-30,19.78322410583496
2010-03-31,19.588319778442383
2010-04-01,19.662837982177734
2010-04-05,19.714431762695312
2010-04-06,19.87494659423828
2010-04-07,19.708694458007812
2010-04-08,19.68003273010254
2010-04-09,19.616979598999023
2010-04-12,19.75455665588379
2010-04-13,19.697229385375977
2010-04-14,19.737367630004883
2010-04-15,19.794692993164062
2010-04-16,19.45073127746582
2010-04-19,19.40487289428711
2010-04-20,19.55392074584961
2010-04-21,19.657102584838867
2010-04-22,19.542448043823242
2010-04-23,19.702964782714844
2010-04-26,19.542448043823242
2010-04-27,19.078107833862305
2010-04-28,19.14116859436035
2010-04-29,19.33034896850586
2010-04-30,19.702964782714844
2010-05-03,19.88640785217285
2010-05-04,19.295949935913086
2010-05-05,19.30168342590332
2010-05-06,18.705495834350586
2010-05-07,18.93479347229004
2010-05-10,19.433530807495117
2010-05-11,19.485126495361328
2010-05-12,19.634174346923828
2010-05-13,19.485126495361328
2010-05-14,19.295949935913086
2010-05-17,19.244348526000977
2010-05-18,19.0666446685791
2010-05-19,18.866004943847656
2010-05-20,18.201026916503906
2010-05-21,18.17809295654297
2010-05-24,18.149423599243164
2010-05-25,17.902925491333008
2010-05-26,18.126501083374023
2010-05-27,18.510583877563477
2010-05-28,18.550708770751953
2010-06-01,18.063446044921875
2010-06-02,18.596576690673828
2010-06-03,18.797218322753906
2010-06-04,18.275545120239258
2010-06-07,18.447525024414062
2010-06-08,18.510583877563477
2010-06-09,18.373001098632812
2010-06-10,18.814409255981445
2010-06-11,18.785741806030273
2010-06-14,18.97492790222168
2010-06-15,19.30168342590332
2010-06-16,19.565387725830078
2010-06-17,19.74882698059082
2010-06-18,19.691495895385742
2010-06-21,19.55392074584961
2010-06-22,19.14691162109375
2010-06-23,18.831600189208984
2010-06-24,18.785741806030273
2010-06-25,18.73415756225586
2010-06-28,18.922285079956055
2010-06-29,18.52288055419922
2010-06-30,18.360803604125977
2010-07-01,18.12348175048828
2010-07-02,18.019285202026367
2010-07-06,18.239253997802734
2010-07-07,18.875967025756836
2010-07-08,19.084352493286133
2010-07-09,19.13644790649414
2010-07-12,19.072778701782227
2010-07-13,19.176969528198242
2010-07-14,19.217491149902344
2010-07-15,19.28694725036621
2010-07-16,18.84123992919922
2010-07-19,19.14223861694336
2010-07-20,19.101713180541992
2010-07-21,18.737049102783203
2010-07-22,19.04961585998535
2010-07-23,19.04961585998535
2010-07-26,19.101713180541992
2010-07-27,19.518484115600586
2010-07-28,19.431655883789062
2010-07-29,19.29273796081543
2010-07-30,19.188549041748047
2010-08-02,19.703706741333008
2010-08-03,19.541637420654297
2010-08-04,19.570579528808594
2010-08-05,19.512691497802734
2010-08-06,19.680559158325195
2010-08-09,19.65740394592285
2010-08-10,19.73843765258789
2010-08-11,19.275365829467773
2010-08-12,19.29273796081543
2010-08-13,19.64582633972168
2010-08-16,19.59952163696289
2010-08-17,19.6516170501709
2010-08-18,19.58794403076172
2010-08-19,19.41429328918457
2010-08-20,19.59952163696289
2010-08-23,19.61109733581543
2010-08-24,19.6516170501709
2010-08-25,19.553213119506836
2010-08-26,19.246427536010742
2010-08-27,19.66898536682129
2010-08-30,19.356409072875977
2010-08-31,19.535846710205078
2010-09-01,20.103113174438477
2010-09-02,20.033653259277344
2010-09-03,20.18994140625
2010-09-07,20.0799560546875
2010-09-08,19.95840072631836
2010-09-09,20.0799560546875
2010-09-10,19.906307220458984
2010-09-13,19.74423599243164
2010-09-14,19.877368927001953
2010-09-15,19.61109733581543
2010-09-16,19.564790725708008
2010-09-17,19.593734741210938
2010-09-20,19.9699764251709
2010-09-21,20.08574104309082
2010-09-22,20.14942169189453
2010-09-23,20.00470733642578
2010-09-24,20.0799560546875
2010-09-27,20.02207374572754
2010-09-28,20.311235427856445
