Date,GPRE
2010-01-04,14.089133262634277
2010-01-05,13.646636009216309
2010-01-06,13.39883804321289
2010-01-07,13.124488830566406
2010-01-08,14.027183532714844
2010-01-11,14.062581062316895
2010-01-12,13.83248519897461
2010-01-13,13.859034538269043
2010-01-14,13.83248519897461
2010-01-15,13.434237480163574
2010-01-19,13.531584739685059
2010-01-20,12.850137710571289
2010-01-21,11.8943452835083
2010-01-22,11.336795806884766
2010-01-25,11.522644996643066
2010-01-26,11.5491943359375
2010-01-27,11.619994163513184
2010-01-28,11.504944801330566
2010-01-29,11.55804443359375
2010-02-01,11.637693405151367
2010-02-02,11.7881441116333
2010-02-03,11.681944847106934
2010-02-04,10.894298553466797
2010-02-05,10.469500541687012
2010-02-08,10.434101104736328
2010-02-09,10.911999702453613
2010-02-10,10.894298553466797
2010-02-11,11.327945709228516
2010-02-12,11.460695266723633
2010-02-16,12.292593955993652
2010-02-17,12.54924201965332
2010-02-18,12.752789497375488
2010-02-19,12.513839721679688
2010-02-22,15.036078453063965
2010-02-23,15.168828010559082
2010-02-24,15.00068187713623
2010-02-25,13.920982360839844
2010-02-26,15.009523391723633
2010-03-01,14.814827919006348
2010-03-02,14.69092845916748
2010-03-03,14.097982406616211
2010-03-04,13.124488830566406
2010-03-05,12.681988716125488
2010-03-08,12.814738273620605
2010-03-09,12.920938491821289
2010-03-10,12.708539009094238
2010-03-11,12.575787544250488
2010-03-12,12.681988716125488
2010-03-15,12.195241928100586
2010-03-16,12.000545501708984
2010-03-17,12.327993392944336
2010-03-18,12.327993392944336
2010-03-19,11.965141296386719
2010-03-22,12.336838722229004
2010-03-23,12.381091117858887
2010-03-24,12.690838813781738
2010-03-25,12.372237205505371
2010-03-26,12.708539009094238
2010-03-29,12.797037124633789
2010-03-30,12.841288566589355
2010-03-31,12.628890991210938
2010-04-01,13.637784957885742
2010-04-05,14.204181671142578
2010-04-06,14.053733825683594
2010-04-07,13.805932998657227
2010-04-08,13.74398422241211
2010-04-09,13.673182487487793
2010-04-12,13.558135032653809
2010-04-13,13.496186256408691
2010-04-14,13.257235527038574
2010-04-15,13.381134033203125
2010-04-16,13.00943660736084
2010-04-19,13.000589370727539
2010-04-20,12.779338836669922
2010-04-21,12.947488784790039
