Date,OXM
2010-01-04,15.958366394042969
2010-01-05,16.684083938598633
2010-01-06,16.794042587280273
2010-01-07,16.984630584716797
2010-01-08,16.947975158691406
2010-01-11,16.39086151123047
2010-01-12,15.723791122436523
2010-01-13,15.848936080932617
2010-01-14,15.56184196472168
2010-01-15,15.488234519958496
2010-01-19,15.672266960144043
2010-01-20,14.914046287536621
2010-01-21,13.979155540466309
2010-01-22,13.331368446350098
2010-01-25,13.184138298034668
2010-01-26,13.449145317077637
2010-01-27,13.574287414550781
2010-01-28,12.963297843933105
2010-01-29,13.132609367370605
2010-02-01,13.463871955871582
2010-02-02,13.9349946975708
2010-02-03,13.309280395507812
2010-02-04,12.742456436157227
2010-02-05,12.293414115905762
2010-02-08,12.205082893371582
2010-02-09,12.116742134094238
2010-02-10,12.116742134094238
2010-02-11,12.271329879760742
2010-02-12,12.38175106048584
2010-02-16,12.852876663208008
2010-02-17,13.795125961303711
2010-02-18,14.06749439239502
2010-02-19,14.310423851013184
2010-02-22,14.457648277282715
2010-02-23,14.384037971496582
2010-02-24,14.494457244873047
2010-02-25,14.487096786499023
2010-02-26,14.325138092041016
2010-03-01,14.936139106750488
2010-03-02,14.884601593017578
2010-03-03,14.914046287536621
2010-03-04,15.18641471862793
2010-03-05,15.753238677978516
2010-03-08,16.047691345214844
2010-03-09,15.915193557739258
2010-03-10,15.937268257141113
2010-03-11,15.915193557739258
2010-03-12,15.922551155090332
2010-03-15,15.937268257141113
2010-03-16,15.959355354309082
2010-03-17,16.136030197143555
2010-03-18,15.907825469970703
2010-03-19,15.267391204833984
2010-03-22,15.804764747619629
2010-03-23,16.040332794189453
2010-03-24,15.826849937438965
2010-03-25,16.643964767456055
2010-03-26,17.291759490966797
2010-03-29,17.306476593017578
2010-03-30,15.164342880249023
2010-03-31,14.965580940246582
2010-04-01,15.348366737365723
2010-04-05,16.06978416442871
2010-04-06,16.143390655517578
2010-04-07,16.17283821105957
2010-04-08,15.716435432434082
2010-04-09,15.900464057922363
2010-04-12,15.848936080932617
2010-04-13,16.233686447143555
2010-04-14,16.692440032958984
2010-04-15,16.92180633544922
2010-04-16,16.62584114074707
2010-04-19,16.62584114074707
2010-04-20,16.618438720703125
2010-04-21,16.329883575439453
2010-04-22,16.92180633544922
2010-04-23,17.047597885131836
2010-04-26,17.26217269897461
2010-04-27,17.202978134155273
2010-04-28,16.714637756347656
2010-04-29,16.929214477539062
2010-04-30,15.97472095489502
2010-05-03,17.15857696533203
2010-05-04,15.915534019470215
2010-05-05,15.434581756591797
2010-05-06,14.43570613861084
2010-05-07,13.41462230682373
2010-05-10,15.663955688476562
2010-05-11,15.686166763305664
2010-05-12,16.492658615112305
2010-05-13,16.011716842651367
2010-05-14,15.508585929870605
2010-05-17,15.789742469787598
2010-05-18,15.345796585083008
2010-05-19,15.160823822021484
2010-05-20,14.154534339904785
2010-05-21,14.48009967803955
2010-05-24,14.60588264465332
2010-05-25,14.583681106567383
2010-05-26,14.894451141357422
2010-05-27,15.930325508117676
2010-05-28,15.419782638549805
2010-06-01,14.2581205368042
2010-06-02,14.783461570739746
2010-06-03,15.220017433166504
2010-06-04,13.976958274841309
2010-06-07,13.229645729064941
2010-06-08,13.422024726867676
2010-06-09,16.226295471191406
2010-06-10,16.803421020507812
2010-06-11,16.810827255249023
2010-06-14,17.04020118713379
2010-06-15,17.35096549987793
2010-06-16,17.2769718170166
2010-06-17,17.48414421081543
2010-06-18,17.64692497253418
2010-06-21,17.53594207763672
2010-06-22,17.062389373779297
2010-06-23,16.485265731811523
2010-06-24,15.878530502319336
2010-06-25,16.322484970092773
2010-06-28,16.181901931762695
2010-06-29,15.160823822021484
2010-06-30,15.486372947692871
2010-07-01,15.197816848754883
2010-07-02,14.739067077636719
2010-07-06,14.672471046447754
2010-07-07,15.404990196228027
2010-07-08,16.278091430664062
2010-07-09,16.61104965209961
2010-07-12,15.9451322555542
2010-07-13,16.7780818939209
2010-07-14,16.562406539916992
2010-07-15,15.930246353149414
2010-07-16,14.591575622558594
2010-07-19,14.435395240783691
2010-07-20,15.149359703063965
2010-07-21,15.342717170715332
2010-07-22,16.4805908203125
2010-07-23,17.02349853515625
2010-07-26,17.432540893554688
2010-07-27,16.904508590698242
2010-07-28,16.629343032836914
2010-07-29,16.651643753051758
2010-07-30,16.659086227416992
2010-08-02,17.03837776184082
2010-08-03,16.525224685668945
2010-08-04,17.566408157348633
2010-08-05,17.135061264038086
2010-08-06,17.0755615234375
2010-08-09,17.045808792114258
2010-08-10,16.807823181152344
2010-08-11,15.8410062789917
2010-08-12,15.855875015258789
2010-08-13,15.20141315460205
2010-08-16,15.186546325683594
2010-08-17,15.736884117126465
2010-08-18,16.1905460357666
2010-08-19,15.30553150177002
2010-08-20,15.097297668457031
2010-08-23,15.14192008972168
2010-08-24,14.859310150146484
2010-08-25,15.298103332519531
2010-08-26,14.665945053100586
2010-08-27,15.223718643188477
2010-08-30,14.784937858581543
2010-08-31,14.665945053100586
2010-09-01,15.900498390197754
2010-09-02,17.11274528503418
2010-09-03,17.053247451782227
2010-09-07,16.76320457458496
2010-09-08,17.127626419067383
2010-09-09,16.949129104614258
2010-09-10,17.001201629638672
2010-09-13,17.737468719482422
2010-09-14,17.402795791625977
2010-09-15,17.75234603881836
2010-09-16,17.41766929626465
2010-09-17,17.43998908996582
2010-09-20,18.01263427734375
2010-09-21,17.77465057373047
2010-09-22,17.32098388671875
2010-09-23,16.986316680908203
2010-09-24,17.849016189575195
2010-09-27,17.92339515686035
2010-09-28,17.915950775146484
