Date,LXFR
2012-10-03,7.0243024826049805
2012-10-04,7.203102111816406
2012-10-05,7.037074089050293
2012-10-08,6.871044158935547
2012-10-09,6.653928756713867
2012-10-10,6.641159534454346
2012-10-11,6.641159534454346
2012-10-12,6.692244529724121
2012-10-15,6.705015182495117
2012-10-16,6.628387928009033
2012-10-17,6.660315990447998
2012-10-18,7.037074089050293
2012-10-19,7.0051445960998535
2012-10-22,6.839118003845215
2012-10-23,6.807188987731934
2012-10-24,6.851888656616211
2012-10-25,6.775258541107178
2012-10-26,6.832729339599609
2012-10-31,7.017916202545166
2012-11-01,7.171174049377441
2012-11-02,7.2350335121154785
2012-11-05,7.330813407897949
2012-11-06,7.311660289764404
2012-11-07,7.215872287750244
2012-11-08,7.41383171081543
2012-11-09,7.3435893058776855
2012-11-12,7.247804641723633
2012-11-13,7.388289928436279
2012-11-14,7.107316493988037
2012-11-15,7.056230545043945
2012-11-16,7.088160991668701
2012-11-19,7.056230545043945
2012-11-20,7.152019023895264
2012-11-21,7.247804641723633
2012-11-23,7.2350335121154785
2012-11-26,7.081772327423096
2012-11-27,7.0306901931762695
2012-11-28,7.0243024826049805
2012-11-29,7.0243024826049805
2012-11-30,7.1903300285339355
2012-12-03,7.349974632263184
2012-12-04,7.298887729644775
2012-12-05,7.04984712600708
2012-12-06,7.043457508087158
2012-12-07,7.0243024826049805
2012-12-10,7.043457508087158
2012-12-11,7.0243024826049805
2012-12-12,7.0306901931762695
2012-12-13,7.088160991668701
2012-12-14,7.624560832977295
2012-12-17,7.247804641723633
2012-12-18,7.407445430755615
2012-12-19,7.407445430755615
2012-12-20,7.452143669128418
2012-12-21,7.48407506942749
2012-12-24,7.464919567108154
2012-12-26,7.592631816864014
2012-12-27,7.701189041137695
2012-12-28,7.669261455535889
2012-12-31,7.8352885246276855
2013-01-02,8.014090538024902
2013-01-03,8.0460205078125
2013-01-04,8.148191452026367
2013-01-07,8.473862648010254
2013-01-08,8.620735168457031
2013-01-09,8.429163932800293
2013-01-10,8.301447868347168
2013-01-11,8.288676261901855
2013-01-14,8.231204986572266
2013-01-15,8.250361442565918
2013-01-16,8.103489875793457
2013-01-17,8.071563720703125
2013-01-18,8.103489875793457
2013-01-22,8.352532386779785
2013-01-23,8.365401268005371
2013-01-24,8.262447357177734
2013-01-25,8.256011009216309
2013-01-28,8.307488441467285
2013-01-29,8.365401268005371
2013-01-30,8.313923835754395
2013-01-31,8.307488441467285
2013-02-01,8.397579193115234
2013-02-04,8.397579193115234
2013-02-05,8.384710311889648
2013-02-06,8.6678466796875
2013-02-07,8.513405799865723
2013-02-08,8.455495834350586
2013-02-11,8.397579193115234
2013-02-12,8.629236221313477
2013-02-13,8.880199432373047
2013-02-14,8.802979469299316
2013-02-15,8.83515453338623
2013-02-19,9.07324504852295
2013-02-20,8.996026039123535
2013-02-21,8.89306640625
2013-02-22,8.706453323364258
2013-02-25,8.50697135925293
2013-02-26,8.481232643127441
2013-02-27,8.487667083740234
2013-02-28,8.404014587402344
2013-03-01,8.577759742736816
2013-03-04,8.693586349487305
2013-03-05,8.693586349487305
2013-03-06,8.436188697814941
2013-03-07,8.526275634765625
2013-03-08,8.616364479064941
2013-03-11,8.745062828063965
2013-03-12,8.976717948913574
2013-03-13,9.394990921020508
2013-03-14,9.736039161682129
2013-03-15,10.0320463180542
2013-03-18,9.890480041503906
2013-03-19,9.987007141113281
2013-03-20,10.205790519714355
2013-03-21,9.922657012939453
2013-03-22,9.845439910888672
2013-03-25,9.851869583129883
2013-03-26,10.135005950927734
2013-03-27,9.87761116027832
2013-03-28,9.96769905090332
2013-04-01,10.27657413482666
2013-04-02,10.283011436462402
2013-04-03,10.257272720336914
2013-04-04,10.353795051574707
2013-04-05,10.109271049499512
2013-04-08,10.135005950927734
2013-04-09,10.038485527038574
2013-04-10,9.97413444519043
2013-04-11,9.922657012939453
2013-04-12,9.97413444519043
2013-04-15,9.800392150878906
2013-04-16,9.884048461914062
2013-04-17,10.201421737670898
2013-04-18,9.877567291259766
2013-04-19,10.00063419342041
2013-04-22,10.162559509277344
2013-04-23,10.479938507080078
2013-04-24,10.52527904510498
2013-04-25,11.011059761047363
2013-04-26,11.140603065490723
2013-04-29,11.593998908996582
2013-04-30,11.457980155944824
2013-05-01,11.386734008789062
2013-05-02,11.244237899780273
2013-05-03,11.27662181854248
2013-05-06,12.215802192687988
2013-05-07,12.215802192687988
2013-05-08,12.021488189697266
2013-05-09,11.781831741333008
2013-05-10,11.658770561218262
2013-05-13,11.542182922363281
2013-05-14,11.172989845275879
2013-05-15,11.140603065490723
2013-05-16,11.13412857055664
2013-05-17,11.198897361755371
2013-05-20,11.024018287658691
2013-05-21,11.147077560424805
2013-05-22,11.114696502685547
2013-05-23,10.991632461547852
2013-05-24,10.978679656982422
2013-05-28,10.939811706542969
2013-05-29,11.011059761047363
2013-05-30,10.926858901977539
2013-05-31,10.86856460571289
2013-06-03,10.82970142364502
2013-06-04,10.63538932800293
2013-06-05,10.609479904174805
2013-06-06,10.466987609863281
2013-06-07,10.687201499938965
2013-06-10,10.700160026550293
2013-06-11,10.687201499938965
2013-06-12,10.719594955444336
2013-06-13,10.641864776611328
2013-06-14,10.739020347595215
2013-06-17,10.687201499938965
2013-06-18,10.706636428833008
2013-06-19,10.570619583129883
2013-06-20,10.50584888458252
2013-06-21,10.428121566772461
2013-06-24,10.207901954650879
2013-06-25,10.363350868225098
2013-06-26,10.479938507080078
2013-06-27,10.479938507080078
2013-06-28,10.266194343566895
2013-07-01,10.058927536010742
